Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, 
1,1,1,10717,2,259.37,192.06,7.0263,62.872,6.74E+05,10.361,1.11E+05,48.193,5.16E+05,3.4772,37265,
1,1,2,10995,2,218.12,204.03,12.664,87.255,9.59E+05,27.195,2.99E+05,46.242,5.08E+05,4.2539,46772,
1,1,3,6268,2,193.28,237.77,11.32,105.03,6.58E+05,37.364,2.34E+05,65.198,4.09E+05,4.8081,30137,
1,1,4,5557,2,197.09,270.57,11.165,105.58,5.87E+05,32.644,1.81E+05,58.76,3.27E+05,4.1591,23112,
1,1,5,7939,2,244.39,260.24,12.237,85.004,6.75E+05,33.984,2.70E+05,63.674,5.06E+05,3.9073,31020,
1,1,6,10269,2,275.16,268.55,17.401,83.575,8.58E+05,27.737,2.85E+05,44.925,4.61E+05,4.4802,46007,
1,1,7,17526,2,232.62,310.53,16.907,79.886,1.40E+06,10.787,1.89E+05,40.527,7.10E+05,3.997,70051,
1,1,8,20274,2,259.08,135.97,21.391,60.078,1.22E+06,37.978,7.70E+05,39.94,8.10E+05,3.6933,74878,
1,1,9,12183,2,322.44,215,17.991,55.001,6.70E+05,15.812,1.93E+05,39.22,4.78E+05,3.3343,40622,
1,1,10,7147,2,189.27,198.31,20.062,83.773,5.99E+05,26.679,1.91E+05,35.441,2.53E+05,5.0087,35797,
1,1,11,15595,1,166.56,236.3,22.446,75.466,1.18E+06,15.654,2.44E+05,34.777,5.42E+05,5.0466,78702,
1,1,12,8104,1,175.32,299.66,19.547,68.087,5.52E+05,26.029,2.11E+05,56.103,4.55E+05,2.9617,24002,
1,1,13,9429,2,192.78,157.04,24.511,101.08,9.53E+05,13.201,1.24E+05,27.987,2.64E+05,4.9867,47020,
1,1,14,221,1,193.99,250.62,21.842,56.493,12485,19.421,4292,17.145,3789,8.2579,1825,
1,1,15,8282,1,148.98,270.29,27.407,68.724,5.69E+05,35.263,2.92E+05,43.636,3.61E+05,4.5668,37822,
1,1,16,3190,1,216.77,240.86,25.453,66.549,2.12E+05,16.607,52976,13.562,43263,6.747,21523,
1,1,17,9042,1,218.81,284.11,26.954,66.272,5.99E+05,95.924,8.67E+05,23.743,2.15E+05,3.5479,32080,
1,1,18,13873,2,298.06,295.18,29.307,79.153,1.10E+06,7.0394,97657,32.162,4.46E+05,3.4031,47211,
