Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, 
1,1,1,12123,2,239.15,250.8,6.9364,62.293,7.55E+05,5.0874,61675,29.964,3.63E+05,5.0007,60624,
1,1,2,18647,2,263.01,312.85,9.4839,41.487,7.74E+05,3.682,68658,11.356,2.12E+05,3.7289,69532,
1,1,3,13119,2,295.42,254.7,6.5078,53.171,6.98E+05,5.2163,68432,16.059,2.11E+05,5.6714,74403,
1,1,4,7132,2,224.46,216.39,10.58,64.208,4.58E+05,7.0941,50595,13.433,95805,3.9727,28333,
1,1,5,10657,2,200.03,308.76,10.079,67.702,7.22E+05,4.9871,53148,20.9,2.23E+05,5.5833,59501,
1,1,6,12283,2,277.78,184.46,14.775,58.396,7.17E+05,5.0818,62420,28.598,3.51E+05,4.9864,61248,
1,1,7,17576,2,331.03,226.52,12.721,31.273,5.50E+05,6.2907,1.11E+05,14.233,2.50E+05,3.9544,69502,
1,1,8,15541,2,190.72,192.69,19.949,51.023,7.93E+05,5.0115,77884,29.292,4.55E+05,3.9176,60884,
1,1,9,18367,2,215.26,366.75,19.339,57.877,1.06E+06,7.7938,1.43E+05,15.134,2.78E+05,5.8192,1.07E+05,
1,1,10,6718,2,151.96,256.23,20.481,67.272,4.52E+05,8.962,60207,16.147,1.08E+05,6.3046,42354,
1,1,11,11066,2,339.81,289.2,20.301,50.823,5.62E+05,6.6725,73838,16.562,1.83E+05,4.8253,53397,
1,1,12,13010,2,328.23,180.6,27.264,47.798,6.22E+05,6.1026,79395,13.193,1.72E+05,4.8549,63162,
1,1,13,13913,2,145.29,292.76,24.893,63.646,8.86E+05,9.1394,1.27E+05,24.498,3.41E+05,6.0599,84311,
1,1,14,15495,2,257.99,151.66,29.053,41.705,6.46E+05,5.0445,78164,12.947,2.01E+05,3.6807,57033,
1,1,15,11512,2,291.8,362.13,29.222,64.419,7.42E+05,4.6233,53223,14.89,1.71E+05,5.3628,61737,
1,1,16,7656,1,188.75,375.08,28.062,61.677,4.72E+05,50.474,3.86E+05,46.268,3.54E+05,4.9784,38115,
1,1,17,9320,1,170.83,327.39,30.093,57.787,5.39E+05,47.292,4.41E+05,13.986,1.30E+05,5.6483,52642,
1,1,18,7241,1,219.12,337.13,29.494,61.982,4.49E+05,8.6382,62549,44.83,3.25E+05,20.027,1.45E+05,
1,1,19,6189,1,229.32,386.03,31.103,68.616,4.25E+05,53.731,3.33E+05,33.492,2.07E+05,4.805,29738,
1,1,20,15289,2,358.42,245.36,35.697,38.341,5.86E+05,3.9176,59896,14.867,2.27E+05,3.6015,55064,
1,1,21,12107,2,128.36,341.65,35.302,65.578,7.94E+05,4.0553,49098,21.346,2.58E+05,3.7523,45429,
1,1,22,5599,1,250.05,362.77,33.654,63.685,3.57E+05,29.657,1.66E+05,29.987,1.68E+05,6.2552,35023,
1,1,23,9715,2,142.74,247.51,37.356,65.498,6.36E+05,35.796,3.48E+05,42.713,4.15E+05,6.0652,58923,
1,1,24,5179,1,141.79,303.76,34.882,64.747,3.35E+05,52.183,2.70E+05,43.354,2.25E+05,7.1825,37198,
1,1,25,6364,1,193.54,353.97,36.216,54.897,3.49E+05,9.5413,60721,63.921,4.07E+05,17.335,1.10E+05,
1,1,26,11315,1,176.09,291.54,38.449,60.686,6.87E+05,14.531,1.64E+05,56.539,6.40E+05,5.5317,62591,
1,1,27,10465,2,346.25,305.1,41.736,51.492,5.39E+05,4.0998,42904,16.925,1.77E+05,4.1241,43159,
1,1,28,6854,1,157.34,372.99,41.057,51.849,3.55E+05,28.513,1.95E+05,39.749,2.72E+05,5.398,36998,
1,1,29,15795,2,162.95,183.99,46.17,40.69,6.43E+05,6.2456,98649,12.379,1.96E+05,3.2144,50772,
1,1,30,5743,1,210.26,390.54,43.563,54.536,3.13E+05,32.761,1.88E+05,42.363,2.43E+05,5.6192,32271,
1,1,31,6927,1,218.59,342.61,43.723,54.424,3.77E+05,28.513,1.98E+05,41.19,2.85E+05,6.7491,46751,
1,1,32,5787,2,231.19,409.14,46.178,68.263,3.95E+05,3.9698,22973,23.435,1.36E+05,3.2535,18828,
1,1,33,11115,2,299.06,359.53,45.574,49.988,5.56E+05,4.3682,48553,18.64,2.07E+05,4.7094,52345,
1,1,34,8494,1,157.67,331.38,45.804,53.352,4.53E+05,32.481,2.76E+05,37.22,3.16E+05,6.8506,58189,
1,1,35,5507,1,244.11,371.82,45.918,56.753,3.13E+05,29.026,1.60E+05,39.667,2.18E+05,5.5059,30321,
1,1,36,10250,2,305.3,160.12,51.125,52.187,5.35E+05,19.753,2.02E+05,26.268,2.69E+05,3.3806,34651,
1,1,37,15031,2,344.31,195.77,50.325,36.589,5.50E+05,6.1035,91742,12.716,1.91E+05,3.902,58651,
1,1,38,10370,1,155.77,278.13,50.216,63.261,6.56E+05,33.707,3.50E+05,32.561,3.38E+05,4.8419,50211,
1,1,39,4831,1,182.28,309.63,49.444,53.567,2.59E+05,49.689,2.40E+05,39.022,1.89E+05,6.0536,29245,
1,1,40,5374,2,126.22,266.82,51.918,64.218,3.45E+05,5.0093,26920,17.469,93879,3.7132,19955,
