Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,1,1,6474,2,292.3,327.99,4.5675,64.081,4.15E+05,85.925,5.56E+05,35.745,2.31E+05,59.798,3.87E+05,22.964,1.49E+05,
1,1,2,6875,2,338.57,214.09,5.3324,45.441,3.12E+05,78.951,5.43E+05,32.921,2.26E+05,45.95,3.16E+05,16.467,1.13E+05,
1,1,3,6702,2,324.59,167.98,7.3981,42.747,2.86E+05,80.637,5.40E+05,39.1,2.62E+05,50.439,3.38E+05,19.014,1.27E+05,
1,1,4,6141,2,175.01,213.14,6.8477,41.141,2.53E+05,109.64,6.73E+05,39.226,2.41E+05,63.184,3.88E+05,19.419,1.19E+05,
1,1,5,5635,2,204.39,295.5,6.2032,60.802,3.43E+05,102.75,5.79E+05,29.489,1.66E+05,52.126,2.94E+05,16.993,95754,
1,1,6,5133,2,242.72,336.47,5.9739,80.759,4.15E+05,91.237,4.68E+05,45.967,2.36E+05,70.382,3.61E+05,25.196,1.29E+05,
1,1,7,5456,2,264.21,169.8,6.5445,40.415,2.21E+05,94.853,5.18E+05,37.901,2.07E+05,57.13,3.12E+05,16.891,92155,
1,1,8,9483,2,223.01,202.21,7.9361,42.748,4.05E+05,100.85,9.56E+05,31.584,3.00E+05,50.266,4.77E+05,14.97,1.42E+05,
1,1,9,5708,2,235.46,149.21,9.9876,56.038,3.20E+05,102.58,5.86E+05,42.205,2.41E+05,60.708,3.47E+05,19.713,1.13E+05,
1,1,10,4678,2,210.99,331.65,11.934,73.198,3.42E+05,96.088,4.50E+05,40.229,1.88E+05,65.111,3.05E+05,24.128,1.13E+05,
1,1,11,5943,2,363.29,196.95,18.37,50.339,2.99E+05,69.162,4.11E+05,26.738,1.59E+05,45.363,2.70E+05,17.179,1.02E+05,
1,1,12,5915,2,370.26,287.16,17.866,53.432,3.16E+05,66.594,3.94E+05,20.833,1.23E+05,41.772,2.47E+05,18.029,1.07E+05,
1,1,13,5901,2,170.23,292.36,17.422,57.193,3.37E+05,102.31,6.04E+05,40.839,2.41E+05,65.391,3.86E+05,19.25,1.14E+05,
1,1,14,3168,1,272.77,328.49,14.437,52.608,1.67E+05,86.788,2.75E+05,76.807,2.43E+05,47.146,1.49E+05,67.057,2.12E+05,
