Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,1,1,6631,2,243.07,188.92,6.9903,139.64,9.26E+05,104.9,6.96E+05,23.589,1.56E+05,48.334,3.21E+05,16.674,1.11E+05,
1,1,2,6612,2,290.23,199.34,8.5389,127.77,8.45E+05,98.764,6.53E+05,25.505,1.69E+05,44.853,2.97E+05,17.323,1.15E+05,
1,1,3,6847,2,211.3,211.35,7.4541,136.26,9.33E+05,107.6,7.37E+05,24.038,1.65E+05,53.046,3.63E+05,18.575,1.27E+05,
1,1,4,2217,2,161.94,231.96,7.2197,179.92,3.99E+05,120.83,2.68E+05,12.822,28426,30.146,66834,17.931,39753,
1,1,5,6111,2,358.82,309.14,8.0345,120.82,7.38E+05,83.526,5.10E+05,17.736,1.08E+05,30.305,1.85E+05,15.77,96371,
1,1,6,7610,2,280.2,141,9.1468,103.51,7.88E+05,102.79,7.82E+05,24.685,1.88E+05,39.47,3.00E+05,15.802,1.20E+05,
1,1,7,4894,2,320.48,197.31,13.442,112.92,5.53E+05,99.721,4.88E+05,18.926,92623,36.024,1.76E+05,15.667,76672,
1,1,8,4933,1,203.44,243.23,14.233,161.77,7.98E+05,108.2,5.34E+05,68.275,3.37E+05,58.824,2.90E+05,18.711,92299,
1,1,9,8004,2,301.3,370.44,14.617,109.23,8.74E+05,87.565,7.01E+05,14.041,1.12E+05,30.353,2.43E+05,12.832,1.03E+05,
1,1,10,6357,2,251.43,167.21,17.053,133.96,8.52E+05,105.65,6.72E+05,18.011,1.15E+05,34.076,2.17E+05,15.863,1.01E+05,
1,1,11,3018,2,392.14,294.05,15.369,104.01,3.14E+05,75.437,2.28E+05,22.148,66842,33.842,1.02E+05,23.859,72005,
1,1,12,4528,2,250.72,399.94,16.235,186.34,8.44E+05,90.617,4.10E+05,14.617,66186,45.572,2.06E+05,12.866,58256,
1,1,13,3343,1,186.66,190.91,16.29,110.54,3.70E+05,115.94,3.88E+05,110.85,3.71E+05,89.435,2.99E+05,26.242,87728,
1,1,14,7038,2,349.55,345.55,20.61,91.154,6.42E+05,75.985,5.35E+05,17.491,1.23E+05,31.939,2.25E+05,14.73,1.04E+05,
1,1,15,2897,1,153.57,244.48,18.311,110.04,3.19E+05,113.25,3.28E+05,71.186,2.06E+05,71.151,2.06E+05,22.633,65569,
1,1,16,3420,2,274.61,391.72,19.009,155.4,5.31E+05,84.335,2.88E+05,14.967,51186,54.874,1.88E+05,14.604,49945,
1,1,17,5837,2,196.09,167.85,21.277,129.95,7.59E+05,111.54,6.51E+05,22.402,1.31E+05,67.944,3.97E+05,20.28,1.18E+05,
1,1,18,4439,2,164.81,187.48,21.526,128.13,5.69E+05,114.11,5.07E+05,23.337,1.04E+05,64.9,2.88E+05,18.409,81718,
1,1,19,7538,2,367.02,292.78,21.826,76.328,5.75E+05,81.442,6.14E+05,21.623,1.63E+05,48.644,3.67E+05,18.459,1.39E+05,
1,1,20,2868,1,169.03,217.04,19.986,113.57,3.26E+05,117.37,3.37E+05,82.632,2.37E+05,81.403,2.33E+05,22.321,64018,
1,1,21,5205,2,139.65,227.39,22.827,140.16,7.30E+05,120.19,6.26E+05,18.897,98358,66.116,3.44E+05,17.57,91454,
1,1,22,3394,1,177.41,299.34,22.423,156.47,5.31E+05,104.95,3.56E+05,19.09,64790,37.103,1.26E+05,46.855,1.59E+05,
1,1,23,3901,2,389.42,261.56,24.705,117.09,4.57E+05,80.826,3.15E+05,15.122,58989,26.826,1.05E+05,14.675,57249,
1,1,24,10719,2,306.77,155.7,27.305,71.577,7.67E+05,98.409,1.05E+06,21.959,2.35E+05,37.988,4.07E+05,16.226,1.74E+05,
1,1,25,4811,1,167.35,259.05,26.485,95.567,4.60E+05,111.34,5.36E+05,19.945,95955,45.933,2.21E+05,30.406,1.46E+05,
1,1,26,3548,1,146.29,269.6,26.554,84.491,3.00E+05,109.49,3.88E+05,22.242,78916,43.07,1.53E+05,29.886,1.06E+05,
1,1,27,4293,1,184.74,236.88,26.09,152.52,6.55E+05,110.59,4.75E+05,32.669,1.40E+05,77.777,3.34E+05,18.378,78895,
1,1,28,4422,2,262.49,132.97,26.949,144.77,6.40E+05,104.15,4.61E+05,29.227,1.29E+05,45.002,1.99E+05,17.262,76332,
1,1,29,4248,2,360.21,196.21,26.409,88.772,3.77E+05,84.586,3.59E+05,20.692,87899,69.161,2.94E+05,19.122,81231,
1,1,30,5493,1,148.6,296.46,29.014,100.39,5.51E+05,105.42,5.79E+05,77.673,4.27E+05,57.049,3.13E+05,25.03,1.37E+05,
1,1,31,6648,2,384.07,178.54,29.417,82.319,5.47E+05,77.875,5.18E+05,18.323,1.22E+05,30.885,2.05E+05,20.012,1.33E+05,
1,1,32,3749,2,324.78,209.53,29.265,144,5.40E+05,100.13,3.75E+05,17.566,65854,30.652,1.15E+05,15.949,59793,
1,1,33,4219,2,347.27,225.77,31.196,120.44,5.08E+05,89.981,3.80E+05,12.989,54799,27.607,1.16E+05,13.795,58200,
1,1,34,3726,2,305.28,247.69,30.682,132.26,4.93E+05,82.526,3.07E+05,11.743,43755,24.041,89577,11.605,43239,
1,1,35,1891,2,202.97,160.15,30.868,144.75,2.74E+05,107.91,2.04E+05,19.517,36906,58.31,1.10E+05,19.179,36268,
1,1,36,3841,1,196.18,272.49,31.724,139.29,5.35E+05,105.07,4.04E+05,32.569,1.25E+05,59.053,2.27E+05,19.578,75200,
1,1,37,6322,2,322.34,325.16,32.406,88.223,5.58E+05,88.328,5.58E+05,17.776,1.12E+05,56.761,3.59E+05,16.675,1.05E+05,
1,1,38,3991,2,156.03,197.59,32.127,133.98,5.35E+05,118.73,4.74E+05,18.168,72510,59.693,2.38E+05,17.233,68776,
1,1,39,5009,2,379.83,215.72,33.66,80.637,4.04E+05,78.301,3.92E+05,11.05,55351,22.659,1.14E+05,11.699,58600,
1,1,40,6663,2,358.94,273.07,33.198,88.161,5.87E+05,78.746,5.25E+05,18.333,1.22E+05,53.597,3.57E+05,16.807,1.12E+05,
1,1,41,4882,1,217.3,349.55,32.44,151.47,7.39E+05,96.972,4.73E+05,50.968,2.49E+05,52.021,2.54E+05,17.454,85210,
1,1,42,4042,2,241.59,158.28,32.458,143.09,5.78E+05,105.53,4.27E+05,13.202,53361,32.329,1.31E+05,17.922,72440,
