Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,1,9,9536,2,296.89,224.83,10.68,98.997,9.44E+05,181.77,1.73E+06,47.351,4.52E+05,37.177,3.55E+05,16.064,1.53E+05,
1,1,10,6468,2,290.93,258.87,9.6821,85.591,5.54E+05,187.05,1.21E+06,43.246,2.80E+05,33.781,2.19E+05,12.504,80875,
1,1,11,9715,1,246.35,230.95,12.406,98.26,9.55E+05,207.24,2.01E+06,45.799,4.45E+05,39.322,3.82E+05,52.772,5.13E+05,
1,1,12,6820,2,319.43,285.96,10.557,74.977,5.11E+05,161.05,1.10E+06,27.515,1.88E+05,23.626,1.61E+05,8.4084,57345,
1,1,13,6768,2,214.59,268.61,16.961,75.397,5.10E+05,208.56,1.41E+06,47.465,3.21E+05,35.883,2.43E+05,12.172,82380,
1,1,14,11820,2,244.28,300.74,18.099,80.2,9.48E+05,192.98,2.28E+06,26.643,3.15E+05,25.284,2.99E+05,10.819,1.28E+05,
1,1,15,7465,2,197.15,216.6,17.616,86.741,6.48E+05,227.84,1.70E+06,52.493,3.92E+05,38.689,2.89E+05,12.578,93893,
1,1,16,9714,2,248.14,153.01,21.261,88.853,8.63E+05,206.26,2.00E+06,42.586,4.14E+05,36.984,3.59E+05,11.542,1.12E+05,
1,1,17,7170,1,269.58,191.86,19.097,100.97,7.24E+05,197.07,1.41E+06,52.476,3.76E+05,37.487,2.69E+05,85.926,6.16E+05,
1,1,18,6728,1,224.72,196.88,19.008,110.27,7.42E+05,216.47,1.46E+06,38.559,2.59E+05,34.83,2.34E+05,68.615,4.62E+05,
1,1,19,6922,1,309.79,182.15,22.657,66.931,4.63E+05,175.16,1.21E+06,40.221,2.78E+05,33.555,2.32E+05,10.001,69224,
1,1,20,2697,1,318.3,240.52,20.792,116.75,3.15E+05,166.37,4.49E+05,40.6,1.10E+05,28.057,75671,12.124,32699,
1,1,21,6622,2,350.88,283.85,23.036,68.608,4.54E+05,144.04,9.54E+05,35.622,2.36E+05,24.887,1.65E+05,13.504,89421,
1,1,22,3708,2,202,174.62,26.416,97.711,3.62E+05,220.49,8.18E+05,38.736,1.44E+05,29.242,1.08E+05,11.952,44317,
1,1,23,5599,1,270.6,229.77,26.885,103.51,5.80E+05,197.04,1.10E+06,47.214,2.64E+05,34.896,1.95E+05,111.09,6.22E+05,
1,1,24,7673,1,249.67,251.28,28.302,93.812,7.20E+05,198.11,1.52E+06,37.742,2.90E+05,29.788,2.29E+05,63.583,4.88E+05,
1,1,25,8190,2,343.25,236.67,28.485,57.026,4.67E+05,151.96,1.24E+06,37.095,3.04E+05,30.368,2.49E+05,10.346,84735,
1,1,26,5157,2,187.99,255.01,30.66,74.439,3.84E+05,216.73,1.12E+06,49.282,2.54E+05,40.822,2.11E+05,22.522,1.16E+05,
1,1,27,5148,1,243.96,198.71,30.78,103.79,5.34E+05,205.17,1.06E+06,41.932,2.16E+05,32.73,1.68E+05,81.437,4.19E+05,
1,1,28,5220,1,226.43,231.81,32.737,90.441,4.72E+05,210.45,1.10E+06,55.204,2.88E+05,35.88,1.87E+05,46.603,2.43E+05,
1,1,29,7397,2,296.77,336.72,35.864,61.083,4.52E+05,162.32,1.20E+06,28.03,2.07E+05,26.767,1.98E+05,10.061,74421,
1,1,30,5108,2,346.12,297.65,36.126,70.991,3.63E+05,141.07,7.21E+05,45.304,2.31E+05,27.43,1.40E+05,28.807,1.47E+05,
1,1,31,7537,1,265.98,174.35,37.798,94.088,7.09E+05,196.74,1.48E+06,53.36,4.02E+05,32.982,2.49E+05,36.868,2.78E+05,
1,1,32,7940,2,236.55,331.95,34.212,57.482,4.56E+05,180.19,1.43E+06,38.136,3.03E+05,30.272,2.40E+05,17.961,1.43E+05,
1,1,33,10137,2,303.75,169.54,39.428,69.459,7.04E+05,175.32,1.78E+06,25.968,2.63E+05,23.544,2.39E+05,10.489,1.06E+05,
1,1,34,5244,2,175.89,219.73,37.874,66.618,3.49E+05,223.65,1.17E+06,34.472,1.81E+05,26.373,1.38E+05,11.994,62897,
1,1,35,6564,1,226.23,179.86,39.738,95.045,6.24E+05,215.75,1.42E+06,44.229,2.90E+05,30.606,2.01E+05,47.596,3.12E+05,
1,1,36,5292,1,278.52,206.43,38.11,86.471,4.58E+05,191.65,1.01E+06,38.913,2.06E+05,28.708,1.52E+05,59.841,3.17E+05,
1,1,37,6923,1,309.7,221.01,39.497,92.638,6.41E+05,171.71,1.19E+06,33.733,2.34E+05,26.42,1.83E+05,26.514,1.84E+05,
1,1,38,9077,1,210.14,228.48,42.99,76.802,6.97E+05,214.83,1.95E+06,40.023,3.63E+05,30.977,2.81E+05,73.476,6.67E+05,
1,1,39,5595,1,255.93,223.35,43.113,94.327,5.28E+05,198.19,1.11E+06,36.55,2.05E+05,26.886,1.50E+05,48.423,2.71E+05,
1,1,40,8455,2,337.82,239.81,45.952,75.119,6.35E+05,150.6,1.27E+06,36.68,3.10E+05,26.613,2.25E+05,23.714,2.01E+05,
1,1,41,7030,2,218.41,300.07,47.056,54.027,3.80E+05,189,1.33E+06,37.937,2.67E+05,26.657,1.87E+05,17.663,1.24E+05,
1,1,42,7163,1,240.56,232.45,52.831,65.973,4.73E+05,198.11,1.42E+06,43.725,3.13E+05,31.787,2.28E+05,60.367,4.32E+05,
1,1,43,7705,1,228.36,265.75,57.174,48.05,3.70E+05,195.02,1.50E+06,31.828,2.45E+05,25.882,1.99E+05,18.223,1.40E+05,
1,1,44,14665,2,226.59,188.48,57.583,49.965,7.33E+05,210.38,3.09E+06,32.241,4.73E+05,25.466,3.73E+05,15.71,2.30E+05,
1,1,45,8023,1,280.47,217.59,56.933,58.807,4.72E+05,181.63,1.46E+06,26.582,2.13E+05,26.118,2.10E+05,59.678,4.79E+05,
1,1,46,11207,2,311.45,214.55,57.329,58.078,6.51E+05,164.36,1.84E+06,33.452,3.75E+05,28.472,3.19E+05,13.926,1.56E+05,
1,1,47,12930,2,290.41,326.92,55.33,34.132,4.41E+05,161.42,2.09E+06,28.722,3.71E+05,18.859,2.44E+05,16.74,2.16E+05,
1,1,48,8645,2,266.91,263.63,62.015,59.902,5.18E+05,181.51,1.57E+06,36.195,3.13E+05,24.656,2.13E+05,13.006,1.12E+05,
