Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,1,65,13561,2,208.78,287.56,13.149,77.137,1.05E+06,203.25,2.76E+06,53.894,7.31E+05,42.516,5.77E+05,15.961,2.16E+05,
1,1,66,3997,2,257.88,301.26,14.13,120.63,4.82E+05,180,7.19E+05,69.516,2.78E+05,48.042,1.92E+05,20.077,80247,
1,1,67,14862,2,209.44,215.11,18.371,72.839,1.08E+06,211.77,3.15E+06,56.45,8.39E+05,48.186,7.16E+05,15.627,2.32E+05,
1,1,68,5835,2,256.31,216.68,12.843,90.396,5.27E+05,188.17,1.10E+06,62.831,3.67E+05,50.132,2.93E+05,20.084,1.17E+05,
1,1,69,10437,2,310.12,278.6,13.953,87.45,9.13E+05,157.54,1.64E+06,46.285,4.83E+05,34.06,3.55E+05,13.035,1.36E+05,
1,1,70,8911,1,246.61,335.44,24.416,102.52,9.14E+05,177.73,1.58E+06,55.563,4.95E+05,46.846,4.17E+05,19.072,1.70E+05,
1,1,72,9727,1,183.11,322.42,28.374,86.112,8.38E+05,202.77,1.97E+06,55.64,5.41E+05,45.711,4.45E+05,16.07,1.56E+05,
1,1,73,8301,2,161.12,271.99,36.27,87.715,7.28E+05,219.68,1.82E+06,59.975,4.98E+05,50.391,4.18E+05,16.156,1.34E+05,
1,1,74,6932,2,182.82,194.43,37.556,57.436,3.98E+05,224.55,1.56E+06,33.618,2.33E+05,37.238,2.58E+05,13.458,93294,
1,1,76,11116,2,197.86,354.29,46.891,83.606,9.29E+05,190,2.11E+06,41.808,4.65E+05,33.6,3.74E+05,13.352,1.48E+05,
1,1,77,6709,1,173.74,282.79,46.349,89.61,6.01E+05,216.59,1.45E+06,44.391,2.98E+05,35.733,2.40E+05,15.384,1.03E+05,
1,1,78,4200,2,164.45,211.46,46.356,74.541,3.13E+05,223.11,9.37E+05,36.062,1.51E+05,32.941,1.38E+05,13.993,58772,
1,1,79,8553,1,198.99,302.35,50.051,81.59,6.98E+05,208.16,1.78E+06,38.337,3.28E+05,35.633,3.05E+05,55.155,4.72E+05,
1,1,80,5603,2,260.6,365.26,48.804,75.104,4.21E+05,164.47,9.22E+05,43.947,2.46E+05,33.62,1.88E+05,13.537,75849,
1,1,81,4287,1,241.07,340.98,50.331,78.688,3.37E+05,190.38,8.16E+05,38.454,1.65E+05,27.756,1.19E+05,22.001,94319,
1,1,82,8426,2,306.18,333.26,50.152,83.047,7.00E+05,158.95,1.34E+06,29.286,2.47E+05,24.934,2.10E+05,12.513,1.05E+05,
1,1,83,8136,1,160.94,237.95,56.39,76.09,6.19E+05,217.77,1.77E+06,50.726,4.13E+05,45.473,3.70E+05,14.84,1.21E+05,
1,1,84,13704,2,199.5,178.47,55.717,47.796,6.55E+05,207.48,2.84E+06,37.145,5.09E+05,31.896,4.37E+05,12.577,1.72E+05,
1,1,85,6780,1,204.35,280.01,61.654,67.41,4.57E+05,205.82,1.40E+06,30.412,2.06E+05,27.015,1.83E+05,36.965,2.51E+05,
1,1,86,7730,1,189.67,241.67,63.915,72.608,5.61E+05,211.27,1.63E+06,47.925,3.70E+05,37.69,2.91E+05,19.961,1.54E+05,
1,1,87,9237,1,190.04,318.76,62.267,63.612,5.88E+05,199.53,1.84E+06,26.325,2.43E+05,23.815,2.20E+05,23.715,2.19E+05,
1,1,88,20361,2,340.68,275.22,64.847,38.631,7.87E+05,142.66,2.90E+06,32.409,6.60E+05,21.427,4.36E+05,11.241,2.29E+05,
1,1,89,8570,2,154.63,283.19,67.25,41.865,3.59E+05,211.35,1.81E+06,36.643,3.14E+05,32.252,2.76E+05,13.745,1.18E+05,
1,1,91,7239,1,180.41,257.6,72.661,63.716,4.61E+05,209.73,1.52E+06,32.656,2.36E+05,28.572,2.07E+05,29.135,2.11E+05,
1,1,92,8747,1,231.83,280.82,73.3,61.041,5.34E+05,188.45,1.65E+06,29.291,2.56E+05,27.106,2.37E+05,55.353,4.84E+05,
1,1,93,6808,2,274.2,337.51,73.58,46.916,3.19E+05,157.23,1.07E+06,33.993,2.31E+05,24.55,1.67E+05,11.282,76807,
1,1,94,8655,1,224.15,317.22,76.46,58.748,5.08E+05,196.91,1.70E+06,35.212,3.05E+05,27.208,2.35E+05,32.228,2.79E+05,
1,1,95,7402,2,212.22,205.39,78.306,44.862,3.32E+05,207.28,1.53E+06,37.902,2.81E+05,27.053,2.00E+05,12.728,94213,
1,1,96,8399,1,259.33,307.48,78.889,65.292,5.48E+05,175.28,1.47E+06,32.69,2.75E+05,26.651,2.24E+05,50.732,4.26E+05,
1,1,97,8578,2,196.58,335.72,78.547,41.146,3.53E+05,182,1.56E+06,32.058,2.75E+05,25.903,2.22E+05,12.092,1.04E+05,
1,1,98,3682,1,235.34,342.78,77.556,66.473,2.45E+05,169.46,6.24E+05,36.608,1.35E+05,26.566,97816,19.395,71411,
1,1,99,9108,1,230.36,243.82,81.401,59.27,5.40E+05,197.19,1.80E+06,32.414,2.95E+05,28.043,2.55E+05,35.674,3.25E+05,
1,1,100,9606,1,189.21,287.02,80.352,56.382,5.42E+05,198.65,1.91E+06,37.037,3.56E+05,30.232,2.90E+05,39.141,3.76E+05,
1,1,101,9635,2,277.95,251.32,84.474,52.579,5.07E+05,170,1.64E+06,42.91,4.13E+05,29.73,2.86E+05,11.728,1.13E+05,
1,1,102,2497,2,220.1,281.14,86.406,45.496,1.14E+05,181.35,4.53E+05,34.495,86134,31.794,79389,15.206,37970,
