Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,1,1,9965,2,211.69,233.55,6.2701,82.18,8.19E+05,185.15,1.85E+06,54.485,5.43E+05,41.095,4.10E+05,14.94,1.49E+05,
1,1,2,7831,2,244.48,259.82,7.3724,97.907,7.67E+05,188.77,1.48E+06,49.812,3.90E+05,50.338,3.94E+05,15.156,1.19E+05,
1,1,3,10254,2,219.06,315.08,7.9457,84.814,8.70E+05,177.87,1.82E+06,57.243,5.87E+05,43.903,4.50E+05,13.78,1.41E+05,
1,1,4,4491,1,253.61,293.93,10.251,96.845,4.35E+05,165.83,7.45E+05,61.236,2.75E+05,53.02,2.38E+05,61.696,2.77E+05,
1,1,5,17085,2,307.8,256.41,11.335,59.996,1.03E+06,154.96,2.65E+06,34.117,5.83E+05,33.468,5.72E+05,12.058,2.06E+05,
1,1,6,10360,2,168.16,298.95,13.195,51.042,5.29E+05,189.73,1.97E+06,32.492,3.37E+05,29.979,3.11E+05,11.329,1.17E+05,
1,1,7,4393,1,276.42,313.04,15.618,91.894,4.04E+05,156.37,6.87E+05,64.011,2.81E+05,56.532,2.48E+05,19.964,87701,
1,1,8,5628,1,266.45,279.81,20.58,113.15,6.37E+05,160.81,9.05E+05,39.423,2.22E+05,32.982,1.86E+05,14.714,82812,
1,1,9,7590,2,252.06,202.66,21.151,72.183,5.48E+05,170.04,1.29E+06,38.6,2.93E+05,32.758,2.49E+05,12.346,93704,
1,1,10,5536,1,244.79,322.01,20.972,79.681,4.41E+05,162.99,9.02E+05,56.533,3.13E+05,43.59,2.41E+05,39.554,2.19E+05,
1,1,11,4616,2,296.6,334.74,19.325,90.3,4.17E+05,146.36,6.76E+05,41.603,1.92E+05,42.155,1.95E+05,14.523,67038,
1,1,12,4065,2,193.2,167.65,17.113,77.002,3.13E+05,202.02,8.21E+05,19.928,81008,18.97,77112,9.7739,39731,
1,1,13,4942,1,268.42,247.23,22.672,78.96,3.90E+05,166.15,8.21E+05,36.926,1.82E+05,43.215,2.14E+05,49.337,2.44E+05,
1,1,14,7166,2,156.08,232.1,25.807,59.118,4.24E+05,201.9,1.45E+06,41.765,2.99E+05,39.064,2.80E+05,18.889,1.35E+05,
1,1,15,3053,1,316.12,313.47,23.84,104.87,3.20E+05,138.18,4.22E+05,46.342,1.41E+05,43.043,1.31E+05,24.209,73909,
1,1,16,3610,1,291.47,307.55,24.994,89.201,3.22E+05,152.86,5.52E+05,40.697,1.47E+05,35.638,1.29E+05,33.973,1.23E+05,
1,1,17,2843,1,303.13,277.37,25.127,82.856,2.36E+05,145.54,4.14E+05,51.894,1.48E+05,40.203,1.14E+05,24.242,68920,
1,1,18,11096,2,221.88,356.64,27.946,74.26,8.24E+05,161.23,1.79E+06,43.031,4.77E+05,38.985,4.33E+05,12.679,1.41E+05,
1,1,19,8439,2,164.48,180.91,30.747,50.538,4.26E+05,205.16,1.73E+06,37.815,3.19E+05,32.387,2.73E+05,16.252,1.37E+05,
1,1,20,3226,1,292.01,258.28,32.174,89.209,2.88E+05,160.96,5.19E+05,35.75,1.15E+05,35.387,1.14E+05,34.226,1.10E+05,
1,1,21,4785,1,258.44,298.9,33.379,70.506,3.37E+05,169.2,8.10E+05,52.424,2.51E+05,40.617,1.94E+05,17.288,82722,
1,1,22,4186,1,289.96,348.73,32.067,77.1,3.23E+05,150.54,6.30E+05,48.24,2.02E+05,40.245,1.68E+05,38.994,1.63E+05,
1,1,23,5489,2,275.24,367.88,35.533,88.825,4.88E+05,152.31,8.36E+05,44.441,2.44E+05,34.905,1.92E+05,15.522,85203,
1,1,24,9126,2,238.72,166.71,38.593,73.626,6.72E+05,182.59,1.67E+06,48.134,4.39E+05,37.61,3.43E+05,16.216,1.48E+05,
1,1,25,5778,1,294.39,227.69,35.617,106.38,6.15E+05,159.24,9.20E+05,31.089,1.80E+05,28.736,1.66E+05,24.756,1.43E+05,
