Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,1,1,6575,2,250.66,274.12,7.4523,88.837,5.84E+05,162.76,1.07E+06,42.386,2.79E+05,35.57,2.34E+05,11.758,77306,
1,1,2,7276,2,284.36,255.79,7.5169,84.587,6.15E+05,158.18,1.15E+06,35.168,2.56E+05,33.637,2.45E+05,11.95,86951,
1,1,3,6021,2,307.72,299.34,8.1344,67.601,4.07E+05,143.16,8.62E+05,33.875,2.04E+05,26.413,1.59E+05,11.244,67700,
1,1,4,7491,2,235.07,315.51,10.786,86.584,6.49E+05,166.82,1.25E+06,33.562,2.51E+05,27.668,2.07E+05,10.287,77058,
1,1,5,6775,2,216.2,260.72,11.982,72.563,4.92E+05,176.46,1.20E+06,38.898,2.64E+05,29.37,1.99E+05,13.563,91886,
1,1,6,7445,2,270.09,316.96,10.964,75.597,5.63E+05,153.48,1.14E+06,30.492,2.27E+05,28.471,2.12E+05,10.49,78099,
1,1,7,3885,1,261.65,238.07,15.292,78.463,3.05E+05,164.56,6.39E+05,46.508,1.81E+05,35.836,1.39E+05,26.549,1.03E+05,
1,1,8,3726,1,285.64,279.34,16.543,122.66,4.57E+05,154.69,5.76E+05,19.258,71756,20.334,75764,12.497,46563,
1,1,9,5423,2,237.41,225.07,18.941,83.868,4.55E+05,174.93,9.49E+05,31.417,1.70E+05,33.178,1.80E+05,10.746,58276,
1,1,10,5780,2,202.27,236.7,23.166,71.116,4.11E+05,186.48,1.08E+06,33.537,1.94E+05,30.791,1.78E+05,10.319,59641,
1,1,11,9577,2,318.1,238.87,21.431,59.796,5.73E+05,137.13,1.31E+06,26.652,2.55E+05,27.087,2.59E+05,9.9312,95111,
1,1,12,709,1,292.1,249.16,17.886,75.702,53673,152.36,1.08E+05,35.646,25273,28.01,19859,17.884,12680,
1,1,13,6254,2,220.2,334.68,23,74.083,4.63E+05,165.47,1.03E+06,36.161,2.26E+05,30.266,1.89E+05,12.026,75209,
1,1,14,6304,2,339.1,282.24,24.188,61.876,3.90E+05,124.24,7.83E+05,29.178,1.84E+05,25.785,1.63E+05,12.828,80866,
1,1,15,6978,1,269.48,246.35,25.182,83.701,5.84E+05,158.93,1.11E+06,27.854,1.94E+05,26.936,1.88E+05,21.984,1.53E+05,
1,1,16,5545,2,173.95,249.08,25.227,54.728,3.03E+05,190.83,1.06E+06,36.68,2.03E+05,31.996,1.77E+05,12.713,70495,
1,1,17,3639,1,326.95,310.69,24.803,68.767,2.50E+05,129.68,4.72E+05,20.171,73402,24.024,87424,33.439,1.22E+05,
1,1,18,3330,1,306.85,315.28,25.954,82.855,2.76E+05,135.88,4.52E+05,41.709,1.39E+05,27.418,91303,16.608,55305,
1,1,19,2196,1,289.78,321.08,24.357,95.054,2.09E+05,142.96,3.14E+05,38.856,85327,27.024,59344,17.154,37670,
1,1,20,2900,1,259.1,325.84,26.224,84.892,2.46E+05,151.2,4.38E+05,50.217,1.46E+05,31.442,91182,12.668,36737,
1,1,21,4931,2,268.8,353.31,29.012,99.795,4.92E+05,140.59,6.93E+05,27.405,1.35E+05,20.918,1.03E+05,10.527,51910,
1,1,22,8287,2,194.01,310.29,30.993,69.6,5.77E+05,173.21,1.44E+06,39.684,3.29E+05,29.317,2.43E+05,12.474,1.03E+05,
1,1,23,4700,2,275.96,210.58,30.646,73.856,3.47E+05,154,7.24E+05,29.582,1.39E+05,29.237,1.37E+05,12.464,58583,
1,1,24,6643,2,230.95,214.98,32.138,55.566,3.69E+05,176.78,1.17E+06,31.252,2.08E+05,31.801,2.11E+05,13.883,92223,
1,1,25,1206,1,288.29,294.44,27.155,83.51,1.01E+05,143.6,1.73E+05,37.256,44931,26.099,31475,12.201,14714,
1,1,26,3941,1,242.3,289.5,34.302,72.115,2.84E+05,163.27,6.43E+05,37.592,1.48E+05,27.415,1.08E+05,11.528,45431,
1,1,27,1491,1,305.93,244.53,32.256,87.038,1.30E+05,142.54,2.13E+05,45.56,67930,28.091,41883,28.117,41922,
1,1,28,1837,1,283.35,270.82,31.844,77.617,1.43E+05,157.23,2.89E+05,16.94,31118,24.161,44384,36.983,67938,
1,1,29,7565,1,248.41,242.84,34.999,75.703,5.73E+05,169.27,1.28E+06,18.051,1.37E+05,22.071,1.67E+05,20.719,1.57E+05,
1,1,30,3677,1,269.31,308.97,36.233,73.372,2.70E+05,154.82,5.69E+05,18.545,68191,24.294,89329,33.503,1.23E+05,
1,1,31,6436,2,168.52,271.69,40.633,60.914,3.92E+05,189.78,1.22E+06,33.625,2.16E+05,28.096,1.81E+05,14.925,96060,
1,1,32,6698,2,233.12,339.22,39.111,80.681,5.40E+05,157.63,1.06E+06,38.443,2.57E+05,28.627,1.92E+05,12.124,81208,
1,1,33,3361,1,332.78,284.8,38.635,73.534,2.47E+05,128.6,4.32E+05,22.01,73974,23.887,80285,39.591,1.33E+05,
1,1,34,3417,1,291.13,336.04,41.142,69.731,2.38E+05,140.11,4.79E+05,20.856,71266,22.749,77733,29.071,99336,
1,1,35,2507,1,282.36,234.97,41.964,93.387,2.34E+05,157.59,3.95E+05,23.153,58044,21.777,54594,23.947,60034,
1,1,36,3461,1,300.75,303.32,41.151,69.56,2.41E+05,143.24,4.96E+05,33.766,1.17E+05,22.97,79498,10.7,37033,
1,1,37,4348,2,315.49,331.94,43.341,65.534,2.85E+05,132.51,5.76E+05,26.333,1.15E+05,21.918,95300,9.557,41554,
1,1,38,3390,1,311.43,261.96,43.111,71.303,2.42E+05,142.92,4.85E+05,37.592,1.27E+05,25.346,85923,15.376,52123,
1,1,39,7020,1,288.1,273.94,42.995,75.014,5.27E+05,154.55,1.09E+06,27.532,1.93E+05,23.617,1.66E+05,18.858,1.32E+05,
1,1,40,2739,1,258.19,334.92,44.188,76.942,2.11E+05,156.61,4.29E+05,42.237,1.16E+05,27.411,75080,11.4,31225,
1,1,41,5373,2,237.23,212.56,45.504,58.243,3.13E+05,180.15,9.68E+05,36.763,1.98E+05,27.807,1.49E+05,20.37,1.09E+05,
1,1,42,2109,1,262.72,286.39,44.831,97.932,2.07E+05,156.62,3.30E+05,20.116,42424,22.028,46458,34.055,71821,
1,1,43,5703,2,333.14,294.27,48.607,58.74,3.35E+05,123.97,7.07E+05,26.139,1.49E+05,23.044,1.31E+05,10.393,59272,
1,1,44,2979,1,269.67,309.56,48.675,70.856,2.11E+05,149.03,4.44E+05,39.919,1.19E+05,25.656,76429,11.023,32838,
1,1,45,5011,1,299.15,236.55,51.275,54.499,2.73E+05,145.67,7.30E+05,21.113,1.06E+05,25.291,1.27E+05,38.158,1.91E+05,
1,1,46,9129,2,184.24,229.38,53.586,37.09,3.39E+05,182.31,1.66E+06,28.375,2.59E+05,22.552,2.06E+05,11.649,1.06E+05,
1,1,47,5030,2,263.68,218.86,54.003,53.793,2.71E+05,155.82,7.84E+05,27.967,1.41E+05,23.673,1.19E+05,12.453,62638,
1,1,48,3540,1,274.74,257.06,52.063,68.626,2.43E+05,157.15,5.56E+05,20.748,73449,20.373,72121,18.505,65509,
1,1,49,3170,2,168.5,297.77,52.464,128.99,4.09E+05,174.49,5.53E+05,16.402,51994,13.636,43225,9.0315,28630,
1,1,50,4753,1,246.44,300.81,52.031,51.426,2.44E+05,154.07,7.32E+05,36.131,1.72E+05,24.805,1.18E+05,12.176,57871,
1,1,51,6238,2,212.8,323.64,54.561,53.27,3.32E+05,157.93,9.85E+05,30.505,1.90E+05,24.528,1.53E+05,10.724,66897,
1,1,52,2344,1,304.08,267.9,52.745,73.637,1.73E+05,140.65,3.30E+05,40.555,95062,26.128,61243,10.602,24850,
1,1,53,6009,2,254.49,332.21,55.082,53.153,3.19E+05,143.67,8.63E+05,29.427,1.77E+05,23.044,1.38E+05,9.5264,57244,
1,1,54,4395,2,305.68,300.52,58.619,60.161,2.64E+05,125.93,5.53E+05,25.137,1.10E+05,23.667,1.04E+05,10.841,47648,
1,1,55,2973,1,278.42,292.68,61.872,64.93,1.93E+05,136.24,4.05E+05,21.086,62690,21.722,64580,26.818,79730,
1,1,56,5125,2,223,302.59,64.507,45.916,2.35E+05,156.77,8.03E+05,30.173,1.55E+05,21.101,1.08E+05,13.022,66740,
