Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,1,1,10348,2,220.71,264.58,6.2285,69.44,7.19E+05,168,1.74E+06,45.363,4.69E+05,37.88,3.92E+05,30.003,3.10E+05,
1,1,2,13035,2,244.86,317.78,7.3916,57.26,7.46E+05,155.36,2.03E+06,36.701,4.78E+05,28.635,3.73E+05,14.318,1.87E+05,
1,1,3,9106,2,286.27,265.82,7.6615,77.491,7.06E+05,148.88,1.36E+06,40.113,3.65E+05,33.119,3.02E+05,21.012,1.91E+05,
1,1,4,9330,2,181.73,231.78,18.042,41.888,3.91E+05,190.24,1.77E+06,32.619,3.04E+05,27.724,2.59E+05,11.504,1.07E+05,
1,1,5,7726,2,304.31,317.47,20.786,70.021,5.41E+05,133.24,1.03E+06,39.761,3.07E+05,30.701,2.37E+05,18.071,1.40E+05,
1,1,6,14343,2,188.46,323.61,21.857,34.21,4.91E+05,165.58,2.37E+06,28.912,4.15E+05,22.427,3.22E+05,10.181,1.46E+05,
1,1,7,6468,2,287.53,217.99,25.353,70.777,4.58E+05,160.09,1.04E+06,34.872,2.26E+05,31.153,2.02E+05,13.778,89119,
1,1,8,7973,2,320.02,264.43,26.819,73.144,5.83E+05,137.91,1.10E+06,35.476,2.83E+05,29.733,2.37E+05,15.896,1.27E+05,
1,1,9,9738,2,154.31,294.21,29.289,40.118,3.91E+05,185.32,1.80E+06,34.321,3.34E+05,28.871,2.81E+05,13.534,1.32E+05,
1,1,10,7337,2,224.67,191.58,33.51,59.825,4.39E+05,179.12,1.31E+06,37.537,2.75E+05,31.093,2.28E+05,15.041,1.10E+05,
1,1,11,6876,1,313.24,231.11,36.017,70.258,4.83E+05,146.34,1.01E+06,33.692,2.32E+05,31.234,2.15E+05,39.596,2.72E+05,
1,1,12,6697,2,286.9,344.05,39.888,64.472,4.32E+05,148.96,9.98E+05,33.616,2.25E+05,31.36,2.10E+05,20.312,1.36E+05,
1,1,13,9988,2,161.36,214.46,37.988,36.895,3.69E+05,208.8,2.09E+06,31.444,3.14E+05,27.983,2.80E+05,11.734,1.17E+05,
1,1,15,4726,1,315.3,298.5,39.825,64.636,3.05E+05,137.2,6.48E+05,32.938,1.56E+05,30.401,1.44E+05,62.415,2.95E+05,
1,1,16,6731,2,271.73,196.54,42.232,59.602,4.01E+05,160.77,1.08E+06,31.906,2.15E+05,29.967,2.02E+05,11.552,77755,
1,1,17,13603,2,187.27,346.87,45.625,43.644,5.94E+05,170.75,2.32E+06,30.602,4.16E+05,27.06,3.68E+05,12.529,1.70E+05,
1,1,18,3452,1,326.36,267.82,43.348,66.344,2.29E+05,137.1,4.73E+05,29.783,1.03E+05,28.306,97713,69.146,2.39E+05,
1,1,19,2978,1,283.52,282.4,44.504,43.361,1.29E+05,154.93,4.61E+05,36.38,1.08E+05,30.214,89977,26.557,79088,
1,1,20,2686,1,318.6,245.69,44.6,80.439,2.16E+05,138.36,3.72E+05,28.239,75849,26.875,72185,46.857,1.26E+05,
1,1,21,7088,2,335.15,299.64,48.135,70.486,5.00E+05,126.78,8.99E+05,29.422,2.09E+05,28.593,2.03E+05,13.467,95451,
1,1,22,3961,1,293.85,227.44,47.832,68.213,2.70E+05,154.5,6.12E+05,27.969,1.11E+05,26.701,1.06E+05,39.403,1.56E+05,
1,1,23,5895,2,302.83,198.93,50.633,62.05,3.66E+05,139.21,8.21E+05,29.561,1.74E+05,29.601,1.75E+05,12.816,75550,
1,1,24,3685,1,275.52,222.84,53.669,56.461,2.08E+05,149.55,5.51E+05,39.802,1.47E+05,29.253,1.08E+05,14.629,53909,
1,1,25,4961,2,288.68,341.61,53.372,64.413,3.20E+05,133.36,6.62E+05,30.958,1.54E+05,26.273,1.30E+05,12.961,64302,
1,1,26,5743,1,302.79,257.69,55.513,60.201,3.46E+05,138.25,7.94E+05,27.806,1.60E+05,26.481,1.52E+05,26.333,1.51E+05,
1,1,27,4479,1,306.27,315.1,53.765,55.604,2.49E+05,134.62,6.03E+05,31.306,1.40E+05,26.345,1.18E+05,35.57,1.59E+05,
1,1,28,7890,2,192.29,198.28,56.003,41.017,3.24E+05,180.98,1.43E+06,27.587,2.18E+05,23.981,1.89E+05,10.787,85106,
