Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,1,6,22162,2,225.48,313.18,11.025,31.271,6.93E+05,155.21,3.44E+06,77.128,1.71E+06,51.559,1.14E+06,26.681,5.91E+05,
1,1,7,14336,2,272.42,221.94,12.321,39.28,5.63E+05,157.14,2.25E+06,85.568,1.23E+06,62.486,8.96E+05,48.399,6.94E+05,
1,1,8,17212,2,268.17,198.15,28.839,36.803,6.33E+05,158.35,2.73E+06,57.512,9.90E+05,49.162,8.46E+05,20.11,3.46E+05,
1,1,9,9132,1,330.88,217.06,32.71,52.132,4.76E+05,127.36,1.16E+06,82.633,7.55E+05,58.447,5.34E+05,24.094,2.20E+05,
1,1,10,10182,2,204.51,239.84,35.107,46.933,4.78E+05,181.95,1.85E+06,68.647,6.99E+05,53.406,5.44E+05,18.963,1.93E+05,
1,1,11,11419,1,347.47,311.13,36.536,40.325,4.60E+05,117,1.34E+06,70.769,8.08E+05,52.256,5.97E+05,56.24,6.42E+05,
1,1,12,14127,2,269.4,361.2,33.399,13.545,1.91E+05,135.26,1.91E+06,17.553,2.48E+05,12.47,1.76E+05,7.5831,1.07E+05,
1,1,13,8639,1,301.86,221.05,44.495,44.355,3.83E+05,149.59,1.29E+06,47.887,4.14E+05,40.413,3.49E+05,31.577,2.73E+05,
1,1,14,9252,1,230.12,219.9,45.413,42.206,3.90E+05,176.82,1.64E+06,49.055,4.54E+05,40.707,3.77E+05,82.441,7.63E+05,
1,1,15,12873,2,346.18,244.27,44.09,40.224,5.18E+05,124.38,1.60E+06,58.437,7.52E+05,44.953,5.79E+05,20.234,2.60E+05,
1,1,16,9008,1,286.83,184.54,50.672,40.506,3.65E+05,151.57,1.37E+06,48.802,4.40E+05,36.834,3.32E+05,35.211,3.17E+05,
1,1,17,12910,2,215.53,315.36,51.884,37.876,4.89E+05,154.43,1.99E+06,70.492,9.10E+05,50.1,6.47E+05,19.627,2.53E+05,
1,1,18,6987,1,264.42,219.38,50.584,42.913,3.00E+05,167.94,1.17E+06,52.786,3.69E+05,40.664,2.84E+05,40.505,2.83E+05,
1,1,19,5459,1,333.05,274.36,52.3,41.13,2.25E+05,123.31,6.73E+05,53.774,2.94E+05,38.517,2.10E+05,18.285,99818,
1,1,20,15139,2,273.09,158.94,54.215,33.624,5.09E+05,155.82,2.36E+06,43.21,6.54E+05,33.491,5.07E+05,23.411,3.54E+05,
1,1,21,8326,1,223.75,260.29,52.131,37.551,3.13E+05,166.1,1.38E+06,70.715,5.89E+05,49.602,4.13E+05,33.245,2.77E+05,
1,1,22,16774,2,190.43,271.55,54.799,29.895,5.01E+05,172.5,2.89E+06,59.757,1.00E+06,46.096,7.73E+05,20.568,3.45E+05,
1,1,23,7701,1,260.34,252.97,57.027,36.91,2.84E+05,150.93,1.16E+06,49.143,3.78E+05,39.883,3.07E+05,47.059,3.62E+05,
1,1,24,6623,1,292.46,236.74,57.248,39.58,2.62E+05,143.03,9.47E+05,61.303,4.06E+05,43.498,2.88E+05,22.471,1.49E+05,
1,1,25,8051,1,250.72,191.6,60.099,39.386,3.17E+05,155.32,1.25E+06,48.201,3.88E+05,35.704,2.87E+05,37.258,3.00E+05,
1,1,26,18017,2,204.05,196.7,64.817,30.181,5.44E+05,170.28,3.07E+06,39.296,7.08E+05,31.708,5.71E+05,25.993,4.68E+05,
1,1,27,9206,1,325.22,209.94,61.356,34.722,3.20E+05,128.45,1.18E+06,49.964,4.60E+05,35.801,3.30E+05,24.494,2.25E+05,
1,1,28,8871,1,234.89,231.86,64.434,36.255,3.22E+05,159.55,1.42E+06,51.329,4.55E+05,37.303,3.31E+05,30.56,2.71E+05,
1,1,29,7909,1,321.02,251.71,64.089,38.707,3.06E+05,125.8,9.95E+05,45.239,3.58E+05,33.232,2.63E+05,48.152,3.81E+05,
1,1,30,9944,2,319.57,338.71,62.264,28.42,2.83E+05,117.29,1.17E+06,40.176,4.00E+05,28.613,2.85E+05,15.246,1.52E+05,
1,1,31,6894,1,287.69,268.36,67.52,38.187,2.63E+05,135.46,9.34E+05,55.29,3.81E+05,39.251,2.71E+05,38.217,2.63E+05,
1,1,32,7145,1,276.75,220.86,68.391,40.936,2.92E+05,149.5,1.07E+06,45.637,3.26E+05,34.986,2.50E+05,57.827,4.13E+05,
1,1,33,14302,2,347.86,246.45,72.233,25.862,3.70E+05,112.02,1.60E+06,37.907,5.42E+05,28.197,4.03E+05,15.194,2.17E+05,
1,1,34,11653,2,212.17,271.86,73.05,32.906,3.83E+05,153.65,1.79E+06,42.741,4.98E+05,33.025,3.85E+05,16.393,1.91E+05,
1,1,35,15593,2,271.48,308.19,74.433,31.286,4.88E+05,133.59,2.08E+06,44.238,6.90E+05,32.215,5.02E+05,26.246,4.09E+05,
1,1,36,9752,2,255.52,259.63,74.884,36.86,3.59E+05,145.29,1.42E+06,39.195,3.82E+05,33.371,3.25E+05,95.853,9.35E+05,
1,1,37,8486,2,239.06,211.86,76.418,33.78,2.87E+05,159.52,1.35E+06,41.335,3.51E+05,30.628,2.60E+05,26.948,2.29E+05,
1,1,38,6750,2,304.85,220.4,76.987,35.565,2.40E+05,135.97,9.18E+05,42.676,2.88E+05,31.368,2.12E+05,31.629,2.14E+05,
1,1,39,3120,2,274.49,195.17,78.561,31.552,98441,154.11,4.81E+05,45.056,1.41E+05,33.834,1.06E+05,20.136,62823,
