Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum,M/L
1,1,5,8758,2,130.53,357.08,7.6617,115.21,1.01E+06,127.13,1.11E+06,19.065,1.67E+05,21.63,1.89E+05,5.7472,50334,M
1,1,10,4921,2,141.67,318.8,6.8893,173.01,8.51E+05,140.56,6.92E+05,19.611,96506,33.745,1.66E+05,6.593,32444,M
1,1,13,2346,2,107.25,311.51,9.0251,146.14,3.43E+05,139.55,3.27E+05,18.841,44202,25.848,60639,8.6803,20364,M
1,1,14,4093,2,188.73,386.17,8.9133,117.6,4.81E+05,118.94,4.87E+05,18.094,74060,26.806,1.10E+05,6.8099,27873,M
1,1,17,3312,2,142.29,400.53,9.8053,140.95,4.67E+05,126.04,4.17E+05,16.585,54929,18.678,61860,5.5694,18446,M
1,1,18,4401,2,212.33,408.52,10.44,112.2,4.94E+05,104.18,4.58E+05,17.658,77712,20.185,88835,6.5765,28943,M
1,1,19,3708,2,180.56,412.01,11.117,114.55,4.25E+05,108.34,4.02E+05,18.515,68653,22.85,84729,6.7511,25033,M
1,1,21,2397,2,117.43,251.33,10.947,173.07,4.15E+05,157.76,3.78E+05,15.533,37232,22.69,54387,5.7977,13897,M
1,1,24,3306,1,88.502,284.29,14.698,100.93,3.34E+05,162.81,5.38E+05,15.345,50730,77.298,2.56E+05,16.621,54948,M
1,1,27,5763,2,252.32,401.36,14.54,152.16,8.77E+05,102.01,5.88E+05,18.731,1.08E+05,23.368,1.35E+05,6.6143,38118,M
1,1,29,4547,2,138.25,291.78,14.527,170.11,7.74E+05,152.96,6.96E+05,18.1,82302,33.109,1.51E+05,6.3354,28807,M
1,1,30,4160,2,121.66,391.78,15.67,136.37,5.67E+05,121.34,5.05E+05,19.038,79196,24.256,1.01E+05,5.8954,24525,M
1,1,32,4489,2,97.393,246.85,17.039,154.46,6.93E+05,162.19,7.28E+05,15.247,68443,25.388,1.14E+05,9.5473,42858,M
1,1,37,2428,2,94.803,295.7,16.685,119.44,2.90E+05,144.58,3.51E+05,19.03,46206,30.554,74184,7.6829,18654,M
1,1,38,6887,2,298.18,357.67,17.751,136.7,9.41E+05,92.641,6.38E+05,18.911,1.30E+05,17.985,1.24E+05,5.778,39793,M
1,1,42,5671,1,176.13,289.95,19.172,143.77,8.15E+05,138.03,7.83E+05,19.408,1.10E+05,53.251,3.02E+05,12.778,72466,M
1,1,43,2359,2,241.02,376.18,16.692,160.71,3.79E+05,109.98,2.59E+05,16.919,39913,29.794,70283,6.4298,15168,M
1,1,44,4585,2,295.35,394.08,18.958,144.81,6.64E+05,97.508,4.47E+05,20.015,91767,24.027,1.10E+05,6.4286,29475,M
1,1,47,5930,2,213.33,362.5,21.246,121.1,7.18E+05,111.02,6.58E+05,17.55,1.04E+05,28.581,1.69E+05,7.5302,44654,M
1,1,51,2832,2,318,405.18,20.029,179.92,5.10E+05,88.645,2.51E+05,18.308,51847,18.255,51697,6.3429,17963,M
1,1,52,3456,2,264.59,432.57,20.338,151,5.22E+05,99.337,3.43E+05,17.217,59503,19.734,68201,6.1345,21201,M
1,1,53,2769,2,221.28,432.99,19.313,138.45,3.83E+05,109.38,3.03E+05,19.03,52694,24.697,68385,6.866,19012,M
1,1,55,4009,2,202.8,316.72,22.077,121.88,4.89E+05,124.77,5.00E+05,17.88,71679,27.312,1.09E+05,6.6341,26596,M
1,1,57,3251,2,138.65,263.36,22.445,204.24,6.64E+05,151.07,4.91E+05,16.766,54505,32.164,1.05E+05,6.8893,22397,M
1,1,58,4178,2,362.14,267.79,24.045,134.86,5.63E+05,87.672,3.66E+05,17.051,71238,23.42,97847,7.2822,30425,M
1,1,59,9343,2,270.86,323.83,24.307,147.08,1.37E+06,105.55,9.86E+05,18.404,1.72E+05,18.752,1.75E+05,6.2446,58343,M
1,1,61,4372,2,239.62,345.4,24.836,117.46,5.14E+05,109.25,4.78E+05,17.497,76496,24.755,1.08E+05,7.2157,31547,M
1,1,62,7184,2,93.076,355.22,24.262,87.802,6.31E+05,121.99,8.76E+05,18.244,1.31E+05,20.047,1.44E+05,6.5973,47395,M
1,1,64,3023,2,115.92,414.64,25.349,100.77,3.05E+05,117.78,3.56E+05,14.636,44246,18.22,55078,5.4856,16583,M
1,1,67,4115,3,261.39,414.27,24.62,168.92,6.95E+05,100.26,4.13E+05,32.549,1.34E+05,25.333,1.04E+05,6.3993,26333,M
1,1,69,6103,2,209.68,296.62,27,126.78,7.74E+05,125.74,7.67E+05,17.737,1.08E+05,32.428,1.98E+05,8.8919,54267,M
1,1,71,5386,2,151,317.79,26.068,104.1,5.61E+05,131.28,7.07E+05,17.597,94778,26.59,1.43E+05,8.2948,44676,M
1,1,72,3764,1,343.39,394.1,26.412,147.96,5.57E+05,81.704,3.08E+05,16.642,62639,14.143,53235,5.2681,19829,M
1,1,73,5624,2,116.48,230.14,28.704,122.59,6.89E+05,155.28,8.73E+05,17.505,98450,25.883,1.46E+05,6.4118,36060,M
1,1,74,8850,2,95.799,318.81,29.146,99.184,8.78E+05,134.16,1.19E+06,16.284,1.44E+05,17.196,1.52E+05,5.6459,49966,M
1,1,78,5049,3,231.64,418.11,29.189,143.59,7.25E+05,108.09,5.46E+05,34.124,1.72E+05,24.137,1.22E+05,6.3185,31902,M
1,1,82,5447,2,87.215,276.78,28.319,112.2,6.11E+05,148.76,8.10E+05,16.169,88073,25.253,1.38E+05,7.9941,43544,M
1,1,83,3300,1,370.46,289.09,29.341,82.004,2.71E+05,88.323,2.91E+05,17.184,56708,51.001,1.68E+05,12.991,42869,M
1,1,84,6112,2,132.38,347.71,30.319,100.3,6.13E+05,122.6,7.49E+05,18.266,1.12E+05,26.028,1.59E+05,6.5216,39860,M
1,1,87,2567,1,178.54,258.11,29.639,153.81,3.95E+05,141.73,3.64E+05,17.873,45879,34.911,89616,7.954,20418,M
1,1,92,2264,2,330.86,339,30.134,189.4,4.29E+05,83.027,1.88E+05,16.898,38257,23.851,53998,6.3454,14366,M
1,1,93,3540,3,290.98,391.78,29.363,146.48,5.19E+05,93.67,3.32E+05,27.291,96609,22.685,80305,6.2201,22019,M
1,1,98,4568,2,143.02,242.58,33.262,138.76,6.34E+05,151.87,6.94E+05,15.886,72567,24.096,1.10E+05,5.697,26024,M
1,1,100,4852,2,121.26,281.57,34.494,67.81,3.29E+05,154.4,7.49E+05,16.811,81567,40.602,1.97E+05,9.5692,46430,M
1,1,102,5712,2,168.68,353.46,32.699,108.15,6.18E+05,118.58,6.77E+05,17.342,99059,22.542,1.29E+05,6.685,38185,M
1,1,104,4950,2,138.35,375.29,34.445,116.27,5.76E+05,118.43,5.86E+05,16.792,83121,27.485,1.36E+05,6.2436,30906,M
1,1,105,5867,2,140.38,409.99,35.611,126.49,7.42E+05,114.17,6.70E+05,16.744,98238,19.966,1.17E+05,5.5345,32471,M
1,1,106,4484,1,308.38,425.27,33.95,140.24,6.29E+05,90.229,4.05E+05,16.313,73148,19.151,85875,5.8927,26423,M
1,1,107,2801,1,266.69,443.83,32.566,129.86,3.64E+05,91.549,2.56E+05,16.413,45973,24.387,68307,5.9525,16673,M
1,1,108,4510,2,188.89,458.42,34.515,146.57,6.61E+05,105.83,4.77E+05,16.876,76112,16.889,76169,5.7228,25810,M
1,1,111,2886,2,99.87,164.34,35.382,105.57,3.05E+05,164.46,4.75E+05,14.921,43063,22.892,66067,7.2827,21018,M
1,1,116,4324,3,306.04,362.41,36.412,158.47,6.85E+05,94.531,4.09E+05,36.352,1.57E+05,25.8,1.12E+05,6.62,28625,M
1,1,117,1696,3,249.87,388.59,34.783,187.63,3.18E+05,105.19,1.78E+05,34.31,58190,22.907,38850,6.3243,10726,M
1,1,122,4214,2,195.14,318.41,35.76,128.16,5.40E+05,124.81,5.26E+05,16.807,70823,26.583,1.12E+05,6.5634,27658,M
1,1,125,4647,2,102.18,191.99,37.793,125.22,5.82E+05,163.81,7.61E+05,14.944,69446,24.001,1.12E+05,6.0336,28038,M
1,1,126,4747,2,93.724,247.02,37.099,122,5.79E+05,168.55,8.00E+05,14.781,70166,22.407,1.06E+05,7.597,36063,M
1,1,128,3852,2,216.38,336.37,37.385,130.78,5.04E+05,115.81,4.46E+05,15.996,61618,20.488,78921,5.8024,22351,M
1,1,129,2165,2,192.43,348.87,36.893,133.78,2.90E+05,117.66,2.55E+05,15.208,32925,24.219,52434,6.146,13306,M
1,1,130,4555,2,105.21,397.27,37.404,103.18,4.70E+05,114.78,5.23E+05,16.334,74401,19.66,89552,5.4977,25042,M
1,1,131,1783,2,75.438,265.02,36.554,72.884,1.30E+05,149.42,2.66E+05,13.743,24504,37.262,66438,8.3107,14818,M
1,1,135,1601,2,117.08,414.29,36.509,128.79,2.06E+05,112.25,1.80E+05,15.029,24062,16.276,26058,5.2667,8432,M
1,1,136,5314,1,241.92,451.13,39.237,124.7,6.63E+05,97.848,5.20E+05,17.301,91936,19.224,1.02E+05,5.4976,29214,M
1,1,137,7357,2,149.63,271.31,41.433,77.29,5.69E+05,146.82,1.08E+06,16.517,1.22E+05,32.466,2.39E+05,7.8749,57936,M
1,1,138,4442,2,243.93,412.03,39.002,156.72,6.96E+05,105.14,4.67E+05,22.699,1.01E+05,17.595,78157,5.8552,26009,M
1,1,139,4017,3,179.15,425.08,39.617,102.33,4.11E+05,110.44,4.44E+05,35.073,1.41E+05,23.944,96182,6.8096,27354,M
1,1,142,2773,2,112.96,231.4,38.94,115.7,3.21E+05,158.6,4.40E+05,15.426,42777,18.032,50002,5.2308,14505,M
1,1,144,4073,2,175.78,253.43,40.315,159.96,6.52E+05,149.08,6.07E+05,14.802,60289,27.33,1.11E+05,5.863,23880,M
1,1,147,4711,3,293.78,386.54,38.383,148.39,6.99E+05,93.377,4.40E+05,30.224,1.42E+05,21.755,1.02E+05,5.7508,27092,M
1,1,154,4718,2,127.36,182.72,47.048,130.5,6.16E+05,158.74,7.49E+05,13.956,65844,48.29,2.28E+05,19.904,93905,M
1,1,157,4152,2,183.75,287.73,44.861,93.461,3.88E+05,133.29,5.53E+05,15.557,64591,31.678,1.32E+05,6.2293,25864,M
1,1,158,4357,2,222.91,308.04,44.357,105.36,4.59E+05,118.61,5.17E+05,15.626,68084,18.184,79227,6.0702,26448,M
1,1,160,2033,2,273.2,389.52,41.455,141.37,2.87E+05,96.563,1.96E+05,20.821,42329,17.731,36047,5.5091,11200,M
1,1,164,4451,1,306,430.52,44.517,133.34,5.94E+05,88.693,3.95E+05,14.511,64589,14.848,66087,5.1649,22989,M
1,1,170,3256,2,222.91,420,45.116,164.84,5.37E+05,105.68,3.44E+05,17.996,58595,18.239,59385,5.4165,17636,M
1,1,171,2308,1,268.47,455.04,46.079,142.87,3.30E+05,87.669,2.02E+05,16.199,37388,15.092,34833,6.8622,15838,M
1,1,173,5533,2,205.41,272.03,47.128,104.53,5.78E+05,132.12,7.31E+05,14.718,81435,19.289,1.07E+05,7.7105,42662,M
1,1,180,4510,2,142.48,371.57,46.581,107.72,4.86E+05,111.48,5.03E+05,16.077,72507,21.378,96417,5.7721,26032,M
1,1,181,3862,1,233.09,403.57,48.919,152.5,5.89E+05,105.06,4.06E+05,15.76,60866,15.185,58643,5.6098,21665,M
1,1,182,1967,3,199.95,423.67,45.207,123.16,2.42E+05,100.41,1.98E+05,27.276,53652,18.659,36702,6.0356,11872,M
