Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,1,1,4563,2,265.2,225.99,4.5744,180.32,8.23E+05,193.05,8.81E+05,21.748,99238,56.434,2.58E+05,9.2516,42215,
1,1,2,3972,2,225.92,177.94,6.362,120.76,4.80E+05,196.74,7.81E+05,22.984,91292,21.692,86161,9.0088,35783,
1,1,3,2181,2,220.66,150.18,8.7185,147.25,3.21E+05,197.7,4.31E+05,20.282,44235,26.917,58705,9.8583,21501,
1,1,4,5300,2,268.7,167.13,8.3781,126.84,6.72E+05,182.62,9.68E+05,20.866,1.11E+05,21.743,1.15E+05,8.1417,43151,
1,1,5,5325,2,295.5,256.8,12.398,157.54,8.39E+05,167.58,8.92E+05,19.837,1.06E+05,72.386,3.85E+05,12.152,64709,
1,1,6,2491,2,215.86,126.83,12.901,175.75,4.38E+05,203.14,5.06E+05,21.175,52748,45.527,1.13E+05,11.799,29392,
1,1,7,4757,2,291.23,187.66,16.007,180.37,8.58E+05,165.9,7.89E+05,20.847,99167,31.539,1.50E+05,9.1873,43704,
1,1,8,4914,2,193.47,205.07,13.486,126.85,6.23E+05,205.34,1.01E+06,20.581,1.01E+05,24.85,1.22E+05,9.3262,45829,
1,1,9,3333,2,284.87,304.01,15.578,178.9,5.96E+05,160.95,5.36E+05,20.359,67855,44.899,1.50E+05,11.225,37412,
1,1,10,3866,2,257.96,120.28,15.889,111.18,4.30E+05,179.53,6.94E+05,20.29,78440,21.71,83929,8.1671,31574,
1,1,11,4760,2,289.3,156.88,16.709,160.98,7.66E+05,158.07,7.52E+05,23.133,1.10E+05,21.766,1.04E+05,9.2038,43810,
1,1,12,6512,2,167.44,186.22,17.624,93.562,6.09E+05,206.78,1.35E+06,21.066,1.37E+05,25.112,1.64E+05,25.494,1.66E+05,
1,1,13,4375,2,273.86,284.85,18.061,132.74,5.81E+05,167.29,7.32E+05,24.496,1.07E+05,26.189,1.15E+05,10.15,44408,
1,1,14,6310,2,324.43,291.53,18.253,119.2,7.52E+05,143.43,9.05E+05,18.477,1.17E+05,56.859,3.59E+05,10.008,63153,
1,1,15,7169,1,225.32,180.94,19.526,131.09,9.40E+05,191.91,1.38E+06,53.026,3.80E+05,33.129,2.38E+05,11.1,79576,
1,1,16,5166,2,263.64,256.42,19.226,125.25,6.47E+05,174.46,9.01E+05,23.12,1.19E+05,34.434,1.78E+05,9.8237,50749,
1,1,17,3496,2,154.36,151.89,18.601,106.62,3.73E+05,205.96,7.20E+05,24.133,84368,27.593,96464,18.428,64426,
1,1,18,6082,1,239.95,149.67,20.823,128.28,7.80E+05,191.59,1.17E+06,60.546,3.68E+05,33.827,2.06E+05,11.202,68129,
1,1,19,962,1,206.55,163.15,17.792,102.93,99020,201.47,1.94E+05,19.982,19223,22.741,21877,35.7,34343,
1,1,20,5714,2,280.93,217.85,20.261,117.2,6.70E+05,177.1,1.01E+06,19.998,1.14E+05,68.857,3.93E+05,15.379,87876,
1,1,21,4822,1,306.3,323.89,19.23,101.05,4.87E+05,145.64,7.02E+05,20.812,1.00E+05,58.06,2.80E+05,18.145,87497,
1,1,22,3657,1,256.58,174.73,18.992,125.77,4.60E+05,179.84,6.58E+05,57.454,2.10E+05,30.493,1.12E+05,10.565,38636,
1,1,23,3425,2,244.27,231.72,20.8,200.66,6.87E+05,186.4,6.38E+05,18.175,62248,33.161,1.14E+05,9.9063,33929,
1,1,24,1640,2,234.34,99.979,20.931,200.01,3.28E+05,191.54,3.14E+05,15.668,25695,20.996,34434,6.5055,10669,
1,1,25,3317,2,256.18,207.56,20.958,157.71,5.23E+05,186.5,6.19E+05,19.633,65123,28.914,95908,9.4712,31416,
1,1,27,7296,1,171.17,127.57,24.241,84.277,6.15E+05,210.34,1.53E+06,23.287,1.70E+05,27.674,2.02E+05,34.238,2.50E+05,
1,1,28,5728,1,203.89,132.19,24.647,186.29,1.07E+06,207.61,1.19E+06,21.397,1.23E+05,36.421,2.09E+05,46.36,2.66E+05,
1,1,29,1622,2,331.99,334.44,22.91,182.56,2.96E+05,124.11,2.01E+05,21.052,34147,53.314,86475,9.8508,15978,
1,1,30,1599,1,209.98,113.8,20.902,134.71,2.15E+05,198.64,3.18E+05,19.245,30772,22.81,36473,26.942,43081,
1,1,31,3565,2,284.05,114.94,24.118,202.8,7.23E+05,167.85,5.98E+05,21.222,75657,43.248,1.54E+05,8.729,31119,
1,1,32,756,2,240.63,210.2,21.844,175.67,1.33E+05,185.26,1.40E+05,18.893,14283,31.515,23825,9.4048,7110,
1,1,33,485,1,201.71,171.69,22.732,101.72,49332,195.07,94610,18.722,9080,23.621,11456,29.373,14246,
