Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,1,1,7715,2,276.47,233.84,4.8156,68.686,5.30E+05,130.79,1.01E+06,61.285,4.73E+05,43.922,3.39E+05,13.226,1.02E+05,
1,1,2,2506,2,208.26,258.81,4.1883,92.792,2.33E+05,144.35,3.62E+05,71.731,1.80E+05,68.335,1.71E+05,14.351,35964,
1,1,3,3649,2,251.14,204.82,4.8449,72.577,2.65E+05,152.46,5.56E+05,60.59,2.21E+05,44.953,1.64E+05,13.069,47688,
1,1,4,7306,2,263.41,172.47,7.2001,81.342,5.94E+05,160.98,1.18E+06,65.227,4.77E+05,49.664,3.63E+05,14.863,1.09E+05,
1,1,5,4263,2,177.88,198.51,7.1865,56.643,2.41E+05,168.64,7.19E+05,57.753,2.46E+05,42.864,1.83E+05,12.102,51590,
1,1,6,3811,2,308.05,194.96,8.741,70.118,2.67E+05,134.79,5.14E+05,60.951,2.32E+05,45.66,1.74E+05,14.226,54217,
1,1,7,6166,2,185.53,287.59,9.4311,58.458,3.60E+05,157.06,9.68E+05,52.785,3.25E+05,41.464,2.56E+05,11.747,72430,
1,1,8,4991,2,323.65,222.63,12.431,79.834,3.98E+05,126.28,6.30E+05,64.702,3.23E+05,44.467,2.22E+05,14.075,70246,
1,1,9,5344,2,157.6,239.02,12.632,48.538,2.59E+05,159.02,8.50E+05,56.361,3.01E+05,51.619,2.76E+05,13.975,74685,
1,1,10,3998,2,214,153.88,10.893,62.698,2.51E+05,170.14,6.80E+05,49.326,1.97E+05,45.245,1.81E+05,12.398,49566,
1,1,11,3931,1,308.91,175.41,16.12,62.078,2.44E+05,133.49,5.25E+05,63.57,2.50E+05,47.584,1.87E+05,44.784,1.76E+05,
1,1,12,6975,2,215.94,323.17,17.516,69.52,4.85E+05,144.48,1.01E+06,52.348,3.65E+05,45.335,3.16E+05,12.512,87273,
1,1,13,3776,1,277.66,187.46,16.144,68.234,2.58E+05,151.41,5.72E+05,68.232,2.58E+05,48.247,1.82E+05,19.08,72046,
1,1,14,6963,2,222.76,136.77,20.988,71.949,5.01E+05,168.14,1.17E+06,57.098,3.98E+05,48.267,3.36E+05,20.878,1.45E+05,
1,1,15,6712,2,189.33,154,20.633,64.069,4.30E+05,178.83,1.20E+06,56.318,3.78E+05,48.271,3.24E+05,13.023,87413,
1,1,16,5402,2,296.51,310.47,19.865,72.612,3.92E+05,119.19,6.44E+05,57.486,3.11E+05,46.209,2.50E+05,12.675,68470,
1,1,17,3499,1,280.33,169.52,20.671,72.503,2.54E+05,146.99,5.14E+05,43.546,1.52E+05,39.97,1.40E+05,70.249,2.46E+05,
1,1,18,5228,1,290.35,138.86,22.956,67.925,3.55E+05,138.76,7.25E+05,56.293,2.94E+05,44.163,2.31E+05,14.289,74705,
1,1,19,2707,2,149.2,209.04,22.626,69.632,1.88E+05,173.05,4.68E+05,49.556,1.34E+05,39.948,1.08E+05,11.744,31792,
1,1,20,4081,2,239.52,156.27,25.559,60.318,2.46E+05,168.71,6.89E+05,64.867,2.65E+05,41.238,1.68E+05,18.829,76841,
1,1,21,3836,2,298.92,191.57,24.966,66.839,2.56E+05,141.48,5.43E+05,57.565,2.21E+05,38.751,1.49E+05,19.623,75273,
1,1,22,3329,2,338.47,220.74,26.47,68.225,2.27E+05,116.95,3.89E+05,54.188,1.80E+05,40.761,1.36E+05,14.072,46847,
1,1,23,5744,2,183.85,318.64,28.608,48.037,2.76E+05,151.74,8.72E+05,52.039,2.99E+05,45.176,2.59E+05,12.304,70676,
1,1,24,6617,2,339.46,253.31,30.485,69.615,4.61E+05,112.96,7.47E+05,50.449,3.34E+05,35.979,2.38E+05,12.485,82616,
1,1,25,2349,2,147.66,263.34,27.735,75.065,1.76E+05,167.25,3.93E+05,53.991,1.27E+05,41.235,96860,12.512,29391,
1,1,26,4192,1,246.89,126.59,29.847,58.089,2.44E+05,163.51,6.85E+05,68.834,2.89E+05,46.083,1.93E+05,34.876,1.46E+05,
1,1,27,5151,1,272.89,148.9,31.504,65.707,3.38E+05,145.08,7.47E+05,68.997,3.55E+05,42.285,2.18E+05,15.252,78563,
