Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,1,1,5095,2,273.46,230.47,4.0426,90.511,4.61E+05,135.09,6.88E+05,49.535,2.52E+05,41.08,2.09E+05,13.355,68042,
1,1,2,8301,2,236.25,277.73,7.2483,71.811,5.96E+05,133.13,1.11E+06,46.48,3.86E+05,36.709,3.05E+05,11.483,95317,
1,1,3,8803,2,288.96,288.93,7.0303,63.227,5.57E+05,117.21,1.03E+06,42.157,3.71E+05,29.351,2.58E+05,10.032,88312,
1,1,5,4763,1,261.32,189.48,12.158,64.474,3.07E+05,144.45,6.88E+05,44.404,2.12E+05,37.665,1.79E+05,43.484,2.07E+05,
1,1,6,4768,1,308.09,221.21,11.992,65.107,3.10E+05,126.87,6.05E+05,54.785,2.61E+05,37.875,1.81E+05,36.992,1.76E+05,
1,1,7,3322,1,215.29,231.1,12.042,66.648,2.21E+05,147.03,4.88E+05,61.829,2.05E+05,46.461,1.54E+05,12.186,40482,
1,1,8,2814,1,282.87,207.3,13.275,76.851,2.16E+05,134.15,3.78E+05,58.018,1.63E+05,35.337,99439,21.94,61740,
1,1,9,6852,2,336.53,249.48,12.742,62.889,4.31E+05,104.65,7.17E+05,44.57,3.05E+05,32.609,2.23E+05,11.508,78855,
1,1,10,3033,1,242.8,216.27,13.942,67.522,2.05E+05,149.11,4.52E+05,47.676,1.45E+05,36.525,1.11E+05,28.439,86257,
1,1,11,5403,2,302.91,174.05,15.799,69.427,3.75E+05,124.35,6.72E+05,43.52,2.35E+05,39.539,2.14E+05,10.807,58391,
1,1,12,5362,2,197.11,253.81,14.828,56.863,3.05E+05,149.53,8.02E+05,51.827,2.78E+05,37.995,2.04E+05,11.88,63700,
1,1,13,8657,2,247.1,336.83,15.12,46.327,4.01E+05,123.74,1.07E+06,47.076,4.08E+05,32.213,2.79E+05,10.733,92916,
1,1,14,4355,2,337.1,193.38,18.698,58.083,2.53E+05,110.93,4.83E+05,50.385,2.19E+05,38.411,1.67E+05,14.795,64431,
1,1,16,4572,1,269.66,228.9,19.461,62.752,2.87E+05,133.76,6.12E+05,34.318,1.57E+05,30.82,1.41E+05,51.161,2.34E+05,
1,1,17,5893,2,225.84,167.84,21.935,54.371,3.20E+05,149.68,8.82E+05,50.773,2.99E+05,44.437,2.62E+05,13.347,78654,
1,1,18,4474,1,323.64,218.82,21.947,64.826,2.90E+05,117.04,5.24E+05,44.81,2.00E+05,31.706,1.42E+05,25.207,1.13E+05,
1,1,19,717,1,306.52,222.35,19.856,89.36,64071,114.03,81758,21.671,15538,24.444,17526,13.258,9506,
1,1,20,3291,1,276.87,160.93,21.855,67.215,2.21E+05,136.58,4.50E+05,56.159,1.85E+05,38.668,1.27E+05,27.25,89679,
1,1,21,2664,1,303.06,198.75,22.727,74.538,1.99E+05,127.99,3.41E+05,39.974,1.06E+05,31.237,83216,28.478,75865,
1,1,22,3026,1,226.73,199.78,24.928,118.59,3.59E+05,154.95,4.69E+05,26.742,80922,22.962,69484,16.589,50199,
1,1,23,2923,1,253.95,179.29,24.723,66.042,1.93E+05,143.43,4.19E+05,41.069,1.20E+05,31.23,91284,25.832,75508,
1,1,24,7050,2,176.07,285.21,26.859,51.676,3.64E+05,147.42,1.04E+06,46.123,3.25E+05,35.59,2.51E+05,11.528,81271,
1,1,25,5541,2,191.26,206.56,27.905,52.379,2.90E+05,164.15,9.10E+05,38.073,2.11E+05,36.024,2.00E+05,10.5,58180,
1,1,26,3541,1,197.03,230.18,27.302,57.229,2.03E+05,154.44,5.47E+05,65.249,2.31E+05,37.429,1.33E+05,12.966,45914,
1,1,27,4785,1,259.02,203.86,29.142,54.636,2.61E+05,139.45,6.67E+05,36.41,1.74E+05,30.743,1.47E+05,40.267,1.93E+05,
1,1,28,9153,2,366.93,246.32,26.377,52.697,4.82E+05,97.397,8.91E+05,35.238,3.23E+05,24.999,2.29E+05,9.0516,82849,
1,1,29,4431,2,258.9,142.24,30.533,60.568,2.68E+05,141.31,6.26E+05,42.74,1.89E+05,35.1,1.56E+05,12.216,54131,
1,1,30,4826,1,331.85,179.66,31.347,55.798,2.69E+05,112.02,5.41E+05,36.029,1.74E+05,27.582,1.33E+05,34.031,1.64E+05,
1,1,31,2688,1,284.4,177.24,30.02,68.042,1.83E+05,132.16,3.55E+05,42.858,1.15E+05,29.418,79075,20.876,56115,
