Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,1,1,6687,2,301.68,310.88,4.2951,60.948,4.08E+05,104.74,7.00E+05,34.277,2.29E+05,27.709,1.85E+05,10.224,68371,
1,1,2,4791,2,305.3,361.37,5.1029,70.491,3.38E+05,100.9,4.83E+05,37.626,1.80E+05,30.581,1.47E+05,11.344,54348,
1,1,3,3322,2,332.06,285.26,3.9416,92.069,3.06E+05,99.693,3.31E+05,38.598,1.28E+05,34.166,1.14E+05,10.354,34396,
1,1,4,3195,2,228.75,318.76,5.2801,145.2,4.64E+05,127.33,4.07E+05,26.51,84699,24.992,79849,10.294,32889,
1,1,5,4743,2,354.12,322.88,8.028,64.217,3.05E+05,92.12,4.37E+05,34.099,1.62E+05,26.95,1.28E+05,10.203,48391,
1,1,6,7256,2,189.62,250.48,10.334,77.201,5.60E+05,143.82,1.04E+06,42.829,3.11E+05,36.57,2.65E+05,10.749,77996,
1,1,7,3657,2,326.19,244.97,9.5783,78.218,2.86E+05,102.27,3.74E+05,35.04,1.28E+05,31.544,1.15E+05,9.1736,33548,
1,1,8,4531,2,241.12,218.37,13.057,68.719,3.11E+05,129.11,5.85E+05,35.174,1.59E+05,30.104,1.36E+05,11.426,51769,
1,1,9,7562,2,183.29,311.29,17.641,82.712,6.25E+05,141.22,1.07E+06,45.352,3.43E+05,45.858,3.47E+05,12.325,93205,
1,1,10,4934,2,276.49,387.64,16.163,73.357,3.62E+05,103.9,5.13E+05,36.635,1.81E+05,30.572,1.51E+05,11.322,55865,
1,1,11,3986,2,273.76,288,16.899,75.815,3.02E+05,112.47,4.48E+05,45.244,1.80E+05,33.73,1.34E+05,10.517,41921,
1,1,12,4258,2,345.07,214.2,18.468,61.069,2.60E+05,97.569,4.15E+05,36.019,1.53E+05,27.944,1.19E+05,12.228,52067,
1,1,13,3747,2,384.33,240.02,19.959,98.726,3.70E+05,85.167,3.19E+05,20.013,74987,18.169,68080,7.1986,26973,
1,1,14,5276,2,269.01,196.87,18.04,54.754,2.89E+05,121.07,6.39E+05,30.615,1.62E+05,25.123,1.33E+05,19.075,1.01E+05,
1,1,15,6297,2,387.3,305.69,21.138,47.296,2.98E+05,82.421,5.19E+05,28.824,1.82E+05,22.638,1.43E+05,11.167,70319,
1,1,16,2522,2,305.01,255.71,22.031,101.88,2.57E+05,104.07,2.62E+05,45.044,1.14E+05,36.62,92356,11.674,29442,
1,1,17,4662,2,327.09,180.96,23.188,50.681,2.36E+05,102.48,4.78E+05,28.032,1.31E+05,20.347,94856,15.052,70174,
1,1,18,4523,2,206.69,179.55,25.578,57.722,2.61E+05,137.98,6.24E+05,37.394,1.69E+05,29.025,1.31E+05,10.025,45343,
