Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,1,1,5722,2,243.29,280.23,4.2845,50.883,2.91E+05,115.55,6.61E+05,33.537,1.92E+05,25.698,1.47E+05,13.511,77311,
1,1,2,8636,2,254.6,184.87,6.9523,49.385,4.26E+05,128.4,1.11E+06,33.042,2.85E+05,23.752,2.05E+05,9.6606,83429,
1,1,3,2583,2,200.81,168.95,4.8773,45.667,1.18E+05,141.48,3.65E+05,35.702,92218,27.702,71553,11.121,28725,
1,1,4,4680,2,216.21,179.02,4.9786,49.247,2.30E+05,135.57,6.34E+05,33.32,1.56E+05,25.847,1.21E+05,10.466,48982,
1,1,5,2430,2,248.02,262.97,6.1333,52.56,1.28E+05,120.33,2.92E+05,32.482,78932,25.081,60947,13.586,33013,
1,1,6,2652,2,214.69,148.34,7.6885,65.434,1.74E+05,146.43,3.88E+05,41.116,1.09E+05,32.282,85612,10.449,27711,
1,1,7,2828,2,262.47,141.91,9.2649,66.573,1.88E+05,130,3.68E+05,39.521,1.12E+05,26.656,75383,14.872,42058,
1,1,8,8736,2,280.02,312.53,11.976,48.455,4.23E+05,104.24,9.11E+05,29.801,2.60E+05,32.394,2.83E+05,9.4282,82365,
1,1,9,7546,2,331.23,207.97,13.647,46.288,3.49E+05,99.182,7.48E+05,34.626,2.61E+05,27.793,2.10E+05,9.9243,74889,
1,1,10,6896,2,292.63,250.72,8.7765,54.059,3.73E+05,108.29,7.47E+05,20.652,1.42E+05,15.796,1.09E+05,7.3509,50692,
1,1,11,7350,2,169.09,257.27,9.9045,29.621,2.18E+05,134.32,9.87E+05,31.287,2.30E+05,21.515,1.58E+05,8.5181,62608,
1,1,12,5236,2,172.12,294.82,10.525,37.095,1.94E+05,131.44,6.88E+05,32.177,1.68E+05,25.409,1.33E+05,15.718,82297,
1,1,13,4864,2,202.81,310.47,10.873,40.277,1.96E+05,119.99,5.84E+05,35.249,1.71E+05,26.66,1.30E+05,10.287,50037,
1,1,14,7545,2,237.17,324.77,16.176,51.96,3.92E+05,114.88,8.67E+05,28.554,2.15E+05,31.54,2.38E+05,10.361,78175,
1,1,15,3234,2,287.47,152.9,12.29,54.781,1.77E+05,119.92,3.88E+05,35.108,1.14E+05,28.754,92991,10.302,33317,
1,1,16,5696,2,336.49,254.52,19.88,52.953,3.02E+05,94.959,5.41E+05,29.848,1.70E+05,22.715,1.29E+05,8.3257,47423,
1,1,17,4034,2,206.39,136.58,18.863,41.805,1.69E+05,147.94,5.97E+05,38.586,1.56E+05,32.89,1.33E+05,9.8619,39783,
1,1,18,4311,1,253.33,164.08,21.684,41.592,1.79E+05,129.64,5.59E+05,36.646,1.58E+05,25.25,1.09E+05,11.12,47938,
1,1,19,5428,1,248.3,143.72,20.881,46.542,2.53E+05,135.51,7.36E+05,21.893,1.19E+05,27.293,1.48E+05,61.815,3.36E+05,
1,1,20,10791,2,167.42,165.75,24.516,35.675,3.85E+05,147.3,1.59E+06,29.858,3.22E+05,28.801,3.11E+05,9.6795,1.04E+05,
1,1,21,7347,2,242.24,117.89,24.918,46.182,3.39E+05,133.15,9.78E+05,33.832,2.49E+05,28.243,2.08E+05,10.417,76536,
1,1,22,2428,2,322.29,177.73,22.816,56.355,1.37E+05,100.49,2.44E+05,35.538,86286,21.122,51285,8.0795,19617,
1,1,23,1288,2,298.46,139.05,22.773,95.678,1.23E+05,114.47,1.47E+05,15.602,20096,21.155,27247,9.2259,11883,
1,1,24,3437,2,154.75,291.89,27.266,44.407,1.53E+05,124.81,4.29E+05,32.317,1.11E+05,28.454,97797,9.6497,33166,
1,1,25,3004,2,314.84,153.2,27.471,40.909,1.23E+05,104.1,3.13E+05,29.197,87707,25.379,76239,13.434,40357,
