Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,1,1,7597,2,279.66,256.66,5.6592,23.853,1.81E+05,102.1,7.76E+05,41.827,3.18E+05,26.338,2.00E+05,11.287,85750,
1,1,2,14475,2,219.22,178.54,8.7027,17.06,2.47E+05,120.53,1.74E+06,31.451,4.55E+05,19.213,2.78E+05,10.111,1.46E+05,
1,1,3,9644,1,218.2,223.71,8.9423,25.379,2.45E+05,122.95,1.19E+06,31.307,3.02E+05,22.339,2.15E+05,7.1748,69194,
1,1,4,9746,1,252.17,253.11,14.363,23.382,2.28E+05,112.12,1.09E+06,31.659,3.09E+05,19.217,1.87E+05,7.2387,70548,
1,1,5,14020,2,221.02,292.77,13.498,22.368,3.14E+05,108.05,1.51E+06,27.081,3.80E+05,19.364,2.71E+05,10.466,1.47E+05,
1,1,6,14008,2,162.18,213.04,21.174,19.889,2.79E+05,127.76,1.79E+06,22.383,3.14E+05,19.336,2.71E+05,8.02,1.12E+05,
1,1,7,9710,1,205.59,253.49,19.807,24.892,2.42E+05,120.89,1.17E+06,34.753,3.37E+05,23.994,2.33E+05,23.397,2.27E+05,
1,1,8,13369,2,295.05,310.47,17.528,21.103,2.82E+05,90.499,1.21E+06,29.918,4.00E+05,19.143,2.56E+05,7.8075,1.04E+05,
1,1,9,9190,1,284.61,274.08,23.014,23.678,2.18E+05,97.982,9.00E+05,25.736,2.37E+05,16.722,1.54E+05,8.2651,75956,
1,1,10,7756,1,243.33,206.03,22.107,24.3,1.88E+05,115,8.92E+05,26.203,2.03E+05,17.095,1.33E+05,9.8521,76413,
1,1,11,7948,1,280.34,222.4,22.617,24.561,1.95E+05,106.14,8.44E+05,27.951,2.22E+05,17.338,1.38E+05,7.7133,61305,
1,1,12,13044,2,233.08,331.62,26.307,20.224,2.64E+05,100.98,1.32E+06,25.771,3.36E+05,22.99,3.00E+05,8.916,1.16E+05,
1,1,13,6872,1,208.62,214.67,26.625,25.391,1.74E+05,121.64,8.36E+05,24.356,1.67E+05,17.802,1.22E+05,19.024,1.31E+05,
1,1,14,18839,2,209.22,164.53,27.455,16.257,3.06E+05,120.57,2.27E+06,27.848,5.25E+05,15.511,2.92E+05,7.2138,1.36E+05,
1,1,15,6941,2,330.37,223.26,29.168,19.797,1.37E+05,87.593,6.08E+05,22.971,1.59E+05,11.707,81260,7.3257,50848,
1,1,16,13201,2,276.38,179.47,34.658,20.56,2.71E+05,102.26,1.35E+06,29.78,3.93E+05,18.25,2.41E+05,12.904,1.70E+05,
1,1,17,7485,1,253.8,235.34,33.838,23.477,1.76E+05,108.87,8.15E+05,24.411,1.83E+05,16.656,1.25E+05,13.351,99935,
1,1,18,6271,1,173.99,254.95,32.987,20.092,1.26E+05,118.95,7.46E+05,25.747,1.61E+05,19.847,1.24E+05,14.569,91365,
1,1,19,10442,1,230.17,296.66,33.762,20.941,2.19E+05,106.29,1.11E+06,27.449,2.87E+05,16.548,1.73E+05,12.346,1.29E+05,
1,1,20,8424,1,273.9,261.66,35.708,22.308,1.88E+05,101.86,8.58E+05,23.196,1.95E+05,14.269,1.20E+05,8.9609,75487,
1,1,21,7843,1,208.89,239.15,38.209,21.848,1.71E+05,118.11,9.26E+05,20.244,1.59E+05,16.074,1.26E+05,15.388,1.21E+05,
1,1,22,6261,2,259.23,332.77,39.397,22.275,1.39E+05,95.758,6.00E+05,19.873,1.24E+05,11.364,71150,7.5394,47204,
1,1,23,7613,1,233.47,202.77,39.067,23.519,1.79E+05,115.24,8.77E+05,25.051,1.91E+05,17.721,1.35E+05,10.239,77953,
1,1,24,9361,2,168.18,209.87,41.161,17.184,1.61E+05,123.7,1.16E+06,22.157,2.07E+05,16.713,1.56E+05,11.716,1.10E+05,
1,1,25,13017,2,180.48,285.4,45.78,17.39,2.26E+05,110.47,1.44E+06,19.028,2.48E+05,14.406,1.88E+05,8.93,1.16E+05,
1,1,26,11074,1,282.58,215.9,44.881,16.287,1.80E+05,100.68,1.11E+06,27.064,3.00E+05,15.019,1.66E+05,12.143,1.34E+05,
1,1,27,6510,1,236.99,250.98,48.339,19.522,1.27E+05,107.64,7.01E+05,25.622,1.67E+05,14.675,95534,9.447,61500,
1,1,28,7734,1,243.72,182.85,50.206,17.623,1.36E+05,115.1,8.90E+05,25.103,1.94E+05,14.738,1.14E+05,8.6438,66851,
1,1,30,4566,2,264.72,327.71,49.334,24.164,1.10E+05,93.576,4.27E+05,20,91320,11.996,54774,7.5615,34526,
1,1,31,10888,2,331.36,295.24,54.045,22.361,2.43E+05,81.592,8.88E+05,24.48,2.67E+05,14.195,1.55E+05,8.0678,87842,
1,1,32,6961,2,218.5,208.3,56.603,17.321,1.21E+05,121.15,8.43E+05,28.28,1.97E+05,15.365,1.07E+05,9.381,65301,
1,1,33,3764,2,256.57,193.14,59.132,14.452,54399,106.23,4.00E+05,23.157,87163,13.349,50246,7.4588,28075,
1,1,34,5377,2,200.42,278.09,58.38,15.265,82081,110.07,5.92E+05,20.983,1.13E+05,14.251,76628,8.5866,46170,
1,1,35,3856,2,315.03,228.54,58.474,9.4829,36566,88.388,3.41E+05,13.653,52645,6.8887,26563,5.9458,22927,
