Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,1,1,8550,2,245.04,282.58,6.1674,98.719,8.44E+05,103.08,8.81E+05,23.83,2.04E+05,29.044,2.48E+05,8.6208,73708,
1,1,2,4775,2,210.15,273.96,7.1529,118.68,5.67E+05,109.23,5.22E+05,27.101,1.29E+05,37.611,1.80E+05,7.9948,38175,
1,1,3,5697,2,278.73,203.5,10.159,125.38,7.14E+05,102.97,5.87E+05,24.776,1.41E+05,39.652,2.26E+05,9.5717,54530,
1,1,4,9238,2,326.76,215.42,10.221,123.84,1.14E+06,89.647,8.28E+05,20.27,1.87E+05,25.706,2.37E+05,7.4,68361,
1,1,5,7801,2,256.66,238.34,11.741,132.64,1.03E+06,103.09,8.04E+05,22.536,1.76E+05,31.799,2.48E+05,7.7398,60378,
1,1,6,6833,2,289.7,132.28,10.987,127.44,8.71E+05,104.5,7.14E+05,19.377,1.32E+05,29.31,2.00E+05,8.9963,61472,
1,1,7,5151,2,308.79,174.18,11.416,102.92,5.30E+05,97.552,5.02E+05,20.139,1.04E+05,40.93,2.11E+05,10.573,54460,
1,1,8,4288,2,289.81,249.12,12.834,146.75,6.29E+05,94.271,4.04E+05,19.972,85642,31.143,1.34E+05,6.8633,29430,
1,1,9,7961,2,210.32,319.66,10.326,95.038,7.57E+05,105.14,8.37E+05,23.822,1.90E+05,30.087,2.40E+05,8.9868,71544,
1,1,10,1702,2,259.82,320.72,13.355,173.66,2.96E+05,98.585,1.68E+05,16.137,27466,28.052,47745,8.1857,13932,
1,1,11,4482,2,242.08,182.07,15.784,120.52,5.40E+05,117.23,5.25E+05,21.177,94916,34.299,1.54E+05,8.7419,39181,
1,1,12,8355,2,227.93,215.51,15.828,85.942,7.18E+05,116.39,9.72E+05,20.581,1.72E+05,68.02,5.68E+05,11.436,95544,
1,1,13,2562,2,239.77,348.86,13.865,143.43,3.67E+05,90.665,2.32E+05,17.961,46015,25.544,65444,11.54,29566,
1,1,14,6202,2,335.45,170.74,18.531,99.115,6.15E+05,86.345,5.36E+05,18.368,1.14E+05,18.399,1.14E+05,6.5134,40396,
1,1,15,3152,2,196.49,222.64,14.791,87.02,2.74E+05,123.02,3.88E+05,22.63,71330,42.391,1.34E+05,7.9546,25073,
1,1,16,5308,2,208.23,251.52,16.85,100.92,5.36E+05,113.81,6.04E+05,21.057,1.12E+05,25.407,1.35E+05,6.5462,34747,
1,1,17,6383,2,309.31,290.54,16.04,129.11,8.24E+05,86.806,5.54E+05,20.91,1.33E+05,23.175,1.48E+05,8.6895,55465,
1,1,18,2869,2,216.09,183.14,16.049,91.854,2.64E+05,119.04,3.42E+05,22.491,64527,28.152,80768,7.3726,21152,
1,1,19,5287,2,172.75,266.36,16.025,103.03,5.45E+05,115.48,6.11E+05,26.235,1.39E+05,29.674,1.57E+05,7.1908,38018,
1,1,20,4136,1,239.73,281.27,16.756,132.46,5.48E+05,104.1,4.31E+05,47.552,1.97E+05,34.953,1.45E+05,8.007,33117,
1,1,21,3959,1,184.76,307.76,17.785,84.894,3.36E+05,105.8,4.19E+05,46.645,1.85E+05,39.331,1.56E+05,9.5165,37676,
1,1,22,4877,2,269.89,169.72,20.253,163.46,7.97E+05,108.76,5.30E+05,18.183,88679,32.291,1.57E+05,6.7334,32839,
1,1,23,2326,2,173.17,222.44,17.508,82.099,1.91E+05,124.39,2.89E+05,29.627,68912,53.647,1.25E+05,8.5976,19998,
1,1,24,723,1,213.88,290.43,15.015,133.2,96301,106.33,76877,52.71,38109,39.353,28452,7.7898,5632,
1,1,25,5352,2,206.23,159.01,20.524,92.903,4.97E+05,120.61,6.46E+05,21.121,1.13E+05,44.976,2.41E+05,8.2397,44099,
1,1,26,4206,1,270.08,278.57,19.296,123.53,5.20E+05,91.805,3.86E+05,62.631,2.63E+05,35.702,1.50E+05,8.0813,33990,
1,1,27,5232,2,184.97,352.64,19.639,127.71,6.68E+05,97.725,5.11E+05,22.338,1.17E+05,25.107,1.31E+05,7.1613,37468,
1,1,28,3684,2,322.01,141.62,19.522,117.56,4.33E+05,93.487,3.44E+05,17.373,64002,74.245,2.74E+05,11.232,41378,
1,1,29,2465,2,322.86,267.36,20.434,146.49,3.61E+05,84.063,2.07E+05,19.837,48897,27.306,67309,6.7079,16535,
1,1,30,2768,1,164.75,320.16,20.734,98.509,2.73E+05,109.04,3.02E+05,50.052,1.39E+05,32.962,91240,7.4346,20579,
1,1,31,12438,2,142.32,331.14,25.584,86.559,1.08E+06,108,1.34E+06,23.997,2.98E+05,32.211,4.01E+05,6.7061,83411,
1,1,32,6519,2,305.33,120.24,22.059,102.69,6.69E+05,97.271,6.34E+05,18.484,1.21E+05,31.43,2.05E+05,8.0598,52542,
1,1,33,3503,2,248.21,142.33,21.945,147.21,5.16E+05,113.9,3.99E+05,18.783,65797,29.239,1.02E+05,7.2772,25492,
1,1,34,3118,2,185.1,170.94,21.009,78.615,2.45E+05,126.68,3.95E+05,23.19,72305,51.05,1.59E+05,7.6632,23894,
1,1,35,2870,2,193.56,203.97,20.325,81.219,2.33E+05,124.16,3.56E+05,20.248,58112,27.205,78078,6.9742,20016,
1,1,36,3926,1,151.85,294.84,22.244,76.339,3.00E+05,111.02,4.36E+05,55.33,2.17E+05,38.738,1.52E+05,7.635,29975,
1,1,37,2978,1,216.37,293.45,21.093,103.76,3.09E+05,102.09,3.04E+05,41.522,1.24E+05,30.909,92047,9.5631,28479,
1,1,38,6492,1,233.45,346.45,23.373,90.04,5.85E+05,92.581,6.01E+05,19.479,1.26E+05,23.432,1.52E+05,23.02,1.49E+05,
1,1,39,9897,2,311.91,218.14,24.846,98.093,9.71E+05,91.03,9.01E+05,18.912,1.87E+05,21.356,2.11E+05,5.6198,55619,
1,1,40,5766,2,168.03,237.61,24.994,91.538,5.28E+05,121.8,7.02E+05,21.417,1.23E+05,30.294,1.75E+05,6.6126,38128,
1,1,41,4858,1,259.24,321.96,22.807,96.014,4.66E+05,95.263,4.63E+05,16.454,79934,27.869,1.35E+05,20.006,97188,
1,1,42,3322,2,252.7,363.76,23.48,93.703,3.11E+05,86.772,2.88E+05,25.597,85032,31.156,1.04E+05,7.9187,26306,
1,1,43,6495,2,287.23,137.98,25.73,122.7,7.97E+05,108.24,7.03E+05,17.117,1.11E+05,26.109,1.70E+05,6.439,41821,
1,1,44,2401,1,259.56,291.07,25.454,102.48,2.46E+05,96.859,2.33E+05,37.152,89202,27.795,66735,6.6814,16042,
1,1,45,3085,1,184.01,288.96,24.964,75.477,2.33E+05,109.2,3.37E+05,34.971,1.08E+05,25.591,78949,6.8288,21067,
1,1,46,5462,1,297.75,280.51,27.31,110.39,6.03E+05,89.298,4.88E+05,53.25,2.91E+05,29.88,1.63E+05,7.8328,42783,
1,1,47,3286,2,224.76,312.26,25.746,80.507,2.65E+05,102.04,3.35E+05,16.275,53481,22.548,74094,17.695,58146,
1,1,48,5267,2,223.45,129.02,29.224,91.156,4.80E+05,122.22,6.44E+05,20.193,1.06E+05,24.514,1.29E+05,6.2254,32789,
1,1,49,5297,2,184.65,131.4,27.817,93.052,4.93E+05,128.22,6.79E+05,18.22,96512,16.523,87522,5.64,29875,
1,1,50,2875,2,311.81,307.12,25.854,107.01,3.08E+05,81.538,2.34E+05,23.165,66599,22.368,64307,7.4369,21381,
1,1,51,4576,2,291.97,328.7,29.44,122.12,5.59E+05,86.223,3.95E+05,17.716,81067,24.18,1.11E+05,5.9899,27410,
1,1,52,3293,2,173.52,204.54,27.598,72.369,2.38E+05,125.35,4.13E+05,20.965,69038,28.354,93371,6.5518,21575,
