Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,1,2,5374,2,258.91,151.67,6.4909,139.89,7.52E+05,115.16,6.19E+05,22.693,1.22E+05,40.919,2.20E+05,65.514,3.52E+05,
1,1,3,4608,2,261.42,233.29,7.1543,113.47,5.23E+05,94.956,4.38E+05,26.272,1.21E+05,27.203,1.25E+05,8.5323,39317,
1,1,4,5127,2,244.16,257.36,5.7406,106.84,5.48E+05,101.44,5.20E+05,28.535,1.46E+05,26.729,1.37E+05,10.221,52404,
1,1,5,12144,2,251.12,325.47,7.5366,74.192,9.01E+05,95.829,1.16E+06,24.938,3.03E+05,46.46,5.64E+05,10.831,1.32E+05,
1,1,6,6407,2,219.02,359.31,7.8898,79.257,5.08E+05,102.36,6.56E+05,26.308,1.69E+05,38.688,2.48E+05,9.6132,61592,
1,1,7,3701,2,242.55,188.18,9.0016,69.913,2.59E+05,102.5,3.79E+05,27.482,1.02E+05,21.511,79613,9.8935,36616,
1,1,8,8853,2,271.29,276.08,9.8404,93.973,8.32E+05,90.873,8.05E+05,39.001,3.45E+05,35.265,3.12E+05,9.9962,88496,
1,1,9,10562,2,212.22,311.54,13.389,79.419,8.39E+05,106.36,1.12E+06,24.52,2.59E+05,44.34,4.68E+05,9.1153,96276,
1,1,10,5059,2,221.21,154.12,11.001,108.83,5.51E+05,107.42,5.43E+05,23.045,1.17E+05,28.373,1.44E+05,8.9569,45313,
1,1,11,6031,2,274.17,179.71,14.573,80.073,4.83E+05,96.805,5.84E+05,23.886,1.44E+05,25.088,1.51E+05,9.6379,58126,
1,1,12,2602,2,216.16,192.67,13.195,89.723,2.33E+05,106.64,2.77E+05,24.627,64080,34.657,90177,9.1003,23679,
1,1,13,8252,2,281.16,323.49,14.223,82.274,6.79E+05,89.298,7.37E+05,20.389,1.68E+05,46.142,3.81E+05,9.3795,77400,
1,1,14,6293,2,215.09,387.18,14.907,61.543,3.87E+05,104.77,6.59E+05,20.725,1.30E+05,69.462,4.37E+05,10.864,68369,
1,1,15,3349,2,273.32,210.93,14.981,123.39,4.13E+05,91.877,3.08E+05,17.663,59152,16.654,55775,6.307,21122,
1,1,16,4574,2,225.24,245.53,16.702,106.05,4.85E+05,101.94,4.66E+05,22.572,1.03E+05,49.713,2.27E+05,8.5673,39187,
1,1,17,4488,2,292.75,240.78,17.856,97.914,4.39E+05,89.543,4.02E+05,17.884,80264,19.911,89360,7.1107,31913,
1,1,18,7880,2,252.04,366.48,16.036,52.643,4.15E+05,96.636,7.61E+05,19.789,1.56E+05,53.685,4.23E+05,10.99,86603,
1,1,19,5610,2,206.28,351.45,18.743,81.53,4.57E+05,105.66,5.93E+05,23.366,1.31E+05,37.944,2.13E+05,8.6873,48736,
1,1,20,3103,1,280.44,136.13,18.141,45.889,1.42E+05,96.316,2.99E+05,22.376,69433,25.266,78401,69.323,2.15E+05,
1,1,21,2259,2,223.23,214.87,18.405,97.893,2.21E+05,105.82,2.39E+05,21.507,48584,28.066,63402,7.7897,17597,
1,1,22,6057,2,288.98,272.89,21.673,84.689,5.13E+05,88.759,5.38E+05,24.037,1.46E+05,31.289,1.90E+05,7.6318,46226,
1,1,23,2717,2,214.27,422.68,19.497,91.897,2.50E+05,93.79,2.55E+05,21.057,57212,30.686,83375,8.0011,21739,
1,1,24,2130,1,245.76,202.15,20.363,123.13,2.62E+05,99.648,2.12E+05,56.555,1.20E+05,31.025,66084,9.8009,20876,
1,1,25,1739,2,303.16,322.79,21.103,105.02,1.83E+05,85.518,1.49E+05,15.365,26719,68.861,1.20E+05,12.446,21643,
