Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,1,1,1643,2,299.65,283.76,3.0037,217.72,3.58E+05,88.105,1.45E+05,27.491,45167,55.136,90588,11.391,18715,
1,1,2,1888,2,288.87,254.62,4.2484,158.93,3.00E+05,90.917,1.72E+05,24.412,46090,42.837,80877,10.823,20433,
1,1,3,2195,2,322.74,271.55,6.3731,141.12,3.10E+05,83.736,1.84E+05,23.357,51269,27.991,61440,9.8843,21696,
1,1,4,2775,2,331.59,243.73,5.9719,109.73,3.05E+05,82.853,2.30E+05,23.758,65928,32.019,88854,10.038,27856,
1,1,5,2186,2,292.8,215.09,7.7562,134.88,2.95E+05,96.4,2.11E+05,24.467,53484,31.334,68497,9.6455,21085,
1,1,6,2216,2,269.01,226.1,8.8276,135.93,3.01E+05,103.92,2.30E+05,23.193,51395,49.87,1.11E+05,10.2,22603,
1,1,7,4770,2,371.89,236.38,9.656,95.419,4.55E+05,74.524,3.55E+05,21.476,1.02E+05,26.231,1.25E+05,11.293,53869,
1,1,8,1511,2,272.3,268.7,7.7856,169.05,2.55E+05,89.376,1.35E+05,21.336,32239,49.884,75374,9.1032,13755,
1,1,9,1154,2,258.58,263.51,10.282,195.72,2.26E+05,93.957,1.08E+05,17.03,19653,24.843,28669,8.6976,10037,
1,1,10,4498,2,299.06,301.22,11.947,147.35,6.63E+05,85.561,3.85E+05,22.425,1.01E+05,34.944,1.57E+05,8.3844,37713,
1,1,11,1560,2,364.46,209.11,13.077,181.24,2.83E+05,74.993,1.17E+05,21.071,32870,27.196,42426,8.6647,13517,
1,1,12,2478,1,288.51,237.85,13.351,146.53,3.63E+05,87.847,2.18E+05,59.973,1.49E+05,35.468,87890,9.0702,22476,
1,1,13,1864,2,363.36,278.26,12.617,130.13,2.43E+05,73.153,1.36E+05,21.687,40424,23.241,43322,8.029,14966,
1,1,14,2586,2,320.52,298.56,13.67,127.25,3.29E+05,85.149,2.20E+05,23.365,60423,29.841,77169,8.442,21831,
1,1,15,2530,2,395.75,240.89,14.667,91.932,2.33E+05,65.061,1.65E+05,22.589,57151,24.334,61564,7.4154,18761,
1,1,16,3342,2,305.42,268.62,14.633,145.17,4.85E+05,85.73,2.87E+05,64.617,2.16E+05,32.816,1.10E+05,9.6861,32371,
1,1,17,3274,2,262.87,292.1,15.68,140.68,4.61E+05,90.806,2.97E+05,21.199,69404,27.188,89015,7.8164,25591,
1,1,18,1733,2,280.69,197.52,15.275,133.2,2.31E+05,102.52,1.78E+05,23.437,40617,41.25,71487,9.165,15883,
1,1,19,1967,2,259.62,215.34,15.918,133.21,2.62E+05,95.006,1.87E+05,22.217,43701,50.116,98578,10.018,19706,
1,1,20,2256,1,345.13,234.88,14.982,104.23,2.35E+05,78.886,1.78E+05,20.681,46657,29.678,66954,17.613,39734,
1,1,21,3491,1,359.57,254.4,16.384,134.31,4.69E+05,71.909,2.51E+05,17.657,61641,22.762,79463,18.212,63578,
1,1,22,1361,2,235.84,286.47,14.85,165.43,2.25E+05,90.178,1.23E+05,17.042,23194,34.569,47048,8.8075,11987,
1,1,23,2470,2,329.89,203.51,16.701,102.11,2.52E+05,83.357,2.06E+05,25.853,63857,29.996,74090,10.025,24762,
1,1,24,1819,1,311.05,249.82,16.004,150.52,2.74E+05,83.957,1.53E+05,46.962,85424,30.074,54705,8.022,14592,
1,1,25,2393,1,285.6,218.48,17.086,142.39,3.41E+05,94.758,2.27E+05,46.568,1.11E+05,27.538,65899,8.3372,19951,
1,1,26,2338,2,248.86,237.47,18.081,105.24,2.46E+05,101.82,2.38E+05,23.164,54158,42.261,98806,10.84,25345,
1,1,27,1403,2,254.03,314.19,17.212,116,1.63E+05,95.778,1.34E+05,24.093,33803,34.334,48170,8.5873,12048,
1,1,28,3262,1,335.01,258.79,17.447,126.45,4.12E+05,81.429,2.66E+05,18.162,59245,24.55,80081,31.32,1.02E+05,
1,1,29,3779,1,379.13,260.56,20.468,120.87,4.57E+05,67.49,2.55E+05,18.579,70211,26.251,99201,41.119,1.55E+05,
1,1,30,2882,2,237.5,320.82,19.81,121.34,3.50E+05,98.029,2.83E+05,22.767,65614,32.857,94694,8.5156,24542,
1,1,31,3478,2,297.5,189.83,20.062,134.55,4.68E+05,91.758,3.19E+05,21.211,73772,30.014,1.04E+05,8.3631,29087,
1,1,32,4894,2,386.62,213.77,21.572,133.83,6.55E+05,68.138,3.33E+05,20.378,99728,28.675,1.40E+05,10.982,53745,
1,1,33,3206,1,312.53,229.66,20.701,128.7,4.13E+05,86.652,2.78E+05,53.323,1.71E+05,30.195,96805,8.2087,26317,
1,1,34,7083,2,229.82,268.6,21.541,97.877,6.93E+05,100.08,7.09E+05,22.094,1.56E+05,36.654,2.60E+05,8.5745,60733,
1,1,35,2308,1,346.34,221.84,20.884,88.102,2.03E+05,75.426,1.74E+05,20.357,46984,31.917,73665,32.199,74316,
1,1,36,8559,2,193.37,331.28,22.039,92.165,7.89E+05,105.32,9.01E+05,19.423,1.66E+05,107.64,9.21E+05,12.798,1.10E+05,
1,1,37,2652,1,327.41,286.7,21.592,138.31,3.67E+05,84.21,2.23E+05,48.048,1.27E+05,28.933,76729,8.129,21558,
1,1,38,3648,1,306.39,298.37,21.783,128.19,4.68E+05,81.112,2.96E+05,58.413,2.13E+05,30.921,1.13E+05,9.0776,33115,
1,1,39,1690,2,357.83,308.92,20.149,121.85,2.06E+05,70.15,1.19E+05,21.539,36401,19.485,32930,6.6675,11268,
1,1,40,4205,2,276.07,330.67,22.689,147.44,6.20E+05,88.796,3.73E+05,20.576,86524,38.405,1.61E+05,8.2283,34600,
1,1,41,3114,2,301.47,330.54,23.222,154.35,4.81E+05,79.438,2.47E+05,17.869,55645,33.25,1.04E+05,7.1731,22337,
1,1,42,2100,2,343.99,177.75,23.741,130.01,2.73E+05,73.273,1.54E+05,20.384,42806,27.555,57866,7.3895,15518,
1,1,43,3048,2,238.62,228.83,24.309,85.042,2.59E+05,105.44,3.21E+05,22.373,68194,66.832,2.04E+05,14.079,42914,
1,1,44,1265,1,337.29,234.62,24.179,100.24,1.27E+05,83.388,1.05E+05,17.64,22314,21.432,27111,24.234,30656,
1,1,45,6670,2,189.68,298.15,25.643,102.96,6.87E+05,107.06,7.14E+05,19.725,1.32E+05,44.468,2.97E+05,8.0808,53899,
1,1,46,2170,1,359.18,293.22,26.593,94.28,2.05E+05,75.361,1.64E+05,36.203,78561,26.724,57992,7.2982,15837,
1,1,47,2757,2,380.34,298.71,26.971,102.51,2.83E+05,69.418,1.91E+05,21,57897,19.025,52451,6.8215,18807,
1,1,48,714,2,318.48,177.02,24.674,113.46,81013,84.218,60132,22.888,16342,22.293,15917,8.8571,6324,
1,1,49,3300,2,254.66,209.2,25.909,86.355,2.85E+05,96.976,3.20E+05,24.02,79266,45.524,1.50E+05,9.5685,31576,
1,1,50,2571,1,303.71,206.34,25.377,125.49,3.23E+05,90.556,2.33E+05,53.755,1.38E+05,29.477,75786,8.2754,21276,
1,1,51,2616,2,347.49,325.47,27.257,145.61,3.81E+05,69.714,1.82E+05,18.484,48355,28.42,74347,6.508,17025,
1,1,52,1071,1,333.4,201.65,28.133,154.17,1.65E+05,87.565,93782,70.922,75957,30.849,33039,11.47,12284,
