Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,1,2,8645,2,249.16,295.97,6.0936,32.025,2.77E+05,87.663,7.58E+05,50.075,4.33E+05,38.475,3.33E+05,34.888,3.02E+05,
1,1,4,5916,2,245.1,241.99,5.2738,30.86,1.83E+05,87.528,5.18E+05,47.486,2.81E+05,32.842,1.94E+05,12.093,71542,
1,1,5,5215,2,211.58,236.16,8.5291,26.714,1.39E+05,98.728,5.15E+05,43.432,2.27E+05,35.964,1.88E+05,18.154,94673,
1,1,6,7844,2,177.1,278.98,7.4417,23.82,1.87E+05,101.36,7.95E+05,38.85,3.05E+05,35.567,2.79E+05,18.005,1.41E+05,
1,1,7,13145,2,313.95,270.32,9.4573,17.527,2.30E+05,74.808,9.83E+05,27.411,3.60E+05,18.153,2.39E+05,9.0196,1.19E+05,
1,1,8,7024,1,210.72,277.53,15.848,28.425,2.00E+05,94.79,6.66E+05,53.36,3.75E+05,40.298,2.83E+05,72.225,5.07E+05,
1,1,9,8362,1,189.18,316.41,14.157,26.957,2.25E+05,93.606,7.83E+05,50.109,4.19E+05,36.465,3.05E+05,61.704,5.16E+05,
1,1,10,5717,1,227.29,305.31,17.036,33.376,1.91E+05,91.335,5.22E+05,46.996,2.69E+05,33.508,1.92E+05,45.815,2.62E+05,
1,1,11,4332,2,217.2,207.13,17.902,26.883,1.16E+05,99.187,4.30E+05,43.395,1.88E+05,33.599,1.46E+05,17.351,75166,
1,1,12,4390,1,195.95,251.36,19.837,25.195,1.11E+05,100.39,4.41E+05,53.025,2.33E+05,37.768,1.66E+05,56.01,2.46E+05,
1,1,13,5395,2,182.07,345.51,20.631,25.771,1.39E+05,97.851,5.28E+05,46.167,2.49E+05,38.458,2.07E+05,59.734,3.22E+05,
1,1,14,3615,1,164.24,283.8,19.162,26.041,94138,104.89,3.79E+05,42.045,1.52E+05,38.261,1.38E+05,116.47,4.21E+05,
1,1,15,7570,2,283.52,324.68,21.836,30.838,2.33E+05,79.704,6.03E+05,44.93,3.40E+05,39.069,2.96E+05,82.704,6.26E+05,
1,1,16,5356,2,191.63,210.3,24.51,24.149,1.29E+05,110.77,5.93E+05,44.959,2.41E+05,37.601,2.01E+05,15.875,85024,
1,1,17,4071,1,154.98,261.48,22.625,25.025,1.02E+05,112.23,4.57E+05,59.154,2.41E+05,37.005,1.51E+05,60.396,2.46E+05,
1,1,18,6996,1,247.24,336.23,22.993,31.361,2.19E+05,87.267,6.11E+05,38.675,2.71E+05,31.768,2.22E+05,71.33,4.99E+05,
1,1,19,5651,1,185.9,289.51,27.516,28.576,1.61E+05,104.05,5.88E+05,48.559,2.74E+05,34.237,1.93E+05,17.802,1.01E+05,
1,1,20,6556,2,287.94,185.46,31.325,22.321,1.46E+05,83.476,5.47E+05,38.224,2.51E+05,24.88,1.63E+05,11.36,74473,
1,1,21,2448,1,155.76,305.22,31.718,31.342,76725,102.5,2.51E+05,41.379,1.01E+05,28.279,69226,37.989,92998,
1,1,22,3220,1,228.65,361.79,30.631,31.506,1.01E+05,89.897,2.89E+05,43.726,1.41E+05,34.145,1.10E+05,91.513,2.95E+05,
1,1,23,6510,1,147.08,234.08,33.873,21.775,1.42E+05,111.25,7.24E+05,38.712,2.52E+05,34.085,2.22E+05,29.498,1.92E+05,
1,1,24,2239,1,201.72,265.24,31.498,32.262,72235,101.26,2.27E+05,29.093,65139,23.354,52289,44.844,1.00E+05,
1,1,25,6006,1,218.85,308.64,31.434,28.286,1.70E+05,98.377,5.91E+05,39.424,2.37E+05,27.222,1.64E+05,29.817,1.79E+05,
1,1,26,2257,1,165.85,233.1,33.493,31.28,70600,111.67,2.52E+05,29.439,66444,25.941,58549,41.987,94765,
1,1,27,3188,1,181.25,323.27,33.59,25.645,81756,106.15,3.38E+05,35.306,1.13E+05,30.769,98090,100.2,3.19E+05,
1,1,28,5471,1,211.07,334.69,37.005,29.067,1.59E+05,99.391,5.44E+05,38.368,2.10E+05,26.725,1.46E+05,44.432,2.43E+05,
1,1,29,6246,2,194.81,209.82,36.919,21.743,1.36E+05,107.04,6.69E+05,34.459,2.15E+05,31.948,2.00E+05,17.846,1.11E+05,
1,1,30,9805,2,343.41,261.36,39.881,24.389,2.39E+05,69.024,6.77E+05,40.722,3.99E+05,27.91,2.74E+05,16.392,1.61E+05,
1,1,31,8724,2,174.5,348.22,38.452,22.217,1.94E+05,89.814,7.84E+05,33.267,2.90E+05,27.557,2.40E+05,24.928,2.17E+05,
1,1,32,5700,2,136.57,290.68,40.133,20.028,1.14E+05,100.58,5.73E+05,42.835,2.44E+05,29.753,1.70E+05,21.057,1.20E+05,
1,1,33,3166,1,203.21,292.42,39.963,24.316,76986,97.038,3.07E+05,31.335,99208,25.319,80161,67.244,2.13E+05,
1,1,34,2882,1,157.07,248.88,41.585,26.454,76241,103.41,2.98E+05,37.126,1.07E+05,25.931,74733,34.527,99506,
1,1,35,4073,1,244.11,329.19,40.641,25.188,1.03E+05,88.205,3.59E+05,33.944,1.38E+05,27.022,1.10E+05,82.182,3.35E+05,
1,1,36,9845,2,283.49,339.89,42.194,23.658,2.33E+05,77.761,7.66E+05,34.868,3.43E+05,26.156,2.58E+05,12.055,1.19E+05,
1,1,37,9022,1,165.92,305.25,44.783,20.741,1.87E+05,97.26,8.77E+05,38.865,3.51E+05,24.67,2.23E+05,13.944,1.26E+05,
1,1,38,5606,2,239.32,171.57,45.569,21.443,1.20E+05,89.849,5.04E+05,35.722,2.00E+05,24.385,1.37E+05,14.402,80735,
