Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,1,1,12503,2,287.8,251.19,6.8999,34.907,4.36E+05,126.16,1.58E+06,32.674,4.09E+05,43.47,5.44E+05,38.188,4.77E+05,
1,1,2,15308,2,200.32,243.56,9.0957,25.952,3.97E+05,145.51,2.23E+06,30.753,4.71E+05,37.365,5.72E+05,32.895,5.04E+05,
1,1,3,10725,2,234.73,216.71,12.737,27.228,2.92E+05,136.27,1.46E+06,29.002,3.11E+05,39.997,4.29E+05,36.582,3.92E+05,
1,1,4,6615,1,259.9,236.45,16.577,35.927,2.38E+05,133.59,8.84E+05,29.036,1.92E+05,56.555,3.74E+05,36.817,2.44E+05,
1,1,5,11207,1,304.91,283.66,16.315,25.799,2.89E+05,115.44,1.29E+06,26.541,2.97E+05,69.511,7.79E+05,49.475,5.54E+05,
1,1,6,16901,2,290.21,327.85,13.866,21.746,3.68E+05,117.82,1.99E+06,26.998,4.56E+05,33.626,5.68E+05,28.664,4.84E+05,
1,1,7,13585,1,230.24,287.1,17.966,29.192,3.97E+05,129.36,1.76E+06,34.569,4.70E+05,45.486,6.18E+05,29.626,4.02E+05,
1,1,8,11800,2,280.65,203.65,22.126,25.085,2.96E+05,130.02,1.53E+06,27.259,3.22E+05,41.861,4.94E+05,38.049,4.49E+05,
1,1,9,24330,2,175.35,282.61,20.547,20.171,4.91E+05,136.29,3.32E+06,24.588,5.98E+05,36.698,8.93E+05,27.791,6.76E+05,
1,1,10,12829,2,329.66,244.64,25.548,23.533,3.02E+05,113.3,1.45E+06,24.289,3.12E+05,32.172,4.13E+05,40.02,5.13E+05,
1,1,11,9999,1,262.54,316.8,26.64,26.242,2.62E+05,119.56,1.20E+06,32.286,3.23E+05,57.614,5.76E+05,48.432,4.84E+05,
1,1,12,38329,2,191.6,192.73,33.252,14.786,5.67E+05,152.59,5.85E+06,23.134,8.87E+05,32.841,1.26E+06,26.644,1.02E+06,
1,1,13,7440,1,289.83,265.98,28.977,31.928,2.38E+05,116.08,8.64E+05,28.582,2.13E+05,51.526,3.83E+05,37.063,2.76E+05,
1,1,14,3840,1,257.76,234.57,28.571,29.049,1.12E+05,130.52,5.01E+05,27.247,1.05E+05,42.035,1.61E+05,34.996,1.34E+05,
1,1,15,9255,1,250.96,266.07,36.154,26.594,2.46E+05,131.05,1.21E+06,26.129,2.42E+05,47.285,4.38E+05,38.231,3.54E+05,
1,1,16,7023,1,289.02,222.43,34.297,27.941,1.96E+05,127.05,8.92E+05,21.56,1.51E+05,43.579,3.06E+05,56.022,3.93E+05,
1,1,17,8892,1,309.47,302.96,33.555,24.033,2.14E+05,110.77,9.85E+05,26.703,2.37E+05,55.787,4.96E+05,46.628,4.15E+05,
1,1,18,18319,2,227.74,340.51,39.602,22.094,4.05E+05,123.07,2.25E+06,30.232,5.54E+05,31.522,5.77E+05,33.837,6.20E+05,
1,1,19,15491,2,253.19,192.36,39.142,19.626,3.04E+05,143.31,2.22E+06,22.179,3.44E+05,39.264,6.08E+05,33.383,5.17E+05,
1,1,20,11329,2,340.12,275.86,39.947,22.912,2.60E+05,109.72,1.24E+06,24.686,2.80E+05,32.044,3.63E+05,36.439,4.13E+05,
1,1,21,38871,2,165.33,321.83,40.045,13.882,5.40E+05,134.98,5.25E+06,22.253,8.65E+05,36.054,1.40E+06,26.273,1.02E+06,
1,1,22,2641,1,282.77,271.22,39.902,34.769,91825,119.95,3.17E+05,23.343,61650,41.374,1.09E+05,50.184,1.33E+05,
1,1,23,10561,1,254.42,309.36,42.704,26.506,2.80E+05,126.16,1.33E+06,28.543,3.01E+05,37.994,4.01E+05,50.139,5.30E+05,
1,1,24,8809,1,288.06,313.41,46.244,25.722,2.27E+05,118.49,1.04E+06,26.486,2.33E+05,41.157,3.63E+05,46.153,4.07E+05,
1,1,25,7197,1,261.93,227.57,46.925,23.903,1.72E+05,138.35,9.96E+05,22.995,1.65E+05,47.487,3.42E+05,46.163,3.32E+05,
1,1,26,13553,1,308.11,260.63,50.587,20.908,2.83E+05,122.57,1.66E+06,23.578,3.20E+05,54.952,7.45E+05,45.224,6.13E+05,
1,1,27,10611,2,321.5,310.89,49.61,24.865,2.64E+05,115.62,1.23E+06,26.294,2.79E+05,36.404,3.86E+05,29.387,3.12E+05,
1,1,28,11626,2,296.55,214.23,50.824,21.372,2.48E+05,132.55,1.54E+06,20.017,2.33E+05,38.947,4.53E+05,34.74,4.04E+05,
1,1,29,7888,1,266.2,275.25,53.36,26.291,2.07E+05,133.7,1.05E+06,27.374,2.16E+05,41.028,3.24E+05,44.283,3.49E+05,
1,1,30,18998,2,199.11,250.35,60.022,16.987,3.23E+05,152.04,2.89E+06,25.887,4.92E+05,35.068,6.66E+05,55.069,1.05E+06,
1,1,31,6894,2,263.52,243.62,62.483,25.015,1.72E+05,133.55,9.21E+05,22.697,1.56E+05,38.798,2.67E+05,38.831,2.68E+05,
1,1,32,11622,2,266.78,308.41,63.435,22.851,2.66E+05,122.06,1.42E+06,28.241,3.28E+05,40.324,4.69E+05,44.522,5.17E+05,
