Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,1,3,7257,2,352.33,355.08,6.062,96.642,7.01E+05,67.8,4.92E+05,21.796,1.58E+05,19.523,1.42E+05,26.864,1.95E+05,
1,1,4,8713,2,152.42,182.84,7.5206,110.69,9.64E+05,113.28,9.87E+05,24.597,2.14E+05,34.406,3.00E+05,29.437,2.56E+05,
1,1,5,1544,2,202.55,245.35,4.6431,130.9,2.02E+05,102.72,1.59E+05,26.575,41032,23.774,36707,29.122,44964,
1,1,6,3446,2,224.56,234.42,7.3372,137.46,4.74E+05,96.494,3.33E+05,27.827,95892,34.149,1.18E+05,29.267,1.01E+05,
1,1,7,6599,2,353.85,296.9,9.0858,128.8,8.50E+05,69.541,4.59E+05,21.397,1.41E+05,16.065,1.06E+05,24.75,1.63E+05,
1,1,8,4590,2,199.89,179.61,7.7606,124.36,5.71E+05,105.22,4.83E+05,29.382,1.35E+05,33.875,1.55E+05,27.688,1.27E+05,
1,1,9,6184,2,245.01,186.5,10.335,132.4,8.19E+05,94.877,5.87E+05,25.053,1.55E+05,26.468,1.64E+05,27.139,1.68E+05,
1,1,10,5238,2,183.97,218.41,7.2528,115.7,6.06E+05,104.69,5.48E+05,34.539,1.81E+05,29.442,1.54E+05,28.835,1.51E+05,
1,1,11,6522,2,420.93,288.85,10.601,73.562,4.80E+05,57.982,3.78E+05,17.295,1.13E+05,11.641,75924,22.611,1.47E+05,
1,1,12,6140,2,201.3,292.26,9.4241,122.41,7.52E+05,88.208,5.42E+05,31.459,1.93E+05,39.438,2.42E+05,29.437,1.81E+05,
1,1,13,13834,2,188.74,351.88,8.7618,97.577,1.35E+06,85.279,1.18E+06,24.35,3.37E+05,18.958,2.62E+05,25.767,3.56E+05,
1,1,14,4246,2,317.11,346.09,10.342,81.578,3.46E+05,71.087,3.02E+05,22.674,96275,16.722,71003,26.518,1.13E+05,
1,1,15,4317,2,258.74,382.43,9.6972,168.11,7.26E+05,75.803,3.27E+05,21.297,91938,13.203,56999,24.734,1.07E+05,
1,1,16,10055,2,204.14,132.14,11.885,107.06,1.08E+06,104.37,1.05E+06,22.349,2.25E+05,38.739,3.90E+05,33.749,3.39E+05,
1,1,17,11628,2,104.97,173.69,13.063,70.489,8.20E+05,112.07,1.30E+06,26.828,3.12E+05,41.765,4.86E+05,29.816,3.47E+05,
1,1,18,6503,2,136.67,231.33,10.095,101.56,6.60E+05,103.57,6.74E+05,28.716,1.87E+05,37.265,2.42E+05,29.34,1.91E+05,
1,1,19,4521,2,339.62,390.28,12.96,89.308,4.04E+05,68.754,3.11E+05,23.566,1.07E+05,16.33,73830,25.551,1.16E+05,
1,1,20,4260,2,235.01,142.65,13.348,111.71,4.76E+05,102.84,4.38E+05,26.181,1.12E+05,29.583,1.26E+05,26.513,1.13E+05,
1,1,21,2740,1,122.69,153.15,13.075,74.569,2.04E+05,116.68,3.20E+05,24.186,66270,33.655,92216,32.88,90090,
1,1,22,3708,1,190.49,194.98,11.394,142.92,5.30E+05,98.965,3.67E+05,38.846,1.44E+05,26.65,98817,27.162,1.01E+05,
1,1,23,3313,1,223.5,203.27,12.523,143.11,4.74E+05,95.205,3.15E+05,49.643,1.64E+05,22.854,75715,28.183,93369,
