Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,1,1,4522,2,214.57,340.22,4.2161,169.66,7.67E+05,126.21,5.71E+05,32.69,1.48E+05,46.265,2.09E+05,31.305,1.42E+05,
1,1,2,9252,1,282.1,342.22,7.454,158.44,1.47E+06,114.77,1.06E+06,58.628,5.42E+05,40.498,3.75E+05,32.6,3.02E+05,
1,1,3,8507,2,141.14,226.63,6.4396,85.961,7.31E+05,157.46,1.34E+06,27.2,2.31E+05,25.258,2.15E+05,27.793,2.36E+05,
1,1,4,8939,2,304.77,370.48,5.9035,190.29,1.70E+06,108.89,9.73E+05,52.71,4.71E+05,41.593,3.72E+05,31.518,2.82E+05,
1,1,5,9525,2,169.62,189.59,6.827,129.58,1.23E+06,158.76,1.51E+06,34.678,3.30E+05,29.899,2.85E+05,31.969,3.05E+05,
1,1,6,7917,2,278.06,202.9,7.5172,102.04,8.08E+05,130.68,1.03E+06,38.13,3.02E+05,32.13,2.54E+05,28.948,2.29E+05,
1,1,7,13521,2,220.29,201.84,6.995,107.83,1.46E+06,148.29,2.01E+06,33.038,4.47E+05,31.647,4.28E+05,30.757,4.16E+05,
1,1,8,6255,2,203.81,300.07,5.6414,131.09,8.20E+05,132.97,8.32E+05,32.728,2.05E+05,28.599,1.79E+05,30.67,1.92E+05,
1,1,9,9312,2,321.06,253.59,8.8119,134.98,1.26E+06,113.07,1.05E+06,28.858,2.69E+05,24.524,2.28E+05,28.018,2.61E+05,
1,1,10,9549,2,349.62,306.65,7.742,96.656,9.23E+05,101.4,9.68E+05,24.576,2.35E+05,23.099,2.21E+05,25.629,2.45E+05,
1,1,11,2867,2,152.3,333.8,7.503,173.43,4.97E+05,127.91,3.67E+05,25.119,72016,39.085,1.12E+05,26.628,76343,
1,1,12,9825,1,187.92,331.89,9.1375,145.77,1.43E+06,127.59,1.25E+06,84.382,8.29E+05,40.157,3.95E+05,33.478,3.29E+05,
1,1,13,6941,2,349.33,384.41,6.4563,132.09,9.17E+05,97.296,6.75E+05,27.968,1.94E+05,35.416,2.46E+05,28.074,1.95E+05,
1,1,14,4835,2,248.72,426.09,5.2565,183.07,8.85E+05,109.48,5.29E+05,32.9,1.59E+05,73.52,3.55E+05,32.934,1.59E+05,
1,1,15,18067,2,236.71,379.14,10.137,200.22,3.62E+06,114.13,2.06E+06,53.819,9.72E+05,42.93,7.76E+05,36.832,6.65E+05,
1,1,16,7374,2,195.21,385.28,8.3016,188.63,1.39E+06,114.47,8.44E+05,31.424,2.32E+05,44.948,3.31E+05,36.618,2.70E+05,
1,1,17,5629,1,291.31,410.86,9.5433,206.43,1.16E+06,105.89,5.96E+05,31.959,1.80E+05,37.036,2.08E+05,36.369,2.05E+05,
1,1,18,8721,2,320.42,415.2,9.7573,175.9,1.53E+06,98.77,8.61E+05,32.945,2.87E+05,44.183,3.85E+05,30.864,2.69E+05,
1,1,19,4938,2,249.68,162.34,10.722,131.4,6.49E+05,138.32,6.83E+05,38.219,1.89E+05,37.881,1.87E+05,28.741,1.42E+05,
1,1,20,6051,2,244.3,234.15,14.028,163.77,9.91E+05,131.77,7.97E+05,34.751,2.10E+05,40.396,2.44E+05,32.033,1.94E+05,
1,1,21,9075,2,394.64,324.64,12.658,115.81,1.05E+06,86.207,7.82E+05,25.409,2.31E+05,20.638,1.87E+05,25.745,2.34E+05,
1,1,22,6365,1,262.59,409.77,11.575,202.84,1.29E+06,107.34,6.83E+05,29.383,1.87E+05,38.964,2.48E+05,46.123,2.94E+05,
1,1,23,7887,2,332.99,179.32,13.436,132.03,1.04E+06,104.53,8.24E+05,30.072,2.37E+05,23.821,1.88E+05,29.942,2.36E+05,
1,1,24,4346,2,180.14,242.77,13.226,162.86,7.08E+05,141.74,6.16E+05,34.844,1.51E+05,38.098,1.66E+05,34.23,1.49E+05,
1,1,25,4426,1,347.7,354.92,11.937,140.05,6.20E+05,97.282,4.31E+05,83.443,3.69E+05,29.719,1.32E+05,33.175,1.47E+05,
1,1,26,9389,2,202,440.93,14.28,179.24,1.68E+06,100.97,9.48E+05,32.232,3.03E+05,61.407,5.77E+05,34.081,3.20E+05,
