Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,1,1,6128,2,269.12,204.31,8.1953,94.179,5.77E+05,88.306,5.41E+05,31.527,1.93E+05,17.602,1.08E+05,28.232,1.73E+05,
1,1,2,5802,2,272.37,272.4,7.7311,125.8,7.30E+05,85.768,4.98E+05,23.907,1.39E+05,9.7342,56478,25.462,1.48E+05,
1,1,3,6785,2,312.19,230.46,11.432,89.37,6.06E+05,79.461,5.39E+05,32.662,2.22E+05,14.058,95382,35.665,2.42E+05,
1,1,4,7170,1,254.04,234.57,13.005,110.1,7.89E+05,89.497,6.42E+05,46.948,3.37E+05,16.391,1.18E+05,97.655,7.00E+05,
1,1,5,7484,1,295.02,193.95,16.249,106.33,7.96E+05,84.238,6.30E+05,35.823,2.68E+05,15.555,1.16E+05,94.748,7.09E+05,
1,1,6,3129,1,271.32,217.14,17.24,113.79,3.56E+05,87.479,2.74E+05,36.688,1.15E+05,11.535,36092,44.951,1.41E+05,
1,1,7,5071,1,292.82,267.2,18.676,97.474,4.94E+05,80.165,4.07E+05,40.653,2.06E+05,16.213,82217,30.763,1.56E+05,
1,1,8,5497,2,221.03,246.91,21.566,81.806,4.50E+05,92.992,5.11E+05,38.643,2.12E+05,13.302,73121,37.715,2.07E+05,
1,1,9,3838,1,250.81,270.6,20.084,98.669,3.79E+05,85.293,3.27E+05,41.337,1.59E+05,18.065,69332,62.684,2.41E+05,
1,1,10,8270,1,313.4,225.28,22.529,89.082,7.37E+05,77.813,6.44E+05,37.497,3.10E+05,15.019,1.24E+05,28.729,2.38E+05,
1,1,11,10150,1,310.92,296.45,22.713,85.76,8.70E+05,74.684,7.58E+05,29.451,2.99E+05,15.955,1.62E+05,71.029,7.21E+05,
1,1,12,4637,2,217.94,216.4,24.319,84.516,3.92E+05,94.764,4.39E+05,36.648,1.70E+05,11.044,51211,31.026,1.44E+05,
1,1,13,5344,2,247.54,308.08,22.379,78.829,4.21E+05,83.697,4.47E+05,37.679,2.01E+05,11.948,63851,33.849,1.81E+05,
1,1,14,4559,2,337.4,266.17,24.945,85.379,3.89E+05,71.674,3.27E+05,33.37,1.52E+05,9.6469,43980,34.786,1.59E+05,
1,1,15,3152,2,304.67,170.86,25.343,103.94,3.28E+05,78.427,2.47E+05,35.872,1.13E+05,12.171,38364,28.746,90608,
1,1,16,4249,2,255.54,162.75,26.48,84.85,3.61E+05,92.493,3.93E+05,41.214,1.75E+05,13.448,57142,34.115,1.45E+05,
1,1,17,5905,2,225.92,185.77,27.267,74.555,4.40E+05,95.575,5.64E+05,33.912,2.00E+05,12.049,71149,24.7,1.46E+05,
1,1,18,6540,1,273.22,254.86,28.935,94.513,6.18E+05,83.907,5.49E+05,29.52,1.93E+05,11.806,77214,43.416,2.84E+05,
1,1,19,5943,1,247.58,223.22,27.716,96.955,5.76E+05,89.102,5.30E+05,36.512,2.17E+05,15.542,92369,76.643,4.55E+05,
1,1,20,3407,2,344.78,226.41,29.135,96.589,3.29E+05,70.09,2.39E+05,31.64,1.08E+05,10.4,35432,23.516,80118,
1,1,21,5886,1,279.93,202.25,30.402,95.05,5.59E+05,86.394,5.09E+05,26.681,1.57E+05,12.128,71386,74.471,4.38E+05,
1,1,22,2728,1,284.91,322.07,30.87,110.1,3.00E+05,78.246,2.13E+05,53.286,1.45E+05,14.084,38421,65.511,1.79E+05,
1,1,23,7779,1,287.09,171.54,35.467,89.857,6.99E+05,84.971,6.61E+05,28.86,2.25E+05,14.71,1.14E+05,97.394,7.58E+05,
1,1,24,5478,1,301.47,228.71,33.174,92.595,5.07E+05,81.455,4.46E+05,22.118,1.21E+05,12.385,67845,39.231,2.15E+05,
1,1,25,2251,1,215.86,257.13,32.363,90.026,2.03E+05,94.298,2.12E+05,43.837,98678,12.129,27303,50.061,1.13E+05,
1,1,26,1754,1,305.96,296.62,33.071,144.39,2.53E+05,75.997,1.33E+05,29.769,52214,12.539,21994,42.634,74780,
1,1,27,12443,1,253.42,272.17,36.875,63.343,7.88E+05,85.693,1.07E+06,24.372,3.03E+05,12.927,1.61E+05,72.172,8.98E+05,
1,1,28,7329,2,253.44,324.73,36.761,65.582,4.81E+05,82.977,6.08E+05,32.714,2.40E+05,10.661,78133,24.373,1.79E+05,
1,1,29,5766,2,225.64,300.75,37.281,71.497,4.12E+05,88.624,5.11E+05,39.691,2.29E+05,11.541,66544,44.586,2.57E+05,
1,1,30,3882,1,326.35,178.79,37.462,71.667,2.78E+05,74.304,2.88E+05,33.075,1.28E+05,10.489,40718,49.566,1.92E+05,
