Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,1,1,4913,2,223.68,266.72,4.3684,115.32,5.67E+05,106.12,5.21E+05,13.271,65201,54.558,2.68E+05,13.359,65633,
1,1,2,2647,2,265.98,275.52,2.9467,110.72,2.93E+05,97.921,2.59E+05,8.3249,22036,42.629,1.13E+05,12.276,32495,
1,1,3,2740,2,273.51,303.13,3.6328,135.53,3.71E+05,98.754,2.71E+05,19.168,52521,50.606,1.39E+05,15.747,43148,
1,1,6,5509,2,249.93,233.6,7.2694,96.482,5.32E+05,105.57,5.82E+05,12.496,68843,44.592,2.46E+05,12.831,70688,
1,1,7,5923,2,192.38,268.01,9.6807,129.27,7.66E+05,119.69,7.09E+05,8.663,51311,41.55,2.46E+05,12.712,75295,
1,1,8,6649,2,276.02,332.76,10.055,132.73,8.83E+05,94.224,6.27E+05,22.482,1.49E+05,55.65,3.70E+05,13.187,87682,
1,1,9,3422,2,315.59,281.8,8.7086,100.61,3.44E+05,89.533,3.06E+05,8.7472,29933,45.835,1.57E+05,12.531,42880,
1,1,10,5760,2,211.74,318.24,8.3125,77.99,4.49E+05,104.96,6.05E+05,9.5806,55184,43.222,2.49E+05,13.461,77537,
1,1,11,7358,2,319.09,222.5,10.853,102.39,7.53E+05,93.499,6.88E+05,9.7382,71654,23.426,1.72E+05,10.058,74007,
1,1,12,4368,2,282.88,244.4,10.571,76.735,3.35E+05,99.629,4.35E+05,8.799,38434,41.866,1.83E+05,11.716,51175,
1,1,13,5173,2,342.63,263.76,10.537,90.966,4.71E+05,87.056,4.50E+05,12.34,63837,35.038,1.81E+05,12.32,63730,
1,1,14,2862,1,291.99,301.33,8.9312,135.41,3.88E+05,93.514,2.68E+05,54.302,1.55E+05,45.585,1.30E+05,14.401,41217,
1,1,15,4064,1,236.65,330.52,13.447,135.83,5.52E+05,101.1,4.11E+05,48.904,1.99E+05,56.107,2.28E+05,13.835,56225,
1,1,16,5500,2,314.47,342.44,13.692,115.41,6.35E+05,87.969,4.84E+05,6.704,36872,42.916,2.36E+05,40.489,2.23E+05,
1,1,17,4062,2,280.17,359.88,12.819,104.33,4.24E+05,93.655,3.80E+05,9.0918,36931,42.808,1.74E+05,14.83,60241,
1,1,18,11691,2,205.83,221.07,14.945,90.528,1.06E+06,124.87,1.46E+06,11.404,1.33E+05,49.939,5.84E+05,11.776,1.38E+05,
1,1,19,12695,2,141.13,173.49,13.571,25.754,3.27E+05,154.92,1.97E+06,1.6199,20565,16.14,2.05E+05,6.1108,77577,
1,1,20,3393,1,332.6,303.85,15.224,124.85,4.24E+05,84.156,2.86E+05,8.9549,30384,47.335,1.61E+05,12.98,44042,
1,1,21,4022,1,309.8,314.43,15.581,128.65,5.17E+05,90.086,3.62E+05,46.282,1.86E+05,47.322,1.90E+05,13.711,55145,
1,1,22,6248,2,237.37,361.06,15.863,106.06,6.63E+05,99.996,6.25E+05,11.181,69858,41.145,2.57E+05,13.746,85888,
1,1,23,7683,2,203.23,345.89,20.049,90.443,6.95E+05,106.66,8.19E+05,11.64,89428,46.717,3.59E+05,14.8,1.14E+05,
1,1,24,5905,2,259.01,197.08,18.828,84.881,5.01E+05,118.83,7.02E+05,12.383,73124,41.037,2.42E+05,13.991,82616,
1,1,25,3088,2,359.82,317.22,19.027,131.23,4.05E+05,79.341,2.45E+05,10.355,31975,30.795,95095,14.071,43452,
1,1,26,4163,2,294.92,213.12,20.454,105.71,4.40E+05,103.85,4.32E+05,11.845,49310,46.566,1.94E+05,12.826,53393,
1,1,27,3756,2,159.2,265.19,20.804,96.936,3.64E+05,120.37,4.52E+05,9.5149,35738,40.308,1.51E+05,13.215,49637,
1,1,28,2768,1,294.96,363.8,21.775,97.438,2.70E+05,86.702,2.40E+05,6.2518,17305,34.024,94179,28.224,78125,
1,1,29,5847,2,168.39,311.59,22.811,82.202,4.81E+05,112.01,6.55E+05,9.7975,57286,43.099,2.52E+05,13.251,77478,
1,1,30,4777,1,259.44,369.62,23.859,124.28,5.94E+05,92.287,4.41E+05,24.606,1.18E+05,35.709,1.71E+05,12.869,61473,
1,1,31,3209,1,273.33,342.5,21.669,122.8,3.94E+05,92.712,2.98E+05,29.984,96219,47.575,1.53E+05,11.673,37458,
1,1,33,2487,1,236.18,350.45,23.151,113.75,2.83E+05,99.44,2.47E+05,31.776,79027,48.756,1.21E+05,12.265,30504,
1,1,34,4713,2,314.9,392.27,25.077,86.652,4.08E+05,84.065,3.96E+05,8.2073,38681,43.244,2.04E+05,16.063,75705,
1,1,35,6916,2,181.21,201.31,25.98,75.671,5.23E+05,134.78,9.32E+05,12.164,84128,47.068,3.26E+05,12.1,83683,
1,1,36,3235,1,332.74,273.89,24.325,118.96,3.85E+05,85.45,2.76E+05,44.977,1.46E+05,39.979,1.29E+05,12.878,41659,
1,1,37,4238,1,319.97,305.35,24.014,102.7,4.35E+05,85.994,3.64E+05,23.958,1.02E+05,41.283,1.75E+05,18.937,80253,
1,1,38,2656,2,357.99,350.26,24.926,105.36,2.80E+05,73.596,1.95E+05,7.782,20669,38.932,1.03E+05,12.963,34429,
1,1,39,1507,1,335.59,337.98,23.725,99.052,1.49E+05,85.163,1.28E+05,6.4512,9722,33.027,49771,35.037,52801,
1,1,40,2897,1,300.88,342.44,25.343,107.76,3.12E+05,90.215,2.61E+05,6.301,18254,37.124,1.08E+05,50.245,1.46E+05,
1,1,41,4758,2,270.51,403.3,27.759,95.031,4.52E+05,93.685,4.46E+05,8.8869,42284,39.672,1.89E+05,15.678,74598,
1,1,42,9915,2,276.53,191.89,29.867,91.694,9.09E+05,107.26,1.06E+06,13.514,1.34E+05,44.723,4.43E+05,11.944,1.18E+05,
1,1,43,6937,2,153.54,233.2,28.526,68.31,4.74E+05,135.59,9.41E+05,9.7113,67367,41.009,2.84E+05,13.317,92382,
1,1,44,4365,1,282.66,384.07,28.05,102.87,4.49E+05,92.73,4.05E+05,6.7274,29365,35.554,1.55E+05,43.684,1.91E+05,
1,1,45,14230,1,337.69,240.06,32.307,75.514,1.07E+06,86.452,1.23E+06,28.669,4.08E+05,42.085,5.99E+05,13.366,1.90E+05,
1,1,46,4271,1,337.92,290.16,30.303,100.43,4.29E+05,82.569,3.53E+05,29.532,1.26E+05,38.612,1.65E+05,16.188,69138,
1,1,47,3357,2,360.63,289.94,30.608,89.191,2.99E+05,78.012,2.62E+05,9.5317,31998,35.089,1.18E+05,26.778,89895,
1,1,48,5201,2,233.43,391.21,29.877,110.64,5.75E+05,100.67,5.24E+05,7.8385,40768,30.352,1.58E+05,13.187,68585,
1,1,49,4948,2,172.42,163.91,31.003,97.043,4.80E+05,139.37,6.90E+05,10.347,51199,51.396,2.54E+05,12.251,60616,
1,1,50,1857,1,349.41,318.48,27.532,91.444,1.70E+05,80.439,1.49E+05,7.8185,14519,29.708,55167,38.507,71508,
1,1,52,1014,1,340.25,361,28.685,96.629,97982,80.385,81510,6.5897,6682,30.681,31111,25.674,26033,
1,1,53,1760,1,290.67,363.72,31.209,113.98,2.01E+05,88.745,1.56E+05,4.9443,8702,30.248,53236,22.914,40328,
1,1,55,2621,2,370.6,332.13,33.877,95.542,2.50E+05,72.884,1.91E+05,9.053,23728,38.837,1.02E+05,12.604,33034,
1,1,56,3448,1,222.11,368.27,32.627,102.4,3.53E+05,99.999,3.45E+05,37.908,1.31E+05,45.145,1.56E+05,12.137,41848,
1,1,57,3549,1,328.92,385.84,32.898,105.56,3.75E+05,79.362,2.82E+05,8.2189,29169,32.947,1.17E+05,34.858,1.24E+05,
1,1,58,1366,2,146.21,167.98,32.092,98.808,1.35E+05,146.5,2.00E+05,5.9919,8185,31.273,42719,11.851,16189,
1,1,59,9636,2,236.95,185.05,33.729,63.945,6.16E+05,122.86,1.18E+06,11.107,1.07E+05,37.147,3.58E+05,11.889,1.15E+05,
1,1,60,9422,1,287.37,330.37,38.651,108.93,1.03E+06,94.165,8.87E+05,25.262,2.38E+05,33.999,3.20E+05,11.338,1.07E+05,
1,1,61,3450,1,344.11,337.04,33.53,79.171,2.73E+05,78.955,2.72E+05,7.6232,26300,32.063,1.11E+05,41.821,1.44E+05,
1,1,62,4498,2,359.14,369.43,35.407,89.935,4.05E+05,73.471,3.30E+05,11.159,50191,34.505,1.55E+05,19.306,86838,
1,1,63,4930,2,313.78,211.46,37.131,99.757,4.92E+05,92.075,4.54E+05,13.106,64614,41.553,2.05E+05,12.559,61917,
1,1,64,1807,1,349.81,290.9,36.127,89.759,1.62E+05,81.748,1.48E+05,10.654,19251,30.059,54317,61.673,1.11E+05,
1,1,65,1949,1,267.22,390.84,33.448,106.77,2.08E+05,95.372,1.86E+05,5.8717,11444,31.093,60600,28.059,54687,
1,1,66,4242,2,212.72,177.01,38.277,67.824,2.88E+05,125.29,5.31E+05,10.225,43376,41.773,1.77E+05,11.973,50790,
1,1,67,4959,1,194.41,353.3,37.389,106.2,5.27E+05,103.84,5.15E+05,40.114,1.99E+05,43.353,2.15E+05,12.209,60544,
1,1,68,3670,1,254.38,363.1,35.465,103.28,3.79E+05,94.506,3.47E+05,19.824,72754,36.71,1.35E+05,11.293,41446,
1,1,69,6562,2,179.55,132.35,37.782,80.668,5.29E+05,147.28,9.66E+05,8.6408,56701,39.15,2.57E+05,12.769,83790,
