Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, 
1,1,1,6825,2,299.91,245.64,4.5163,83.074,5.67E+05,17.111,1.17E+05,68.168,4.65E+05,3.4812,23759,
1,1,2,7246,2,285.2,326.67,7.4035,94.558,6.85E+05,18.066,1.31E+05,48.92,3.54E+05,2.7687,20062,
1,1,3,6841,1,250.97,166.63,7.1494,86.763,5.94E+05,43.766,2.99E+05,64.175,4.39E+05,2.685,18368,
1,1,4,9762,2,245.87,210.68,8.0584,78.334,7.65E+05,17.004,1.66E+05,62.898,6.14E+05,3.2421,31649,
1,1,5,8677,1,273.47,271.25,8.8301,72.176,6.26E+05,32.819,2.85E+05,58.227,5.05E+05,3.3235,28838,
1,1,6,10653,1,332.66,283.92,8.7157,60.523,6.45E+05,48.4,5.16E+05,77.995,8.31E+05,3.6095,38452,
1,1,7,13879,2,211.87,277.33,9.6387,53.562,7.43E+05,31.818,4.42E+05,45.841,6.36E+05,2.5046,34762,
1,1,8,6672,2,349.53,172.02,10.593,88.123,5.88E+05,31.749,2.12E+05,55.148,3.68E+05,2.7836,18572,
1,1,9,9106,2,145.12,202.04,9.5429,74.034,6.74E+05,42.633,3.88E+05,44.027,4.01E+05,3.2592,29678,
1,1,10,5878,1,320.47,219.6,9.1092,97.059,5.71E+05,51.895,3.05E+05,133.06,7.82E+05,3.695,21719,
1,1,11,3825,2,149.62,294.38,10.173,145.72,5.57E+05,17.361,66406,67.584,2.59E+05,2.3663,9051,
1,1,12,7370,2,255.78,359.2,10.957,77.65,5.72E+05,31.47,2.32E+05,55.429,4.09E+05,3.5415,26101,
1,1,13,5466,1,307.48,172.45,10.484,99.395,5.43E+05,45.981,2.51E+05,56.295,3.08E+05,3.0143,16476,
1,1,14,6116,1,279.51,207.13,11.415,91.863,5.62E+05,60.917,3.73E+05,97.794,5.98E+05,3.2834,20081,
1,1,15,10969,2,385.33,271.44,13.836,72.388,7.94E+05,16.091,1.77E+05,47.833,5.25E+05,2.6505,29073,
1,1,16,8794,2,235,138.05,13.765,76.913,6.76E+05,14.296,1.26E+05,70.7,6.22E+05,2.972,26136,
1,1,17,9299,2,324.12,350.47,13.986,66.908,6.22E+05,14.058,1.31E+05,66.02,6.14E+05,3.0318,28193,
1,1,18,12550,1,377.41,213.76,16.938,84.987,1.07E+06,34.407,4.32E+05,87.554,1.10E+06,2.7341,34313,
1,1,19,6059,1,337.56,159.5,18.135,86.115,5.22E+05,44.427,2.69E+05,121.54,7.36E+05,3.9109,23696,
1,1,20,5992,1,343.04,326.26,18.41,80.328,4.81E+05,88.659,5.31E+05,61.595,3.69E+05,2.7717,16608,
1,1,21,4201,2,119.06,245.91,19.077,128.99,5.42E+05,17.057,71658,58.2,2.45E+05,2.3823,10008,
1,1,22,8314,2,274.52,121.89,21.339,100.02,8.32E+05,22.366,1.86E+05,78.006,6.49E+05,2.8804,23948,
1,1,23,6431,1,351.36,232.12,21.547,80.543,5.18E+05,28.845,1.86E+05,61.733,3.97E+05,3.981,25602,
1,1,24,10446,2,152.41,347.15,21.642,70.107,7.32E+05,22.149,2.31E+05,47.977,5.01E+05,3.1579,32987,
1,1,25,6534,1,306.54,243.76,20.837,86.468,5.65E+05,31.514,2.06E+05,66.748,4.36E+05,2.7539,17994,
1,1,26,6683,1,329.34,289.47,21.014,79.028,5.28E+05,58.575,3.91E+05,53.769,3.59E+05,3.0081,20103,
1,1,27,5176,1,365.38,307.42,25.272,99.866,5.17E+05,49.332,2.55E+05,54.699,2.83E+05,2.4531,12697,
1,1,28,4496,1,301.24,160.63,26.164,115.77,5.20E+05,37.966,1.71E+05,49.118,2.21E+05,2.4731,11119,
1,1,29,7966,1,321.7,213.06,26.708,73.482,5.85E+05,33.082,2.64E+05,64.528,5.14E+05,5.6847,45284,
1,1,30,6379,1,386.29,270.58,25.259,77.27,4.93E+05,67.66,4.32E+05,63.738,4.07E+05,2.9354,18725,
1,1,31,8893,1,323.05,347.14,26.518,62.438,5.55E+05,24.773,2.20E+05,72.201,6.42E+05,3.2802,29171,
1,1,32,10402,2,210.91,391.7,29.534,62.407,6.49E+05,89.591,9.32E+05,53.26,5.54E+05,3.2646,33958,
1,1,33,10405,2,152.16,143,31.904,82.433,8.58E+05,23.437,2.44E+05,42.891,4.46E+05,2.664,27719,
1,1,34,11345,1,317.39,130.59,33.713,82.838,9.40E+05,65.381,7.42E+05,15.758,1.79E+05,2.6575,30149,
1,1,35,10259,2,363.68,141.73,31.507,68.936,7.07E+05,14.981,1.54E+05,54.679,5.61E+05,2.5386,26044,
1,1,36,3898,1,322.14,176.77,32.076,128.24,5.00E+05,21.614,84251,97.996,3.82E+05,3.3497,13057,
1,1,37,4425,2,109.63,239.82,30.293,119.89,5.31E+05,37.991,1.68E+05,40.508,1.79E+05,2.1306,9428,
1,1,38,5864,1,362.02,230.92,32.228,86.327,5.06E+05,34.338,2.01E+05,37.65,2.21E+05,2.6937,15796,
1,1,39,3646,1,386.96,193.39,33.375,126.69,4.62E+05,21.844,79643,86.874,3.17E+05,3.5776,13044,
1,1,40,8127,2,411.27,235.12,36.239,76.209,6.19E+05,9.6583,78493,42.386,3.44E+05,2.4662,20043,
1,1,41,5481,1,347.16,266.06,35.072,89.096,4.88E+05,49.259,2.70E+05,35.853,1.97E+05,2.4078,13197,
1,1,42,5534,2,253.22,296.72,40.462,101.85,5.64E+05,30.104,1.67E+05,30.776,1.70E+05,2.1594,11950,
1,1,43,11749,2,115.82,304.31,43.331,48.851,5.74E+05,100.68,1.18E+06,59.249,6.96E+05,3.8068,44726,
1,1,44,7597,2,362.97,344.57,43.111,74.23,5.64E+05,10.521,79927,47.077,3.58E+05,2.4025,18252,
1,1,45,12541,1,361.15,213.14,44.646,76.391,9.58E+05,9.4454,1.18E+05,47.726,5.99E+05,2.8766,36075,
1,1,46,8915,2,210.91,210.48,43.872,68.319,6.09E+05,45.021,4.01E+05,53.024,4.73E+05,2.2291,19872,
1,1,47,7597,2,206.97,117.55,46.241,77.249,5.87E+05,16.313,1.24E+05,36.874,2.80E+05,2.9834,22665,
1,1,48,10818,2,285.14,117.31,47.366,82.046,8.88E+05,10.444,1.13E+05,41.362,4.47E+05,2.6335,28489,
1,1,49,12575,1,357.25,163.31,47.429,68.192,8.58E+05,54.162,6.81E+05,18.003,2.26E+05,2.1699,27286,
1,1,50,6679,1,375.36,300.54,46.717,71.425,4.77E+05,54.213,3.62E+05,55.695,3.72E+05,2.7447,18332,
1,1,51,5578,1,395.43,241,48.844,83.504,4.66E+05,57.32,3.20E+05,36.57,2.04E+05,2.3743,13244,
1,1,52,10620,2,267.98,389.83,50.26,54.956,5.84E+05,35.391,3.76E+05,44.366,4.71E+05,2.3584,25046,
1,1,53,3439,2,131.75,194.88,50.449,137.69,4.74E+05,36.311,1.25E+05,40.002,1.38E+05,1.8982,6528,
1,1,54,10497,2,292.91,169.02,52.805,57.775,6.06E+05,11.95,1.25E+05,37.319,3.92E+05,2.3753,24934,
1,1,55,15087,2,157.06,272.87,54.701,44.694,6.74E+05,19.047,2.87E+05,31.047,4.68E+05,2.5236,38074,
1,1,56,5563,2,166.05,335.63,52.675,88.755,4.94E+05,29.641,1.65E+05,28.867,1.61E+05,2.0027,11141,
1,1,57,9894,1,318.25,282.18,54.525,53.531,5.30E+05,39.787,3.94E+05,36.499,3.61E+05,1.9965,19753,
1,1,58,8586,2,342.56,199.56,55.601,79.752,6.85E+05,6.527,56041,32.465,2.79E+05,2.329,19997,
1,1,59,8101,2,369.52,265.03,56.18,64.682,5.24E+05,7.4083,60015,38.549,3.12E+05,2.1589,17489,
1,1,60,9505,2,339.05,327.73,55.58,56.703,5.39E+05,20.208,1.92E+05,39.464,3.75E+05,2.1399,20340,
