Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, 
1,1,1,10804,2,140.89,280.11,8.1966,96.867,1.05E+06,28.781,3.11E+05,50.846,5.49E+05,2.447,26437,
1,1,2,10692,2,374.27,310.69,8.2876,68.132,7.28E+05,71.672,7.66E+05,77.388,8.27E+05,2.2334,23880,
1,1,3,5162,2,175.71,327.08,6.8778,38.532,1.99E+05,12.57,64887,12.317,63580,4.0653,20985,
1,1,4,9432,2,209.28,356.97,9.9404,81.9,7.72E+05,39.792,3.75E+05,64.497,6.08E+05,2.4208,22833,
1,1,5,10246,2,280.3,405.03,9.284,80.722,8.27E+05,20.888,2.14E+05,50.654,5.19E+05,2.6214,26859,
1,1,6,12007,2,283.83,146.19,11.729,76.928,9.24E+05,39.122,4.70E+05,64.318,7.72E+05,2.3972,28783,
1,1,7,18986,2,199.78,150.95,15.088,62.05,1.18E+06,17.678,3.36E+05,41.064,7.80E+05,2.1968,41709,
1,1,8,8584,2,309.15,294.94,10.862,83.871,7.20E+05,72.981,6.26E+05,45.395,3.90E+05,2.6489,22738,
1,1,9,14780,2,336.27,254.88,13.374,64.013,9.46E+05,44.467,6.57E+05,48.783,7.21E+05,2.1212,31352,
1,1,10,16891,2,267.88,234.38,15.496,68.652,1.16E+06,54.908,9.27E+05,29.944,5.06E+05,2.2088,37309,
1,1,11,13060,2,190.13,275.35,17.352,89.002,1.16E+06,48.673,6.36E+05,60.809,7.94E+05,2.312,30195,
1,1,12,13763,2,267.25,317.53,16.085,78.628,1.08E+06,36.6,5.04E+05,49.499,6.81E+05,2.1393,29443,
1,1,13,9189,2,297.1,132.58,20.162,87.707,8.06E+05,22.312,2.05E+05,55.119,5.06E+05,2.1368,19635,
1,1,14,11128,2,143.52,219.68,21.285,95.512,1.06E+06,9.9018,1.10E+05,45.997,5.12E+05,2.4804,27602,
1,1,15,12017,2,385.32,260.94,23.442,78.139,9.39E+05,20.881,2.51E+05,46.716,5.61E+05,2.2801,27400,
1,1,16,12601,2,350.1,369.51,23.646,60.809,7.66E+05,21.437,2.70E+05,68.099,8.58E+05,2.3018,29005,
1,1,17,10050,2,232.9,406.35,25.9,72.483,7.28E+05,25.479,2.56E+05,71.036,7.14E+05,2.177,21879,
1,1,18,8877,2,245.37,130.07,25.603,75.197,6.68E+05,44.869,3.98E+05,66.258,5.88E+05,2.0607,18293,
1,1,19,9489,2,347.5,170.12,28.217,82.765,7.85E+05,11.579,1.10E+05,46.664,4.43E+05,1.989,18874,
1,1,20,15152,1,345.44,295.65,28.195,74.136,1.12E+06,53.725,8.14E+05,34.884,5.29E+05,2.7808,42135,
1,1,21,9004,2,128.33,270.27,29.579,82.943,7.47E+05,15.651,1.41E+05,49.153,4.43E+05,2.2468,20230,
1,1,22,10466,2,159.95,348.87,31.331,72.565,7.59E+05,14.121,1.48E+05,41.798,4.37E+05,2.5517,26706,
1,1,23,11391,1,284.84,372.38,31.953,89.052,1.01E+06,26.669,3.04E+05,51.362,5.85E+05,2.1398,24375,
1,1,24,7979,2,353.88,350.19,32.823,75.166,6.00E+05,28.103,2.24E+05,54.485,4.35E+05,2.0201,16118,
1,1,25,16144,1,269.26,192.68,36.167,63.505,1.03E+06,25.756,4.16E+05,22.615,3.65E+05,1.8258,29476,
1,1,26,10576,1,367.2,222.77,35.686,79.03,8.36E+05,28.775,3.04E+05,59.702,6.31E+05,1.7,17979,
1,1,27,15167,1,333.29,259.04,36.552,70.294,1.07E+06,37.546,5.69E+05,35.978,5.46E+05,2.7485,41686,
1,1,28,9580,1,290.92,307.26,36.272,103.14,9.88E+05,19.7,1.89E+05,13.589,1.30E+05,1.4872,14247,
1,1,29,7220,1,205.08,353.36,35.261,70.9,5.12E+05,55.171,3.98E+05,37.825,2.73E+05,2.8584,20638,
1,1,30,12059,2,285.98,144.5,35.669,63.643,7.67E+05,31.374,3.78E+05,45.563,5.49E+05,2.1367,25766,
1,1,31,11193,2,166.25,186.64,36.28,65.105,7.29E+05,25.036,2.80E+05,56.356,6.31E+05,2.166,24244,
1,1,32,12636,1,243.99,259.72,38.068,88.451,1.12E+06,23,2.91E+05,32.589,4.12E+05,2.1295,26908,
1,1,33,8330,1,172.06,241.7,38.296,64.233,5.35E+05,36.305,3.02E+05,43.089,3.59E+05,2.0745,17281,
1,1,34,8426,1,286.98,248.9,38.399,77.613,6.54E+05,19.268,1.62E+05,107.95,9.10E+05,10.606,89369,
1,1,35,14960,1,309.92,196.77,40.75,72.085,1.08E+06,41.172,6.16E+05,24.351,3.64E+05,2.5012,37418,
1,1,36,6716,1,208.76,281.89,39.548,72.083,4.84E+05,34.764,2.33E+05,29.029,1.95E+05,2.5753,17296,
1,1,37,14079,1,165.57,291.48,40.93,75.267,1.06E+06,30.989,4.36E+05,58.383,8.22E+05,2.1517,30294,
1,1,38,8611,1,234.88,328.63,40.409,68.674,5.91E+05,24.382,2.10E+05,80.749,6.95E+05,3.1536,27156,
1,1,39,8606,1,228,224.05,43.642,75.285,6.48E+05,16.177,1.39E+05,73.717,6.34E+05,9.0293,77706,
1,1,40,13079,1,280.3,352.83,42.357,79.664,1.04E+06,27.235,3.56E+05,64.732,8.47E+05,2.2893,29942,
1,1,41,8840,2,211.62,178.38,42.653,58.96,5.21E+05,43.329,3.83E+05,48.115,4.25E+05,2.135,18873,
1,1,42,9916,2,337.5,330.49,44.106,82.752,8.21E+05,10.118,1.00E+05,30.469,3.02E+05,1.6968,16825,
1,1,43,10543,2,237.62,373.93,44.105,90.308,9.52E+05,10.38,1.09E+05,25.024,2.64E+05,1.9658,20725,
1,1,44,12111,2,152.93,230.56,47.098,80.238,9.72E+05,9.6468,1.17E+05,35.046,4.24E+05,2.0623,24977,
1,1,45,10622,2,182.74,335.59,47.964,68.351,7.26E+05,12.992,1.38E+05,35.737,3.80E+05,1.8117,19244,
1,1,46,13092,2,326.59,234.06,51.075,76.691,1.00E+06,10.817,1.42E+05,34.182,4.48E+05,1.6483,21580,
1,1,47,9215,1,253.79,298.79,49.699,67.513,6.22E+05,20.218,1.86E+05,53.727,4.95E+05,2.7806,25623,
1,1,48,12246,2,301.49,281.03,51.936,72.636,8.90E+05,16.728,2.05E+05,15.521,1.90E+05,1.3276,16258,
1,1,49,5471,2,179.33,244.55,50.693,70.863,3.88E+05,26.95,1.47E+05,24.132,1.32E+05,1.6472,9012,
1,1,50,7069,1,215.29,312.76,51.92,65.412,4.62E+05,25.672,1.81E+05,22.755,1.61E+05,1.8476,13061,
1,1,51,15614,1,246.49,245.01,53.88,63.922,9.98E+05,17.981,2.81E+05,25.688,4.01E+05,2.1023,32826,
1,1,52,14937,2,278.81,196.18,55.631,55.86,8.34E+05,11.53,1.72E+05,31.893,4.76E+05,1.3602,20317,
1,1,53,13787,2,214.47,213.88,57.969,51.182,7.06E+05,13.509,1.86E+05,28.159,3.88E+05,1.5021,20709,
1,1,54,9454,2,246.89,274.45,60.987,72.434,6.85E+05,15.32,1.45E+05,31.321,2.96E+05,1.4144,13372,
