Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, 
1,1,1,8654,2,169.46,239.7,5.4331,130.19,1.13E+06,21.638,1.87E+05,65.572,5.67E+05,19.334,1.67E+05,
1,1,5,9260,2,112.7,239.58,8.6229,128.52,1.19E+06,40.38,3.74E+05,98.229,9.10E+05,19.626,1.82E+05,
1,1,9,11242,2,135.41,310.99,11.938,83.774,9.42E+05,17.091,1.92E+05,81.351,9.15E+05,20.286,2.28E+05,
1,1,12,9125,2,112.96,189.63,12.88,121.73,1.11E+06,54.956,5.01E+05,97.846,8.93E+05,15.416,1.41E+05,
1,1,14,10041,2,214.91,210.93,15.179,135.55,1.36E+06,13.221,1.33E+05,60.406,6.07E+05,29.124,2.92E+05,
1,1,19,10417,2,192.46,328.48,16.596,115.93,1.21E+06,17.919,1.87E+05,38.852,4.05E+05,19.607,2.04E+05,
1,1,24,7066,1,137.73,217.83,17.971,110.13,7.78E+05,154.99,1.10E+06,110.07,7.78E+05,21.606,1.53E+05,
1,1,25,7495,2,226.4,245.38,17.54,147.75,1.11E+06,35.808,2.68E+05,54.167,4.06E+05,19.654,1.47E+05,
1,1,28,9703,1,182.96,168.54,20.418,99.137,9.62E+05,140.48,1.36E+06,117.64,1.14E+06,21.261,2.06E+05,
1,1,30,4107,1,184.77,213.52,19.692,106.69,4.38E+05,183.11,7.52E+05,95.992,3.94E+05,20.249,83163,
1,1,34,11221,2,100.21,289.8,23.755,104.13,1.17E+06,22.818,2.56E+05,83.1,9.32E+05,24.96,2.80E+05,
1,1,37,5299,1,148.35,187.66,23.861,90.176,4.78E+05,159.21,8.44E+05,96.045,5.09E+05,25.789,1.37E+05,
1,1,51,11422,2,181.17,143.62,31.345,112.67,1.29E+06,21.836,2.49E+05,55.246,6.31E+05,15.179,1.73E+05,
1,1,52,7461,2,100.77,238.3,30.374,77.771,5.80E+05,9.9516,74249,45.953,3.43E+05,14.455,1.08E+05,
1,1,53,11688,2,151.01,340.44,32.596,76.29,8.92E+05,15.639,1.83E+05,74.675,8.73E+05,12.717,1.49E+05,
1,1,54,10680,1,211.86,204.33,31.121,93.912,1.00E+06,101.13,1.08E+06,51.78,5.53E+05,24.164,2.58E+05,
1,1,56,11378,2,241.46,261.44,33.559,109.75,1.25E+06,13.617,1.55E+05,38.736,4.41E+05,14.358,1.63E+05,
1,1,59,6212,1,178.53,177.07,33.465,106.38,6.61E+05,85.882,5.34E+05,167.55,1.04E+06,24.088,1.50E+05,
1,1,61,8543,1,131.19,190.97,35.145,81.298,6.95E+05,46.234,3.95E+05,76.251,6.51E+05,20.873,1.78E+05,
1,1,75,12498,1,124.15,221.85,43.877,66.836,8.35E+05,33.607,4.20E+05,43.302,5.41E+05,15.004,1.88E+05,
1,1,77,7039,2,187.07,341.4,43.827,78.255,5.51E+05,19.222,1.35E+05,82.495,5.81E+05,12.134,85414,
1,1,79,9947,1,168.25,202.62,43.323,71.794,7.14E+05,115.78,1.15E+06,54.641,5.44E+05,18.791,1.87E+05,
1,1,84,11701,2,119.26,295.39,45.772,78.726,9.21E+05,32.942,3.85E+05,50.872,5.95E+05,15.691,1.84E+05,
1,1,85,13298,1,217.03,210.86,45.816,83.309,1.11E+06,59.099,7.86E+05,36.509,4.86E+05,16.838,2.24E+05,
1,1,100,13698,2,173.07,237.81,58.293,63.631,8.72E+05,7.8344,1.07E+05,19.653,2.69E+05,14.304,1.96E+05,
1,1,103,8678,2,141.77,269.64,57.418,61.448,5.33E+05,9.0831,78823,23.184,2.01E+05,16.943,1.47E+05,
1,1,107,7151,2,190.5,281.04,59.762,64.146,4.59E+05,11.031,78884,49.863,3.57E+05,10.182,72815,
