Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, 
1,1,1,4118,2,148.13,219.64,5.391,153.34,6.31E+05,20.365,83865,26.889,1.11E+05,9.8497,40561,
1,1,2,3945,2,214.76,235.54,5.1817,158.07,6.24E+05,24.06,94916,28.325,1.12E+05,10.105,39865,
1,1,3,4078,2,197.35,295.57,6.2477,149.45,6.09E+05,58.305,2.38E+05,26.486,1.08E+05,10.526,42924,
1,1,4,5944,2,212.96,161.32,7.9105,158.62,9.43E+05,17.859,1.06E+05,21.524,1.28E+05,8.0416,47799,
1,1,5,8128,2,281.15,181.21,6.6903,124.76,1.01E+06,47.356,3.85E+05,19.515,1.59E+05,12.192,99096,
1,1,6,4617,2,274.19,232.68,6.2365,109.7,5.07E+05,35.56,1.64E+05,20.577,95006,11.112,51304,
1,1,7,3747,2,206.52,263.46,6.5885,163.91,6.14E+05,36.214,1.36E+05,27.699,1.04E+05,10.457,39181,
1,1,8,6515,2,142.27,189.39,10.803,131.72,8.58E+05,19.747,1.29E+05,20.183,1.31E+05,9.5222,62037,
1,1,9,14338,2,244.08,198.2,9.6159,119.57,1.71E+06,45.006,6.45E+05,31.267,4.48E+05,12.285,1.76E+05,
1,1,10,3054,2,186.09,209.35,9.0809,117.51,3.59E+05,55.086,1.68E+05,21.597,65956,12.145,37091,
1,1,11,6650,2,122.42,247.22,10.746,97.018,6.45E+05,20.534,1.37E+05,16.426,1.09E+05,11.701,77812,
1,1,12,3882,1,245.5,256.45,9.9518,133.84,5.20E+05,44.045,1.71E+05,37.537,1.46E+05,15.8,61335,
1,1,13,2773,2,279.79,260.58,9.8503,197.74,5.48E+05,25.506,70727,20.939,58064,10.968,30415,
1,1,14,6582,2,136.66,291.13,9.4898,162.37,1.07E+06,28.391,1.87E+05,15.786,1.04E+05,9.8291,64695,
1,1,15,5087,2,237.65,290.42,8.9919,115.55,5.88E+05,30.625,1.56E+05,23.07,1.17E+05,11.076,56345,
1,1,16,3651,2,161.85,320.93,9.0386,114.12,4.17E+05,24.987,91226,17.028,62170,14.633,53424,
1,1,17,5819,2,271.12,149.42,11.409,109.37,6.36E+05,29.302,1.71E+05,24.269,1.41E+05,10.918,63532,
1,1,18,7143,2,319.03,213.91,11.948,138.46,9.89E+05,38.562,2.75E+05,24.17,1.73E+05,10.285,73463,
1,1,19,2389,2,309.99,239.69,10.081,158.08,3.78E+05,19.296,46099,20.877,49875,19.953,47668,
1,1,20,4349,2,194.61,318.06,11.808,120.02,5.22E+05,53.387,2.32E+05,21.826,94922,9.2607,40275,
1,1,21,4762,2,241.06,317.9,13.574,136.44,6.50E+05,46.668,2.22E+05,28.572,1.36E+05,12.427,59178,
1,1,22,3166,1,197.72,189.87,11.991,120.97,3.83E+05,40.978,1.30E+05,38.001,1.20E+05,12.898,40836,
1,1,23,4944,2,328.01,174.13,15.97,107.63,5.32E+05,24.457,1.21E+05,22.434,1.11E+05,10.132,50094,
1,1,24,836,1,289.52,194.37,12.794,99.161,82899,75.018,62715,15.388,12864,11.53,9639,
1,1,25,4691,1,176.54,252.89,16.077,117,5.49E+05,36.769,1.72E+05,38.823,1.82E+05,12.096,56741,
1,1,26,682,1,207.32,212.89,13.377,141.88,96764,17.957,12247,43.484,29656,10.749,7331,
1,1,27,3696,1,196.9,240.29,15.371,136.08,5.03E+05,74.259,2.74E+05,16.232,59992,8.9518,33086,
1,1,28,3716,1,236.67,269.17,16.019,119.56,4.44E+05,60.717,2.26E+05,12.469,46336,9.7228,36130,
1,1,29,3275,2,267.56,288.57,16.294,184.4,6.04E+05,19.161,62751,19.484,63811,11.826,38730,
1,1,30,5964,1,254.43,162.81,20.95,165.7,9.88E+05,19.701,1.18E+05,33.205,1.98E+05,17.927,1.07E+05,
1,1,31,3132,1,301.68,175.76,18.913,110.26,3.45E+05,85.215,2.67E+05,17.122,53625,10.643,33333,
1,1,32,922,1,240.79,201.21,20.399,118.85,1.10E+05,31.358,28912,33.399,30794,10.463,9647,
1,1,33,2889,1,280.76,263.96,18.396,131.37,3.80E+05,75.751,2.19E+05,13.204,38147,10.409,30072,
1,1,34,4244,2,152.73,337.75,20.447,103.68,4.40E+05,33.598,1.43E+05,21.3,90399,13.529,57419,
1,1,35,3763,2,204.56,338.3,21.468,110.78,4.17E+05,17.336,65236,14.396,54171,12.634,47540,
1,1,36,9151,1,213.26,183.59,21.954,122.7,1.12E+06,48.857,4.47E+05,11.614,1.06E+05,7.7318,70754,
1,1,37,8178,1,185.98,222.74,22.967,144.47,1.18E+06,46.215,3.78E+05,13.798,1.13E+05,7.1949,58840,
1,1,38,1237,2,269.66,299.54,20.485,203.22,2.51E+05,13.225,16359,15.707,19429,11.715,14492,
1,1,39,7386,2,301.49,150.56,24.532,105.09,7.76E+05,67.997,5.02E+05,13.063,96487,10.329,76293,
1,1,40,2963,1,183.88,188.26,21.621,128.25,3.80E+05,38.342,1.14E+05,38.61,1.14E+05,10.218,30276,
1,1,41,3648,1,306.68,232.23,21.876,98.009,3.58E+05,49.798,1.82E+05,27.698,1.01E+05,9.9054,36135,
1,1,42,7601,2,117.08,318.12,24.457,120.37,9.15E+05,14.968,1.14E+05,16.786,1.28E+05,14.747,1.12E+05,
1,1,43,2848,2,229.98,148.81,24.234,141.54,4.03E+05,16.09,45825,16.554,47147,13.118,37360,
1,1,44,5302,2,149.53,188.38,24.225,145.3,7.70E+05,15.185,80512,18.929,1.00E+05,7.5494,40027,
1,1,45,6987,2,327.29,255.87,25.856,130.24,9.10E+05,19.73,1.38E+05,21.151,1.48E+05,7.8788,55049,
1,1,46,2424,1,271.41,205.01,23.528,109.92,2.66E+05,14.011,33962,32.547,78893,12.915,31305,
1,1,47,3870,2,239.02,331.63,25.59,120.91,4.68E+05,15.786,61090,15.85,61339,13.718,53088,
1,1,48,6489,2,340.58,208.53,26.845,139.54,9.05E+05,26.828,1.74E+05,19.454,1.26E+05,8.4395,54764,
1,1,49,3527,1,236.54,233.74,22.771,124.12,4.38E+05,57.32,2.02E+05,13.834,48793,8.5432,30132,
1,1,50,12298,2,115.86,248.64,25.913,76.654,9.43E+05,19.191,2.36E+05,13.167,1.62E+05,7.4173,91218,
1,1,51,6366,1,259.67,254.88,26.36,127.77,8.13E+05,20.747,1.32E+05,21.862,1.39E+05,10.254,65278,
1,1,52,3894,2,301.25,275.59,26.596,146.75,5.71E+05,33.911,1.32E+05,19.25,74960,10.253,39924,
1,1,53,4835,2,272.11,320.96,27.241,107.43,5.19E+05,30.313,1.47E+05,16.123,77954,8.3657,40448,
1,1,54,2971,1,280.45,181.51,26.499,98.47,2.93E+05,16.936,50317,31.312,93027,15.56,46228,
1,1,55,5391,2,192.48,168.51,31.502,129.26,6.97E+05,10.319,55632,13.19,71108,11.313,60989,
1,1,56,5129,2,168.14,343.02,30.015,84.656,4.34E+05,18.808,96467,14.304,73365,13.178,67588,
1,1,57,1836,1,244.94,211.11,28.511,96.687,1.78E+05,47.934,88006,11.492,21099,7.6928,14124,
1,1,58,8356,2,310.24,151.47,34.341,107.63,8.99E+05,18.534,1.55E+05,13.993,1.17E+05,10.672,89174,
1,1,59,164,1,276.67,195.2,28.372,78.939,12946,19.854,3256,32.378,5310,11.506,1887,
1,1,60,745,1,221.06,175.08,30.251,97.993,73005,58.008,43216,10.153,7564,7.0403,5245,
1,1,61,9668,1,265.95,173.7,33.799,101.1,9.77E+05,61.702,5.97E+05,12.815,1.24E+05,9.1442,88406,
1,1,62,8366,1,313.09,196.87,32.783,90.481,7.57E+05,52.037,4.35E+05,16.787,1.40E+05,7.3493,61484,
1,1,63,4402,1,282.41,249.03,33.021,88.343,3.89E+05,14.132,62210,30.108,1.33E+05,14.113,62126,
1,1,64,7743,2,112.23,282.4,34.575,126.51,9.80E+05,18.255,1.41E+05,16.993,1.32E+05,6.6472,51469,
1,1,65,3989,1,217.48,218.92,34.137,96.379,3.84E+05,19.749,78779,27.589,1.10E+05,6.6134,26381,
1,1,66,3933,2,196.1,341.78,33.223,84.023,3.30E+05,12.273,48271,12.411,48812,11.417,44905,
1,1,67,5754,2,141.08,353.09,36.203,60.054,3.46E+05,22.348,1.29E+05,15.884,91395,10.189,58626,
1,1,68,5929,1,303.34,281.97,35.205,103.12,6.11E+05,36.592,2.17E+05,17.292,1.03E+05,7.986,47349,
1,1,69,5538,2,113.51,326.16,36.82,105.97,5.87E+05,15.371,85125,13.21,73156,11.779,65232,
1,1,70,3356,2,154.81,214.83,37.198,129.15,4.33E+05,33.569,1.13E+05,17.195,57707,5.9306,19903,
1,1,71,6938,2,232.99,332.72,36.323,68.428,4.75E+05,18.571,1.29E+05,14.316,99327,9.9771,69221,
1,1,72,5655,2,280.42,306.18,38.483,80.123,4.53E+05,16.85,95284,14.036,79375,9.5319,53903,
1,1,73,3634,2,190.95,195.05,41.477,108.36,3.94E+05,25.379,92226,14.644,53216,6.1833,22470,
1,1,74,7220,1,247.8,236.9,40.421,125.3,9.05E+05,10.625,76711,16.399,1.18E+05,10.447,75430,
1,1,75,2254,2,261.01,158.86,40.282,135.59,3.06E+05,11.876,26768,13.265,29900,8.7746,19778,
1,1,76,6705,2,311.59,211.66,41.722,108.33,7.26E+05,11.905,79823,12.505,83845,8.8504,59342,
1,1,77,7961,2,236.47,183.18,43.649,118.66,9.45E+05,20.464,1.63E+05,13.844,1.10E+05,5.9275,47189,
