Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, 
1,1,1,14925,2,284.72,116.55,8.5121,68.628,1.02E+06,9.2272,1.38E+05,17.084,2.55E+05,6.2111,92700,
1,1,2,11920,2,288.07,178,5.6861,73.254,8.73E+05,17.681,2.11E+05,18.675,2.23E+05,6.4461,76837,
1,1,3,9398,2,298.16,256.91,4.9216,92.617,8.70E+05,7.8581,73850,17.646,1.66E+05,7.9442,74660,
1,1,4,3905,2,206.41,257.73,4.4694,127.11,4.96E+05,3.788,14792,17.169,67045,7.504,29303,
1,1,5,10029,2,237.19,153.56,7.4835,56.454,5.66E+05,5.0372,50518,13.873,1.39E+05,5.5815,55977,
1,1,6,8076,2,199.19,178.18,7.4616,86.055,6.95E+05,3.3592,27129,14.016,1.13E+05,6.8338,55190,
1,1,7,7599,2,250.15,199.54,5.9475,70.179,5.33E+05,4.0062,30443,16.284,1.24E+05,5.3437,40607,
1,1,8,7803,2,198.17,217.32,6.4998,65.089,5.08E+05,4.6731,36464,16.722,1.30E+05,6.0532,47233,
1,1,9,8479,2,241.88,281.55,5.6215,103.94,8.81E+05,9.0507,76741,25.147,2.13E+05,7.2892,61805,
1,1,10,11284,2,200.36,301.13,9.5836,81.89,9.24E+05,7.4912,84531,21.834,2.46E+05,7.3385,82808,
1,1,11,7156,2,291.21,307.53,13.41,106.64,7.63E+05,4.2489,30405,20.643,1.48E+05,8.0457,57575,
1,1,12,12826,2,366.29,191.02,14.919,67.617,8.67E+05,8.7024,1.12E+05,14.439,1.85E+05,8.199,1.05E+05,
1,1,13,9988,2,185.02,140.27,18.432,90.449,9.03E+05,10.094,1.01E+05,18.987,1.90E+05,7.1673,71587,
1,1,14,10594,1,257.29,309.51,18.545,116.51,1.23E+06,18.067,1.91E+05,38.34,4.06E+05,11.608,1.23E+05,
1,1,15,8559,2,350.57,127.62,17.915,83.021,7.11E+05,7.5828,64901,18.51,1.58E+05,7.2166,61767,
1,1,16,4172,1,214.41,284.97,16.663,107.17,4.47E+05,22.995,95936,35.896,1.50E+05,8.0899,33751,
1,1,17,6734,2,231.62,109.45,20.187,88.864,5.98E+05,8.9606,60341,18.425,1.24E+05,8.4756,57075,
1,1,18,8791,2,153.9,213.53,22.233,90.679,7.97E+05,3.8733,34050,15.129,1.33E+05,6.8718,60410,
1,1,19,6311,2,153.4,250.83,22.16,115.34,7.28E+05,4.585,28936,19.594,1.24E+05,7.5663,47751,
1,1,20,4454,2,160.52,279.92,19.138,117.06,5.21E+05,3.6877,16425,18.126,80731,7.6215,33946,
1,1,21,10561,2,342,300.55,22.533,105.51,1.11E+06,16.366,1.73E+05,23.207,2.45E+05,9.073,95820,
1,1,22,5698,2,246.57,354.42,21.503,102.64,5.85E+05,6.1501,35043,26.773,1.53E+05,7.712,43943,
1,1,23,10072,2,282.23,95.851,23.916,76.53,7.71E+05,15.368,1.55E+05,17.242,1.74E+05,6.4406,64870,
1,1,24,12099,2,373.1,149.09,28.045,73.53,8.90E+05,5.2718,63784,18.028,2.18E+05,7.088,85758,
1,1,25,4880,2,183.96,337.82,23.082,113.87,5.56E+05,4.7299,23082,19.113,93272,8.0238,39156,
1,1,26,6345,1,282.22,332.66,24.609,114.29,7.25E+05,26.388,1.67E+05,17.699,1.12E+05,8.4659,53716,
1,1,27,10722,2,380.27,220.09,29.053,85.116,9.13E+05,12.676,1.36E+05,16.225,1.74E+05,8.0915,86757,
1,1,28,11982,2,340.7,107.33,29.56,74.439,8.92E+05,12.377,1.48E+05,15.937,1.91E+05,6.3549,76144,
1,1,29,3626,1,199.99,307.22,26.496,108.38,3.93E+05,19.264,69850,19.592,71040,6.9628,25247,
1,1,30,7317,1,299.47,304.67,28.155,90.118,6.59E+05,9.4095,68849,34.548,2.53E+05,8.1848,59888,
1,1,31,5806,1,183.35,275.72,29.37,97.282,5.65E+05,21.782,1.26E+05,29.779,1.73E+05,8.109,47081,
1,1,32,6742,1,230.33,298.95,28.604,102.92,6.94E+05,7.6167,51352,31.516,2.12E+05,10.709,72202,
1,1,33,7365,2,146.4,309.47,36.42,100.14,7.38E+05,5.3595,39473,19.902,1.47E+05,6.5103,47948,
1,1,34,8041,2,157.23,202.85,35.439,86.679,6.97E+05,11.974,96279,17.809,1.43E+05,7.2222,58074,
1,1,35,7711,2,146.45,240.9,36.281,94.604,7.29E+05,9.8916,76274,18.225,1.41E+05,6.0704,46809,
1,1,36,11308,1,178.57,317.88,36.764,103.24,1.17E+06,16.553,1.87E+05,20.205,2.28E+05,7.0173,79352,
1,1,37,4901,1,269.49,332.8,34.485,97.541,4.78E+05,8.5984,42141,30.215,1.48E+05,9.3254,45704,
1,1,38,10092,1,218.2,350.03,37.403,108.27,1.09E+06,5.175,52226,44.444,4.49E+05,15.998,1.61E+05,
1,1,39,9826,2,222.08,108.6,37.175,65.692,6.45E+05,5.3401,52472,15.33,1.51E+05,5.7778,56773,
1,1,40,3859,1,246.47,314.6,36.231,92.835,3.58E+05,18.692,72134,18.817,72613,7.8422,30263,
1,1,41,5557,1,294.72,330.7,38.858,93.418,5.19E+05,7.5336,41864,26.323,1.46E+05,8.7437,48589,
1,1,42,8342,2,330.99,318.81,40.759,101.48,8.47E+05,3.9365,32838,19.105,1.59E+05,5.4809,45722,
1,1,43,7832,1,183.91,245.43,43.866,91.436,7.16E+05,4.8717,38155,18.418,1.44E+05,6.6721,52256,
1,1,44,3406,1,210.37,309.04,43.388,80.585,2.74E+05,22.478,76560,21.931,74697,6.3009,21461,
1,1,45,5492,2,246.53,367.42,46.429,87.562,4.81E+05,6.1256,33642,18.731,1.03E+05,7.0818,38893,
1,1,46,8899,1,160.93,274.84,46.446,99.001,8.81E+05,17.121,1.52E+05,21.738,1.93E+05,6.9518,61864,
1,1,47,11273,2,345.64,288.53,49.688,67.607,7.62E+05,5.5842,62951,16.016,1.81E+05,5.1577,58143,
1,1,48,9140,1,289.66,303.27,48.258,78.242,7.15E+05,17.003,1.55E+05,13.706,1.25E+05,6.1164,55904,
1,1,49,11578,1,241.38,325.56,47.755,95.997,1.11E+06,5.5436,64184,40.389,4.68E+05,20.36,2.36E+05,
1,1,50,20129,2,293.83,120.31,49.779,45.642,9.19E+05,3.884,78182,10.017,2.02E+05,3.4381,69205,
1,1,51,3913,1,171.77,305.1,47.91,91.317,3.57E+05,33.594,1.31E+05,11.767,46045,5.8819,23016,
1,1,52,19790,2,347.71,174.02,48.512,31.497,6.23E+05,2.0222,40020,8.3213,1.65E+05,3.2147,63619,
1,1,53,3646,2,173.16,192.91,50.291,138.17,5.04E+05,7.8799,28730,10.157,37034,4.7054,17156,
1,1,54,9145,1,230.67,282.9,51.986,86.128,7.88E+05,3.1567,28868,13.998,1.28E+05,6.4814,59272,
1,1,55,5960,2,275.56,344,52.305,86.231,5.14E+05,19.739,1.18E+05,19.269,1.15E+05,6.2898,37487,
1,1,56,4717,2,186.21,348.23,52.74,97.632,4.61E+05,7.1607,33777,15.643,73790,8.0784,38106,
1,1,57,10315,1,198.61,313.76,55.658,85.397,8.81E+05,15.355,1.58E+05,21.176,2.18E+05,6.0996,62917,
1,1,58,6317,2,306.65,319.7,57.229,65.01,4.11E+05,4.9994,31581,13.392,84597,5.3926,34065,
1,1,59,6698,2,163.27,245.08,57.35,67.07,4.49E+05,6.9143,46312,13.741,92037,5.7553,38549,
1,1,60,14544,2,218.61,148.55,56.149,53.294,7.75E+05,5.9824,87008,9.4176,1.37E+05,3.2111,46702,
1,1,61,2683,2,186.32,187.85,57.041,137.6,3.69E+05,7.2918,19564,9.8826,26515,4.2091,11293,
1,1,62,6732,1,223.29,339.6,57.421,81.147,5.46E+05,10.19,68601,25.004,1.68E+05,8.8648,59678,
