Inlier/Outlier1, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, 
1,1,1,5871,2,234.46,258.24,4.8585,139.95,8.22E+05,10.433,61251,21.957,1.29E+05,12.616,74070,
1,1,2,6378,2,216.93,299.09,4.8959,94.44,6.02E+05,11.824,75411,18.545,1.18E+05,9.6936,61826,
1,1,3,6191,2,270.14,301.46,4.8346,105.45,6.53E+05,10.692,66196,21.296,1.32E+05,9.0585,56081,
1,1,4,4102,2,271.97,269.81,4.4934,135.36,5.55E+05,8.1724,33523,27.38,1.12E+05,9.2316,37868,
1,1,5,6356,2,206.7,340.42,6.724,88.338,5.61E+05,11.783,74892,19.444,1.24E+05,7.6012,48313,
1,1,6,7487,2,196.91,254.09,8.5822,122.99,9.21E+05,4.9686,37200,17.975,1.35E+05,9.5691,71644,
1,1,7,8908,2,172.26,282.08,6.3216,74.459,6.63E+05,6.794,60521,13.717,1.22E+05,7.5907,67618,
1,1,8,10162,2,248.95,351.32,9.3805,63.672,6.47E+05,32.104,3.26E+05,15.19,1.54E+05,8.2833,84175,
1,1,9,15209,2,208.12,206.53,10.896,126.79,1.93E+06,46.638,7.09E+05,19.95,3.03E+05,11.336,1.72E+05,
1,1,10,13024,2,274.62,231.8,9.6363,135.63,1.77E+06,43.527,5.67E+05,22.672,2.95E+05,19.207,2.50E+05,
1,1,11,7527,2,171.88,347.33,11.475,110.69,8.33E+05,57.191,4.30E+05,14.557,1.10E+05,10.056,75690,
1,1,12,4872,2,309.66,273.84,12.271,121.06,5.90E+05,5.9189,28837,21.249,1.04E+05,11.037,53772,
1,1,13,6498,2,141.27,304.09,13.806,93.794,6.09E+05,6.4894,42168,15.201,98773,9.8007,63685,
1,1,14,13583,2,299.78,334.64,15.137,47.989,6.52E+05,4.761,64669,12.005,1.63E+05,4.5699,62073,
1,1,15,6766,2,280.57,174.18,16.819,107.31,7.26E+05,11.014,74522,24.017,1.63E+05,8.9424,60504,
1,1,16,3769,1,236.42,181.21,15.085,129.24,4.87E+05,41.246,1.55E+05,35.306,1.33E+05,11.708,44126,
1,1,17,4091,1,257.95,203.94,14.527,140.23,5.74E+05,56.865,2.33E+05,16.404,67108,9.2002,37638,
1,1,18,6884,2,163.72,217.23,15.108,135.69,9.34E+05,9.553,65763,19.954,1.37E+05,10.705,73695,
1,1,19,5488,2,206.05,382.73,15.323,102.83,5.64E+05,14.89,81716,19.344,1.06E+05,10.502,57633,
1,1,20,2881,2,306.9,207.67,16.811,135.81,3.91E+05,11.22,32324,14.865,42827,18.085,52104,
1,1,21,8229,1,244.49,149.19,20.291,132.16,1.09E+06,9.3736,77135,21.312,1.75E+05,10.869,89444,
1,1,22,7071,2,322.79,230.39,20.697,131.42,9.29E+05,9.3813,66335,19.033,1.35E+05,10.225,72301,
1,1,23,747,1,207.45,187.73,16.122,146.28,1.09E+05,35.562,26565,32.025,23923,9.9331,7420,
1,1,24,8435,1,232.99,233.73,18.459,128.13,1.08E+06,4.7749,40276,64.502,5.44E+05,73.499,6.20E+05,
1,1,25,9105,2,267.7,384.31,16.939,60.921,5.55E+05,36.256,3.30E+05,13.686,1.25E+05,7.1577,65171,
1,1,26,10048,2,136.04,243.07,23.895,70.848,7.12E+05,4.5556,45775,11.554,1.16E+05,6.0784,61076,
1,1,27,4680,2,172.6,383.4,22.026,99.938,4.68E+05,9.8573,46132,17.224,80607,10.457,48941,
1,1,28,4747,1,281.78,236.94,21.367,213.49,1.01E+06,3.0779,14611,26.35,1.25E+05,34.358,1.63E+05,
1,1,29,5338,2,331.45,278.79,23.866,116.49,6.22E+05,30.559,1.63E+05,22.944,1.22E+05,8.8391,47183,
1,1,30,5268,2,228.67,404.57,24.009,84.694,4.46E+05,15.599,82177,21.233,1.12E+05,8.9343,47066,
1,1,31,9772,1,179.07,185.68,25.514,112.67,1.10E+06,50.335,4.92E+05,16.921,1.65E+05,9.1807,89714,
1,1,32,7289,1,237.42,182.04,23.228,132.16,9.63E+05,36.673,2.67E+05,21.171,1.54E+05,12.285,89549,
1,1,33,5482,2,184.25,152.2,28.007,124.76,6.84E+05,7.226,39613,18.459,1.01E+05,9.1219,50006,
1,1,34,5961,1,273.83,172.66,26.938,118.55,7.07E+05,51.223,3.05E+05,13.164,78473,7.9282,47260,
1,1,35,6947,2,136.78,349.67,28.097,74.039,5.14E+05,6.9862,48533,15.906,1.11E+05,6.3036,43791,
1,1,36,4035,2,150.22,199.15,27.252,135.18,5.45E+05,3.1524,12720,20.587,83069,7.087,28596,
1,1,37,4274,2,199.92,404.57,26.584,119.16,5.09E+05,9.9768,42641,18.176,77684,9.9843,42673,
1,1,38,15833,2,322.8,328.11,31.571,50.289,7.96E+05,6.5558,1.04E+05,13.418,2.12E+05,5.7505,91047,
1,1,39,8054,1,235.89,156.48,30.79,130.41,1.05E+06,54.095,4.36E+05,14.952,1.20E+05,9.7456,78491,
1,1,40,8210,1,211.85,190.84,31.969,113.84,9.35E+05,24.244,1.99E+05,31.781,2.61E+05,16.903,1.39E+05,
1,1,41,7103,1,306.39,217.5,32.025,125.23,8.90E+05,60.179,4.27E+05,12.933,91860,8.1594,57956,
1,1,42,5654,1,268.69,202.96,30.762,124.33,7.03E+05,47.889,2.71E+05,14.188,80221,12.614,71320,
1,1,43,3726,1,306.42,245.51,32.12,111.38,4.15E+05,2.9214,10885,47.833,1.78E+05,39.097,1.46E+05,
1,1,44,14331,1,256.75,215.94,38.684,114.32,1.64E+06,3.9648,56820,33.933,4.86E+05,50.202,7.19E+05,
1,1,45,5512,2,333.17,239.39,34.721,116.82,6.44E+05,22.001,1.21E+05,19.563,1.08E+05,10.356,57083,
1,1,46,10827,2,114.36,261.14,35.542,78.06,8.45E+05,3.5057,37956,15.636,1.69E+05,6.9627,75385,
1,1,47,7749,2,304.76,166.71,36.989,118.57,9.19E+05,10.739,83218,19.123,1.48E+05,8.5353,66140,
1,1,48,4456,2,178.53,404.84,36.026,100.64,4.48E+05,9.7334,43372,14.597,65046,9.7471,43433,
1,1,49,5393,2,288.79,386.82,36.981,98.193,5.30E+05,14.19,76524,17.475,94242,7.9301,42767,
1,1,50,5241,2,151.21,385.1,38.096,115.61,6.06E+05,41.368,2.17E+05,10.338,54182,8.1864,42905,
1,1,51,6670,1,302.58,191.53,39.954,105.33,7.03E+05,49.331,3.29E+05,11.76,78441,6.8807,45894,
1,1,52,6009,2,336.43,269.83,39.595,105,6.31E+05,6.3861,38374,18.806,1.13E+05,8.4457,50750,
1,1,53,4979,2,230.38,412.23,38.832,91.337,4.55E+05,9.391,46758,15.779,78563,9.1243,45430,
1,1,54,700,2,251.33,136.42,38.207,110.6,77417,7.4486,5214,14.674,10272,14.64,10248,
1,1,55,2390,1,206.41,201.97,38.967,97.808,2.34E+05,31.803,76010,16.508,39455,7.3552,17579,
1,1,56,7757,2,230.35,136.23,42.775,106.12,8.23E+05,5.7539,44633,19.244,1.49E+05,7.8439,60845,
1,1,57,8514,1,206.75,161.69,42.074,120.58,1.03E+06,14.87,1.27E+05,40.133,3.42E+05,30.909,2.63E+05,
1,1,58,5765,2,109.59,326.31,40.416,84.105,4.85E+05,5.6609,32635,12.444,71739,7.6921,44345,
1,1,59,6082,1,174.7,186.34,43.171,170.42,1.04E+06,19.549,1.19E+05,7.1079,43230,4.4466,27044,
1,1,60,6142,2,120.84,219.46,47.746,149.55,9.19E+05,2.1661,13304,12.416,76259,3.7927,23295,
1,1,61,6019,2,131.6,359.93,47.126,71.321,4.29E+05,9.1271,54936,13.26,79811,7.2205,43460,
1,1,62,6354,2,193.83,409.78,46.714,82.848,5.26E+05,5.7222,36359,10.732,68190,8.8324,56121,
1,1,63,5416,2,276.25,395.64,47.553,74.054,4.01E+05,14.225,77040,13.194,71459,5.7884,31350,
1,1,64,5737,1,276.76,191.54,47.364,116.62,6.69E+05,10.602,60823,40.143,2.30E+05,27.32,1.57E+05,
1,1,65,8686,1,258.06,160.33,50.487,104.17,9.05E+05,40.2,3.49E+05,9.5571,83013,6.2937,54667,
1,1,66,7275,2,326.4,238.86,48.698,96.799,7.04E+05,6.621,48168,15.091,1.10E+05,8.3566,60794,
1,1,67,17806,2,318.41,333.51,52.036,42.608,7.59E+05,6.3964,1.14E+05,12.146,2.16E+05,4.4797,79765,
1,1,68,3132,2,163.08,174.9,51.518,92.621,2.90E+05,8.053,25222,13.936,43647,7.1117,22274,
1,1,69,1929,1,228.14,203.07,52.49,136.84,2.64E+05,8.1877,15794,12.648,24398,15.686,30258,
1,1,70,16175,2,292.87,212.61,55.482,86.467,1.40E+06,23.278,3.77E+05,18.146,2.94E+05,13.198,2.13E+05,
1,1,71,7573,2,112.88,283.92,54.819,81.17,6.15E+05,3.7366,28297,11.256,85245,6.4016,48479,
1,1,72,5968,2,116.97,323.66,54.329,87.858,5.24E+05,14.316,85436,12.373,73841,6.4888,38725,
1,1,73,4800,2,235.99,405.83,53.282,88.222,4.23E+05,14.433,69278,11.128,53413,7.1331,34239,
1,1,74,5984,2,164.98,384.51,55.559,63.067,3.77E+05,8.9353,53469,11.713,70091,5.814,34791,
1,1,75,7730,1,242.36,186.12,57.712,89.137,6.89E+05,45.209,3.49E+05,10.126,78271,6.9232,53516,
1,1,76,3621,2,197.34,394.16,58.584,92.587,3.35E+05,22.301,80751,11.81,42764,7.1334,25830,
1,1,77,6185,1,206.52,176.56,60.663,90.971,5.63E+05,5.0611,31303,11.74,72614,6.9072,42721,
1,1,78,9045,2,157.87,213.59,60.908,64.592,5.84E+05,2.5158,22755,9.9951,90406,4.5423,41085,
1,1,79,6873,2,264.27,374.04,58.971,61.13,4.20E+05,7.9745,54809,10.818,74350,4.3834,30127,
1,1,80,3989,2,301.25,225.02,62.76,84.863,3.39E+05,6.7007,26729,12.466,49728,6.7358,26869,
1,1,81,13867,2,281.13,296.97,57.902,35.548,4.93E+05,2.3376,32415,6.7452,93536,2.4491,33961,
1,1,82,7103,2,152.94,323.6,64.264,67.304,4.78E+05,3.4274,24345,9.1978,65332,4.7046,33417,
1,1,83,6345,2,224.27,369.86,64.74,66.33,4.21E+05,4.7644,30230,8.4991,53927,6.1474,39005,
1,1,84,4171,2,190.42,200.01,64.563,70.334,2.93E+05,1.9564,8160,11.853,49437,4.6893,19559,
1,1,85,11774,2,189.35,279.28,59.949,34.334,4.04E+05,3.2339,38076,5.9112,69598,2.8961,34099,
1,1,86,17203,2,146.73,282.25,60.012,37.004,6.37E+05,1.5106,25986,6.0505,1.04E+05,2.9978,51572,
1,1,87,7517,2,233.4,298.53,63.931,76.137,5.72E+05,2.8662,21545,9.143,68728,4.6866,35229,
